"Time differences (ps)"	"Counts per bin"
-20000	3
-19980	0
-19960	1
-19940	0
-19920	0
-19900	2
-19880	3
-19860	6
-19840	0
-19820	2
-19800	1
-19780	1
-19760	1
-19740	1
-19720	1
-19700	1
-19680	2
-19660	3
-19640	1
-19620	3
-19600	0
-19580	1
-19560	0
-19540	2
-19520	2
-19500	1
-19480	0
-19460	1
-19440	1
-19420	2
-19400	1
-19380	0
-19360	2
-19340	2
-19320	2
-19300	2
-19280	1
-19260	1
-19240	4
-19220	0
-19200	3
-19180	2
-19160	0
-19140	1
-19120	0
-19100	1
-19080	2
-19060	2
-19040	1
-19020	2
-19000	2
-18980	3
-18960	2
-18940	2
-18920	1
-18900	1
-18880	1
-18860	2
-18840	1
-18820	1
-18800	0
-18780	0
-18760	4
-18740	3
-18720	1
-18700	1
-18680	2
-18660	4
-18640	1
-18620	2
-18600	1
-18580	2
-18560	0
-18540	1
-18520	0
-18500	2
-18480	1
-18460	0
-18440	2
-18420	0
-18400	0
-18380	2
-18360	2
-18340	2
-18320	1
-18300	2
-18280	1
-18260	1
-18240	1
-18220	1
-18200	3
-18180	1
-18160	1
-18140	1
-18120	0
-18100	0
-18080	0
-18060	1
-18040	0
-18020	0
-18000	2
-17980	0
-17960	1
-17940	2
-17920	0
-17900	3
-17880	0
-17860	2
-17840	1
-17820	1
-17800	0
-17780	3
-17760	4
-17740	2
-17720	1
-17700	2
-17680	0
-17660	1
-17640	1
-17620	4
-17600	3
-17580	2
-17560	3
-17540	2
-17520	1
-17500	0
-17480	2
-17460	0
-17440	3
-17420	1
-17400	2
-17380	1
-17360	1
-17340	0
-17320	0
-17300	2
-17280	0
-17260	2
-17240	1
-17220	1
-17200	1
-17180	0
-17160	2
-17140	1
-17120	0
-17100	1
-17080	2
-17060	2
-17040	5
-17020	3
-17000	1
-16980	0
-16960	0
-16940	1
-16920	0
-16900	1
-16880	0
-16860	3
-16840	1
-16820	1
-16800	1
-16780	4
-16760	3
-16740	1
-16720	2
-16700	3
-16680	3
-16660	1
-16640	0
-16620	4
-16600	0
-16580	0
-16560	3
-16540	1
-16520	3
-16500	6
-16480	4
-16460	1
-16440	0
-16420	3
-16400	4
-16380	1
-16360	2
-16340	2
-16320	1
-16300	1
-16280	0
-16260	0
-16240	3
-16220	2
-16200	3
-16180	1
-16160	0
-16140	1
-16120	1
-16100	2
-16080	4
-16060	1
-16040	2
-16020	1
-16000	2
-15980	2
-15960	1
-15940	1
-15920	5
-15900	2
-15880	1
-15860	4
-15840	2
-15820	3
-15800	0
-15780	4
-15760	4
-15740	15
-15720	17
-15700	34
-15680	25
-15660	12
-15640	3
-15620	2
-15600	1
-15580	5
-15560	2
-15540	1
-15520	1
-15500	2
-15480	6
-15460	2
-15440	2
-15420	1
-15400	2
-15380	1
-15360	1
-15340	0
-15320	2
-15300	3
-15280	1
-15260	0
-15240	2
-15220	2
-15200	2
-15180	2
-15160	2
-15140	2
-15120	4
-15100	2
-15080	2
-15060	3
-15040	2
-15020	2
-15000	2
-14980	5
-14960	6
-14940	1
-14920	1
-14900	0
-14880	4
-14860	1
-14840	1
-14820	1
-14800	2
-14780	2
-14760	1
-14740	4
-14720	4
-14700	0
-14680	1
-14660	0
-14640	0
-14620	1
-14600	1
-14580	5
-14560	0
-14540	0
-14520	4
-14500	4
-14480	4
-14460	6
-14440	2
-14420	1
-14400	3
-14380	0
-14360	2
-14340	1
-14320	2
-14300	1
-14280	3
-14260	0
-14240	0
-14220	2
-14200	1
-14180	3
-14160	2
-14140	2
-14120	2
-14100	1
-14080	2
-14060	2
-14040	2
-14020	4
-14000	5
-13980	3
-13960	1
-13940	2
-13920	2
-13900	4
-13880	0
-13860	2
-13840	1
-13820	0
-13800	3
-13780	1
-13760	2
-13740	0
-13720	4
-13700	3
-13680	3
-13660	2
-13640	3
-13620	3
-13600	2
-13580	1
-13560	2
-13540	2
-13520	1
-13500	0
-13480	5
-13460	0
-13440	6
-13420	0
-13400	4
-13380	1
-13360	6
-13340	4
-13320	1
-13300	3
-13280	2
-13260	2
-13240	2
-13220	3
-13200	3
-13180	2
-13160	0
-13140	1
-13120	4
-13100	2
-13080	1
-13060	2
-13040	3
-13020	4
-13000	2
-12980	2
-12960	3
-12940	1
-12920	0
-12900	2
-12880	2
-12860	0
-12840	1
-12820	3
-12800	3
-12780	3
-12760	5
-12740	4
-12720	4
-12700	7
-12680	12
-12660	17
-12640	23
-12620	41
-12600	102
-12580	241
-12560	697
-12540	1866
-12520	4353
-12500	6993
-12480	5158
-12460	1539
-12440	313
-12420	63
-12400	10
-12380	8
-12360	13
-12340	21
-12320	22
-12300	15
-12280	5
-12260	1
-12240	0
-12220	1
-12200	0
-12180	1
-12160	3
-12140	1
-12120	0
-12100	0
-12080	1
-12060	1
-12040	1
-12020	1
-12000	1
-11980	4
-11960	0
-11940	1
-11920	0
-11900	1
-11880	1
-11860	2
-11840	1
-11820	0
-11800	0
-11780	1
-11760	2
-11740	0
-11720	3
-11700	4
-11680	11
-11660	8
-11640	12
-11620	5
-11600	1
-11580	0
-11560	1
-11540	0
-11520	4
-11500	2
-11480	1
-11460	3
-11440	0
-11420	2
-11400	0
-11380	2
-11360	1
-11340	1
-11320	1
-11300	1
-11280	0
-11260	1
-11240	0
-11220	1
