"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	4
-19960	1
-19940	2
-19920	4
-19900	4
-19880	5
-19860	1
-19840	2
-19820	1
-19800	1
-19780	2
-19760	1
-19740	3
-19720	0
-19700	0
-19680	3
-19660	0
-19640	0
-19620	1
-19600	1
-19580	1
-19560	2
-19540	0
-19520	1
-19500	1
-19480	1
-19460	2
-19440	2
-19420	1
-19400	2
-19380	2
-19360	1
-19340	0
-19320	1
-19300	2
-19280	1
-19260	0
-19240	2
-19220	0
-19200	1
-19180	0
-19160	2
-19140	1
-19120	2
-19100	1
-19080	3
-19060	2
-19040	1
-19020	0
-19000	2
-18980	0
-18960	0
-18940	1
-18920	1
-18900	1
-18880	2
-18860	6
-18840	2
-18820	2
-18800	1
-18780	2
-18760	3
-18740	0
-18720	1
-18700	1
-18680	2
-18660	2
-18640	2
-18620	3
-18600	2
-18580	1
-18560	0
-18540	1
-18520	2
-18500	0
-18480	3
-18460	2
-18440	1
-18420	4
-18400	1
-18380	0
-18360	2
-18340	1
-18320	0
-18300	1
-18280	3
-18260	0
-18240	0
-18220	3
-18200	1
-18180	0
-18160	0
-18140	1
-18120	2
-18100	0
-18080	4
-18060	2
-18040	0
-18020	1
-18000	1
-17980	2
-17960	2
-17940	2
-17920	2
-17900	5
-17880	0
-17860	0
-17840	3
-17820	1
-17800	1
-17780	1
-17760	2
-17740	2
-17720	2
-17700	0
-17680	3
-17660	4
-17640	1
-17620	0
-17600	2
-17580	0
-17560	1
-17540	0
-17520	1
-17500	1
-17480	0
-17460	0
-17440	1
-17420	3
-17400	2
-17380	4
-17360	1
-17340	3
-17320	3
-17300	0
-17280	1
-17260	0
-17240	2
-17220	0
-17200	1
-17180	2
-17160	2
-17140	1
-17120	2
-17100	2
-17080	1
-17060	0
-17040	1
-17020	1
-17000	0
-16980	1
-16960	0
-16940	0
-16920	1
-16900	1
-16880	4
-16860	2
-16840	2
-16820	0
-16800	1
-16780	0
-16760	5
-16740	4
-16720	2
-16700	1
-16680	1
-16660	0
-16640	3
-16620	0
-16600	1
-16580	0
-16560	2
-16540	4
-16520	4
-16500	5
-16480	2
-16460	0
-16440	1
-16420	1
-16400	1
-16380	3
-16360	2
-16340	3
-16320	3
-16300	1
-16280	2
-16260	1
-16240	0
-16220	2
-16200	4
-16180	1
-16160	1
-16140	2
-16120	3
-16100	0
-16080	0
-16060	0
-16040	3
-16020	3
-16000	1
-15980	0
-15960	0
-15940	0
-15920	0
-15900	0
-15880	1
-15860	1
-15840	2
-15820	2
-15800	3
-15780	6
-15760	7
-15740	12
-15720	18
-15700	39
-15680	28
-15660	10
-15640	1
-15620	3
-15600	2
-15580	6
-15560	4
-15540	1
-15520	3
-15500	1
-15480	0
-15460	1
-15440	0
-15420	5
-15400	3
-15380	3
-15360	2
-15340	1
-15320	1
-15300	1
-15280	2
-15260	2
-15240	3
-15220	3
-15200	4
-15180	1
-15160	2
-15140	0
-15120	3
-15100	2
-15080	5
-15060	2
-15040	1
-15020	1
-15000	3
-14980	1
-14960	2
-14940	2
-14920	1
-14900	2
-14880	4
-14860	0
-14840	1
-14820	2
-14800	1
-14780	2
-14760	0
-14740	2
-14720	0
-14700	3
-14680	2
-14660	1
-14640	3
-14620	2
-14600	2
-14580	1
-14560	3
-14540	2
-14520	1
-14500	3
-14480	2
-14460	3
-14440	3
-14420	5
-14400	2
-14380	2
-14360	2
-14340	2
-14320	2
-14300	1
-14280	1
-14260	0
-14240	3
-14220	2
-14200	2
-14180	1
-14160	3
-14140	2
-14120	3
-14100	1
-14080	3
-14060	1
-14040	0
-14020	2
-14000	5
-13980	2
-13960	1
-13940	0
-13920	1
-13900	2
-13880	1
-13860	5
-13840	4
-13820	2
-13800	5
-13780	1
-13760	3
-13740	3
-13720	1
-13700	1
-13680	2
-13660	0
-13640	1
-13620	7
-13600	1
-13580	1
-13560	0
-13540	4
-13520	1
-13500	3
-13480	3
-13460	4
-13440	3
-13420	0
-13400	1
-13380	2
-13360	4
-13340	4
-13320	2
-13300	4
-13280	1
-13260	2
-13240	3
-13220	2
-13200	2
-13180	1
-13160	2
-13140	3
-13120	0
-13100	2
-13080	5
-13060	3
-13040	1
-13020	3
-13000	5
-12980	5
-12960	2
-12940	6
-12920	2
-12900	1
-12880	3
-12860	6
-12840	2
-12820	2
-12800	5
-12780	4
-12760	7
-12740	2
-12720	8
-12700	13
-12680	17
-12660	41
-12640	63
-12620	129
-12600	246
-12580	580
-12560	1222
-12540	2561
-12520	4799
-12500	6347
-12480	4024
-12460	1149
-12440	219
-12420	36
-12400	19
-12380	15
-12360	13
-12340	14
-12320	22
-12300	9
-12280	7
-12260	1
-12240	3
-12220	0
-12200	2
-12180	1
-12160	2
-12140	3
-12120	2
-12100	2
-12080	2
-12060	2
-12040	1
-12020	0
-12000	1
-11980	2
-11960	2
-11940	0
-11920	1
-11900	2
-11880	1
-11860	1
-11840	2
-11820	1
-11800	1
-11780	3
-11760	3
-11740	3
-11720	6
-11700	4
-11680	8
-11660	8
-11640	15
-11620	14
-11600	2
-11580	1
-11560	1
-11540	3
-11520	0
-11500	0
-11480	2
-11460	0
-11440	0
-11420	1
-11400	1
-11380	1
-11360	0
-11340	0
-11320	1
-11300	0
-11280	1
-11260	0
-11240	1
-11220	0
-11200	2
-11180	1
-11160	5
-11140	4
-11120	2
-11100	6
-11080	3
-11060	1
-11040	0
-11020	1
-11000	4
-10980	1
-10960	2
-10940	0
-10920	1
-10900	2
-10880	0
-10860	0
-10840	1
-10820	4
-10800	2
-10780	1
-10760	1
-10740	1
-10720	0
-10700	0
-10680	0
-10660	1
-10640	0
-10620	0
-10600	0
-10580	0
-10560	3
-10540	1
-10520	0
-10500	1
-10480	0
-10460	0
-10440	0
-10420	2
-10400	2
-10380	2
-10360	3
-10340	1
-10320	1
-10300	2
-10280	1
-10260	2
-10240	1
-10220	2
-10200	3
-10180	1
-10160	1
-10140	0
-10120	0
-10100	0
-10080	0
-10060	0
-10040	0
-10020	1
-10000	0
-9980	1
-9960	2
-9940	0
-9920	2
-9900	1
-9880	1
-9860	0
-9840	1
-9820	1
-9800	0
-9780	1
-9760	1
-9740	1
-9720	1
-9700	0
-9680	1
-9660	0
-9640	1
-9620	0
-9600	3
-9580	0
-9560	1
-9540	1
-9520	1
-9500	0
-9480	0
-9460	1
-9440	1
-9420	2
-9400	1
-9380	1
-9360	3
-9340	1
-9320	3
-9300	2
-9280	0
-9260	1
-9240	3
-9220	3
-9200	0
-9180	2
-9160	1
-9140	1
-9120	1
-9100	2
-9080	1
-9060	0
-9040	1
-9020	0
-9000	2
-8980	0
-8960	2
-8940	2
-8920	0
-8900	1
-8880	0
-8860	0
-8840	1
-8820	2
-8800	1
-8780	0
-8760	1
-8740	1
-8720	1
-8700	1
-8680	3
-8660	0
-8640	0
-8620	1
-8600	1
-8580	2
-8560	0
-8540	0
-8520	2
-8500	6
-8480	2
-8460	2
-8440	2
-8420	2
-8400	3
-8380	2
-8360	0
-8340	1
-8320	2
-8300	2
-8280	0
-8260	0
-8240	1
-8220	0
-8200	1
-8180	0
-8160	0
-8140	2
-8120	2
-8100	0
-8080	2
-8060	1
-8040	2
-8020	2
-8000	0
-7980	2
-7960	0
-7940	3
-7920	1
-7900	1
-7880	0
-7860	2
-7840	1
-7820	0
-7800	0
-7780	3
-7760	0
-7740	2
-7720	2
-7700	1
-7680	2
-7660	1
-7640	3
-7620	0
-7600	3
-7580	2
-7560	2
-7540	1
-7520	0
-7500	2
-7480	1
-7460	3
-7440	3
-7420	2
-7400	6
-7380	1
-7360	2
-7340	0
-7320	1
-7300	0
-7280	0
-7260	0
-7240	1
-7220	0
-7200	2
-7180	2
-7160	2
-7140	1
-7120	1
-7100	1
-7080	0
-7060	1
-7040	0
-7020	0
-7000	1
-6980	0
-6960	1
-6940	0
-6920	2
-6900	3
-6880	1
-6860	1
-6840	1
-6820	0
-6800	3
-6780	0
-6760	4
-6740	2
-6720	1
-6700	1
-6680	1
-6660	1
-6640	2
-6620	2
-6600	1
-6580	0
-6560	0
-6540	0
-6520	1
-6500	2
-6480	0
-6460	2
-6440	2
-6420	1
-6400	1
-6380	0
-6360	0
-6340	3
-6320	3
-6300	0
-6280	3
-6260	1
-6240	2
-6220	0
-6200	0
-6180	0
-6160	2
-6140	4
-6120	0
-6100	0
-6080	1
-6060	0
-6040	0
-6020	1
-6000	3
-5980	1
-5960	3
-5940	1
-5920	1
-5900	1
-5880	4
-5860	3
-5840	0
-5820	4
-5800	4
-5780	3
-5760	0
-5740	2
-5720	3
-5700	1
-5680	2
-5660	0
-5640	0
-5620	0
-5600	2
-5580	0
-5560	1
-5540	1
-5520	3
-5500	0
-5480	0
-5460	0
-5440	1
-5420	0
-5400	1
-5380	0
-5360	2
-5340	1
-5320	1
-5300	2
-5280	2
-5260	2
-5240	2
-5220	1
-5200	0
-5180	2
-5160	1
-5140	2
-5120	4
-5100	1
-5080	3
-5060	2
-5040	2
-5020	5
-5000	2
-4980	0
-4960	1
-4940	0
-4920	0
-4900	1
-4880	1
-4860	0
-4840	1
-4820	1
-4800	1
-4780	1
-4760	1
-4740	2
-4720	1
-4700	1
-4680	0
-4660	0
-4640	1
-4620	1
-4600	2
-4580	1
-4560	2
-4540	1
-4520	2
-4500	0
-4480	1
-4460	1
-4440	4
-4420	2
-4400	2
-4380	1
-4360	0
-4340	0
-4320	0
-4300	0
-4280	0
-4260	1
-4240	2
-4220	2
-4200	3
-4180	2
-4160	0
-4140	1
-4120	2
-4100	3
-4080	3
-4060	3
-4040	7
-4020	2
-4000	2
-3980	1
-3960	5
-3940	1
-3920	2
-3900	1
-3880	2
-3860	1
-3840	3
-3820	1
-3800	0
-3780	2
-3760	0
-3740	1
-3720	1
-3700	0
-3680	1
-3660	1
-3640	1
-3620	0
-3600	2
-3580	1
-3560	1
-3540	1
-3520	0
-3500	2
-3480	4
-3460	1
-3440	1
-3420	0
-3400	0
-3380	1
-3360	1
-3340	4
-3320	1
-3300	5
-3280	8
-3260	13
-3240	19
-3220	27
-3200	33
-3180	12
-3160	2
-3140	2
-3120	0
-3100	1
-3080	0
-3060	1
-3040	1
-3020	0
-3000	2
-2980	1
-2960	4
-2940	2
-2920	2
-2900	2
-2880	2
-2860	0
-2840	1
-2820	1
-2800	0
-2780	3
-2760	2
-2740	2
-2720	1
-2700	1
-2680	0
-2660	3
-2640	0
-2620	2
-2600	3
-2580	2
-2560	0
-2540	2
-2520	3
-2500	1
-2480	2
-2460	1
-2440	1
-2420	4
-2400	2
-2380	2
-2360	0
-2340	1
-2320	0
-2300	3
-2280	1
-2260	2
-2240	4
-2220	1
-2200	1
-2180	0
-2160	1
-2140	1
-2120	1
-2100	1
-2080	2
-2060	1
-2040	4
-2020	2
-2000	1
-1980	3
-1960	1
-1940	1
-1920	1
-1900	1
-1880	3
-1860	2
-1840	1
-1820	5
-1800	0
-1780	2
-1760	1
-1740	1
-1720	3
-1700	1
-1680	1
-1660	1
-1640	2
-1620	2
-1600	1
-1580	2
-1560	1
-1540	1
-1520	1
-1500	1
-1480	1
-1460	1
-1440	0
-1420	2
-1400	1
-1380	1
-1360	3
-1340	0
-1320	2
-1300	1
-1280	0
-1260	2
-1240	2
-1220	2
-1200	0
-1180	1
-1160	2
-1140	0
-1120	1
-1100	1
-1080	2
-1060	4
-1040	2
-1020	1
-1000	0
-980	3
-960	2
-940	1
-920	0
-900	0
-880	2
-860	3
-840	1
-820	1
-800	3
-780	0
-760	3
-740	1
-720	0
-700	3
-680	2
-660	2
-640	3
-620	4
-600	3
-580	5
-560	1
-540	2
-520	2
-500	0
-480	3
-460	1
-440	1
-420	0
-400	4
-380	3
-360	1
-340	2
-320	2
-300	3
-280	4
-260	6
-240	3
-220	5
-200	12
-180	27
-160	45
-140	109
-120	247
-100	643
-80	1524
-60	3975
-40	9285
-20	17263
0	11878
20	1802
40	131
60	13
80	15
100	8
120	13
140	16
160	33
180	19
200	3
220	3
240	3
260	2
280	2
300	2
320	3
340	1
360	4
380	5
400	3
420	2
440	2
460	2
480	3
500	5
520	2
540	4
560	4
580	5
600	1
620	1
640	3
660	3
680	1
700	1
720	6
740	2
760	3
