"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	0
-19960	2
-19940	1
-19920	1
-19900	1
-19880	1
-19860	2
-19840	3
-19820	1
-19800	2
-19780	1
-19760	1
-19740	0
-19720	2
-19700	3
-19680	0
-19660	1
-19640	2
-19620	1
-19600	3
-19580	0
-19560	0
-19540	1
-19520	0
-19500	2
-19480	1
-19460	2
-19440	1
-19420	3
-19400	1
-19380	3
-19360	1
-19340	1
-19320	0
-19300	0
-19280	1
-19260	3
-19240	4
-19220	2
-19200	1
-19180	1
-19160	2
-19140	0
-19120	2
-19100	3
-19080	4
-19060	1
-19040	0
-19020	1
-19000	0
-18980	0
-18960	2
-18940	0
-18920	3
-18900	1
-18880	2
-18860	3
-18840	0
-18820	1
-18800	1
-18780	1
-18760	1
-18740	1
-18720	2
-18700	0
-18680	3
-18660	2
-18640	1
-18620	3
-18600	0
-18580	3
-18560	2
-18540	2
-18520	1
-18500	0
-18480	5
-18460	2
-18440	2
-18420	4
-18400	0
-18380	2
-18360	5
-18340	2
-18320	1
-18300	0
-18280	0
-18260	3
-18240	1
-18220	4
-18200	1
-18180	2
-18160	0
-18140	1
-18120	0
-18100	0
-18080	0
-18060	1
-18040	1
-18020	2
-18000	3
-17980	1
-17960	1
-17940	2
-17920	1
-17900	0
-17880	0
-17860	2
-17840	3
-17820	2
-17800	1
-17780	1
-17760	1
-17740	2
-17720	3
-17700	3
-17680	0
-17660	1
-17640	1
-17620	1
-17600	1
-17580	2
-17560	4
-17540	2
-17520	2
-17500	0
-17480	3
-17460	4
-17440	0
-17420	1
-17400	2
-17380	0
-17360	2
-17340	3
-17320	3
-17300	0
-17280	3
-17260	2
-17240	1
-17220	2
-17200	3
-17180	4
-17160	1
-17140	3
-17120	0
-17100	1
-17080	2
-17060	3
-17040	0
-17020	1
-17000	3
-16980	1
-16960	2
-16940	0
-16920	0
-16900	3
-16880	1
-16860	4
-16840	0
-16820	0
-16800	0
-16780	1
-16760	0
-16740	3
-16720	2
-16700	3
-16680	5
-16660	2
-16640	3
-16620	1
-16600	3
-16580	0
-16560	0
-16540	4
-16520	3
-16500	2
-16480	3
-16460	2
-16440	0
-16420	0
-16400	2
-16380	2
-16360	5
-16340	1
-16320	2
-16300	2
-16280	1
-16260	3
-16240	1
-16220	3
-16200	4
-16180	1
-16160	1
-16140	0
-16120	1
-16100	1
-16080	1
-16060	1
-16040	4
-16020	1
-16000	0
-15980	1
-15960	0
-15940	5
-15920	1
-15900	3
-15880	1
-15860	1
-15840	1
-15820	1
-15800	6
-15780	3
-15760	5
-15740	14
-15720	21
-15700	33
-15680	25
-15660	12
-15640	4
-15620	4
-15600	0
-15580	0
-15560	2
-15540	0
-15520	2
-15500	4
-15480	3
-15460	2
-15440	1
-15420	2
-15400	2
-15380	3
-15360	0
-15340	3
-15320	3
-15300	1
-15280	1
-15260	2
-15240	1
-15220	5
-15200	1
-15180	2
-15160	2
-15140	0
-15120	0
-15100	0
-15080	2
-15060	3
-15040	3
-15020	1
-15000	1
-14980	0
-14960	2
-14940	6
-14920	1
-14900	2
-14880	4
-14860	0
-14840	0
-14820	1
-14800	2
-14780	3
-14760	3
-14740	5
-14720	2
-14700	3
-14680	2
-14660	2
-14640	2
-14620	1
-14600	0
-14580	2
-14560	0
-14540	1
-14520	6
-14500	3
-14480	0
-14460	1
-14440	1
-14420	1
-14400	2
-14380	3
-14360	1
-14340	1
-14320	1
-14300	1
-14280	1
-14260	5
-14240	0
-14220	4
-14200	3
-14180	2
-14160	3
-14140	2
-14120	3
-14100	2
-14080	2
-14060	2
-14040	0
-14020	1
-14000	4
-13980	2
-13960	0
-13940	1
-13920	4
-13900	2
-13880	1
-13860	1
-13840	1
-13820	1
-13800	1
-13780	2
-13760	2
-13740	1
-13720	3
-13700	3
-13680	2
-13660	0
-13640	0
-13620	3
-13600	2
-13580	0
-13560	3
-13540	3
-13520	0
-13500	4
-13480	0
-13460	1
-13440	1
-13420	1
-13400	2
-13380	1
-13360	6
-13340	6
-13320	2
