"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	0
-19960	1
-19940	0
-19920	1
-19900	2
-19880	5
-19860	2
-19840	1
-19820	2
-19800	4
-19780	0
-19760	1
-19740	0
-19720	0
-19700	3
-19680	3
-19660	5
-19640	3
-19620	4
-19600	1
-19580	3
-19560	2
-19540	0
-19520	2
-19500	1
-19480	1
-19460	1
-19440	2
-19420	1
-19400	3
-19380	1
-19360	0
-19340	2
-19320	1
-19300	1
-19280	1
-19260	0
-19240	3
-19220	3
-19200	2
-19180	3
-19160	1
-19140	3
-19120	1
-19100	1
-19080	1
-19060	3
-19040	3
-19020	0
-19000	4
-18980	3
-18960	1
-18940	0
-18920	1
-18900	1
-18880	1
-18860	3
-18840	2
-18820	1
-18800	4
-18780	1
-18760	1
-18740	1
-18720	0
-18700	1
-18680	1
-18660	1
-18640	1
-18620	2
-18600	0
-18580	0
-18560	2
-18540	5
-18520	3
-18500	5
-18480	0
-18460	4
-18440	1
-18420	1
-18400	3
-18380	2
-18360	2
-18340	1
-18320	3
-18300	2
-18280	4
-18260	0
-18240	3
-18220	3
-18200	0
-18180	3
-18160	3
-18140	1
-18120	2
-18100	0
-18080	0
-18060	1
-18040	0
-18020	2
-18000	1
-17980	2
-17960	0
-17940	3
-17920	1
-17900	1
-17880	0
-17860	0
-17840	1
-17820	1
-17800	0
-17780	4
-17760	0
-17740	2
-17720	1
-17700	2
-17680	2
-17660	1
-17640	3
-17620	0
-17600	4
-17580	3
-17560	2
-17540	2
-17520	1
-17500	0
-17480	1
-17460	2
-17440	0
-17420	4
-17400	2
-17380	1
-17360	0
-17340	2
-17320	1
-17300	0
-17280	3
-17260	4
-17240	3
-17220	2
-17200	0
-17180	1
-17160	4
-17140	1
-17120	2
-17100	7
-17080	4
-17060	4
-17040	3
-17020	1
-17000	2
-16980	5
-16960	2
-16940	2
-16920	3
-16900	2
-16880	2
-16860	0
-16840	2
-16820	2
-16800	3
-16780	5
-16760	0
-16740	1
-16720	2
-16700	2
-16680	4
-16660	3
-16640	2
-16620	5
-16600	2
-16580	2
-16560	1
-16540	4
-16520	2
-16500	4
-16480	1
-16460	1
-16440	1
-16420	3
-16400	3
-16380	5
-16360	2
-16340	2
-16320	2
-16300	2
-16280	2
-16260	0
-16240	0
-16220	4
-16200	4
-16180	5
-16160	0
-16140	1
-16120	5
-16100	1
-16080	2
-16060	0
-16040	1
-16020	0
-16000	5
-15980	3
-15960	1
-15940	3
-15920	4
-15900	2
-15880	4
-15860	4
-15840	0
-15820	1
-15800	4
-15780	4
-15760	1
-15740	7
-15720	15
-15700	15
-15680	10
-15660	4
-15640	4
-15620	1
-15600	2
-15580	0
-15560	3
-15540	2
-15520	2
-15500	3
-15480	1
-15460	2
-15440	1
-15420	0
-15400	4
-15380	2
-15360	2
-15340	2
-15320	0
-15300	3
-15280	1
-15260	5
-15240	1
-15220	2
-15200	0
-15180	1
-15160	1
-15140	2
-15120	3
-15100	2
-15080	1
-15060	4
-15040	4
-15020	1
-15000	4
-14980	0
-14960	1
-14940	1
-14920	1
-14900	2
-14880	2
-14860	3
-14840	1
-14820	1
-14800	2
-14780	1
-14760	1
-14740	2
-14720	2
-14700	3
-14680	4
-14660	1
-14640	3
-14620	2
-14600	2
-14580	0
-14560	3
-14540	1
-14520	4
-14500	1
-14480	1
-14460	3
-14440	3
-14420	0
-14400	3
-14380	4
-14360	3
-14340	0
-14320	4
-14300	6
-14280	3
-14260	2
-14240	2
-14220	2
-14200	1
-14180	4
-14160	4
-14140	4
-14120	6
-14100	1
-14080	3
-14060	2
-14040	4
-14020	1
-14000	0
-13980	4
-13960	1
-13940	2
-13920	1
-13900	3
-13880	0
-13860	2
-13840	2
-13820	1
-13800	1
-13780	0
-13760	0
-13740	0
-13720	6
-13700	3
-13680	1
-13660	2
-13640	2
-13620	3
-13600	3
-13580	1
-13560	2
-13540	1
-13520	2
-13500	4
-13480	3
-13460	4
-13440	4
-13420	2
-13400	0
-13380	3
-13360	5
-13340	1
-13320	2
