"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	2
-19960	1
-19940	5
-19920	0
-19900	6
-19880	3
-19860	2
-19840	4
-19820	0
-19800	2
-19780	3
-19760	3
-19740	1
-19720	0
-19700	3
-19680	1
-19660	2
-19640	2
-19620	3
-19600	5
-19580	3
-19560	3
-19540	2
-19520	1
-19500	2
-19480	1
-19460	2
-19440	1
-19420	1
-19400	2
-19380	5
-19360	2
-19340	5
-19320	1
-19300	1
-19280	3
-19260	0
-19240	0
-19220	2
-19200	3
-19180	2
-19160	4
-19140	0
-19120	0
-19100	2
-19080	2
-19060	0
-19040	2
-19020	2
-19000	2
-18980	1
-18960	3
-18940	3
-18920	3
-18900	1
-18880	1
-18860	1
-18840	1
-18820	0
-18800	1
-18780	3
-18760	1
-18740	2
-18720	1
-18700	0
-18680	0
-18660	2
-18640	1
-18620	3
-18600	0
-18580	3
-18560	0
-18540	2
-18520	2
-18500	2
-18480	1
-18460	1
-18440	1
-18420	2
-18400	0
-18380	2
-18360	2
-18340	2
-18320	2
-18300	1
-18280	1
-18260	3
-18240	2
-18220	2
-18200	2
-18180	1
-18160	3
-18140	2
-18120	0
-18100	0
-18080	0
-18060	1
-18040	2
-18020	2
-18000	2
-17980	1
-17960	1
-17940	2
-17920	1
-17900	3
-17880	2
-17860	1
-17840	3
-17820	3
-17800	0
-17780	0
-17760	5
-17740	2
-17720	0
-17700	0
-17680	1
-17660	2
-17640	1
-17620	4
-17600	2
-17580	3
-17560	3
-17540	2
-17520	1
-17500	2
-17480	1
-17460	4
-17440	2
-17420	2
-17400	3
-17380	5
-17360	0
-17340	0
-17320	1
-17300	6
-17280	1
-17260	3
-17240	3
-17220	2
-17200	1
-17180	0
-17160	1
-17140	0
-17120	1
-17100	1
-17080	1
-17060	2
-17040	3
-17020	0
-17000	0
-16980	2
-16960	0
-16940	2
-16920	1
-16900	3
-16880	1
-16860	2
-16840	6
-16820	2
-16800	3
-16780	0
-16760	1
-16740	2
-16720	2
-16700	3
-16680	1
-16660	4
-16640	4
-16620	3
-16600	2
-16580	4
-16560	3
-16540	5
-16520	9
-16500	8
-16480	2
-16460	4
-16440	2
-16420	2
-16400	1
-16380	1
-16360	2
-16340	4
-16320	0
-16300	5
-16280	2
-16260	2
-16240	2
-16220	2
-16200	3
-16180	5
-16160	3
-16140	2
-16120	0
-16100	1
-16080	4
-16060	3
-16040	0
-16020	1
-16000	3
-15980	0
-15960	3
-15940	5
-15920	4
-15900	2
-15880	1
-15860	4
-15840	1
-15820	3
-15800	2
-15780	2
-15760	3
-15740	9
-15720	9
-15700	14
-15680	9
-15660	4
-15640	3
-15620	1
-15600	1
-15580	2
-15560	5
-15540	3
-15520	4
-15500	0
-15480	6
-15460	2
-15440	1
-15420	2
-15400	2
-15380	2
-15360	2
-15340	3
-15320	1
-15300	1
-15280	1
-15260	0
-15240	5
-15220	0
-15200	2
-15180	0
-15160	2
-15140	2
-15120	0
-15100	1
-15080	3
-15060	4
-15040	1
-15020	1
-15000	6
-14980	3
-14960	3
-14940	1
-14920	1
-14900	0
-14880	1
-14860	3
-14840	2
