"Time differences (ps)"	"Counts per bin"
-20000	0
-19980	3
-19960	2
-19940	1
-19920	2
-19900	1
-19880	7
-19860	4
-19840	2
-19820	2
-19800	1
-19780	1
-19760	3
-19740	0
-19720	0
-19700	2
-19680	1
-19660	1
-19640	1
-19620	0
-19600	1
-19580	1
-19560	3
-19540	1
-19520	2
-19500	3
-19480	3
-19460	2
-19440	1
-19420	1
-19400	2
-19380	1
-19360	1
-19340	1
-19320	2
-19300	1
-19280	1
-19260	1
-19240	2
-19220	1
-19200	1
-19180	1
-19160	2
-19140	0
-19120	0
-19100	2
-19080	1
-19060	2
-19040	2
-19020	1
-19000	3
-18980	0
-18960	3
-18940	1
-18920	2
-18900	5
-18880	0
-18860	3
-18840	0
-18820	3
-18800	4
-18780	2
-18760	2
-18740	2
-18720	1
-18700	0
-18680	2
-18660	1
-18640	1
-18620	0
-18600	0
-18580	0
-18560	2
-18540	1
-18520	2
-18500	3
-18480	0
-18460	2
-18440	1
-18420	0
-18400	2
-18380	2
-18360	2
-18340	0
-18320	5
-18300	1
-18280	0
-18260	0
-18240	0
-18220	0
-18200	3
-18180	2
-18160	2
-18140	4
-18120	2
-18100	4
-18080	1
-18060	3
-18040	0
-18020	3
-18000	2
-17980	1
-17960	3
-17940	1
-17920	0
-17900	0
-17880	3
-17860	3
-17840	2
-17820	1
-17800	2
-17780	0
-17760	1
-17740	0
-17720	1
-17700	0
-17680	1
-17660	2
-17640	1
-17620	2
-17600	0
-17580	2
-17560	1
-17540	0
-17520	2
-17500	3
-17480	3
-17460	1
-17440	0
-17420	3
-17400	0
-17380	3
-17360	3
-17340	2
-17320	5
-17300	2
-17280	4
-17260	1
-17240	1
-17220	2
-17200	3
-17180	1
-17160	2
-17140	8
-17120	1
-17100	2
-17080	3
-17060	2
-17040	3
-17020	0
-17000	3
-16980	4
-16960	3
-16940	2
-16920	0
-16900	0
-16880	0
-16860	5
-16840	2
-16820	0
-16800	1
-16780	5
-16760	1
-16740	2
-16720	2
-16700	0
-16680	1
-16660	3
-16640	3
-16620	0
-16600	1
-16580	2
-16560	0
-16540	3
-16520	2
-16500	11
-16480	4
