"Time differences (ps)"	"Counts per bin"
-20000	0
-19980	1
-19960	4
-19940	1
-19920	3
-19900	2
-19880	0
-19860	1
-19840	1
-19820	1
-19800	0
-19780	1
-19760	1
-19740	1
-19720	0
-19700	3
-19680	2
-19660	2
-19640	1
-19620	0
-19600	0
-19580	1
-19560	0
-19540	2
-19520	2
-19500	1
-19480	3
-19460	1
-19440	3
-19420	1
-19400	1
-19380	2
-19360	1
-19340	1
-19320	1
-19300	2
-19280	0
-19260	0
-19240	3
-19220	0
-19200	2
-19180	0
-19160	2
-19140	5
-19120	1
-19100	1
-19080	1
-19060	1
-19040	2
-19020	1
-19000	4
-18980	1
-18960	1
-18940	1
-18920	0
-18900	5
-18880	0
-18860	4
-18840	1
-18820	0
-18800	1
-18780	1
-18760	1
-18740	1
-18720	4
-18700	3
-18680	1
-18660	4
-18640	2
-18620	0
-18600	1
-18580	1
-18560	3
-18540	5
-18520	1
-18500	2
-18480	4
-18460	3
-18440	2
-18420	0
-18400	4
-18380	3
-18360	0
-18340	0
-18320	2
-18300	1
-18280	4
-18260	0
-18240	1
-18220	1
-18200	4
-18180	3
-18160	2
-18140	0
-18120	1
-18100	1
-18080	2
-18060	2
-18040	2
-18020	1
-18000	2
-17980	4
-17960	2
-17940	3
-17920	1
-17900	0
-17880	2
-17860	2
-17840	2
-17820	0
-17800	2
-17780	1
-17760	5
-17740	2
-17720	0
-17700	2
-17680	2
-17660	1
-17640	0
-17620	1
-17600	3
-17580	0
-17560	0
-17540	1
-17520	3
-17500	0
-17480	2
-17460	5
-17440	0
-17420	1
-17400	0
-17380	1
-17360	1
-17340	6
-17320	4
-17300	2
-17280	5
-17260	2
-17240	0
-17220	4
-17200	1
-17180	3
-17160	1
-17140	2
-17120	2
-17100	3
-17080	3
-17060	1
-17040	2
-17020	4
-17000	4
-16980	3
-16960	2
-16940	2
-16920	1
-16900	1
-16880	0
-16860	2
-16840	5
-16820	1
-16800	2
-16780	2
-16760	1
-16740	2
-16720	3
-16700	3
-16680	0
-16660	0
-16640	0
-16620	2
-16600	2
-16580	4
-16560	2
-16540	4
-16520	4
-16500	4
-16480	2
-16460	0
-16440	0
-16420	0
-16400	0
-16380	1
-16360	2
-16340	1
-16320	1
-16300	0
-16280	2
-16260	2
-16240	1
-16220	2
-16200	2
-16180	1
-16160	1
-16140	6
-16120	2
-16100	2
-16080	2
-16060	0
-16040	3
-16020	2
-16000	0
-15980	1
-15960	1
-15940	4
-15920	1
-15900	1
-15880	1
-15860	2
-15840	1
-15820	4
-15800	7
-15780	7
-15760	6
-15740	9
-15720	8
-15700	15
-15680	22
-15660	4
-15640	1
-15620	2
-15600	5
-15580	1
-15560	3
-15540	2
-15520	4
-15500	4
-15480	1
-15460	0
-15440	0
-15420	0
-15400	0
-15380	1
-15360	2
-15340	1
-15320	4
-15300	2
-15280	1
-15260	3
-15240	4
-15220	1
-15200	0
-15180	2
-15160	5
-15140	3
-15120	4
