"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	3
-19960	1
-19940	3
-19920	0
-19900	2
-19880	1
-19860	2
-19840	2
-19820	1
-19800	4
-19780	2
-19760	3
-19740	1
-19720	4
-19700	1
-19680	3
-19660	2
-19640	0
-19620	2
-19600	1
-19580	4
-19560	1
-19540	0
-19520	0
-19500	2
-19480	0
-19460	3
-19440	0
-19420	2
-19400	1
-19380	2
-19360	3
-19340	2
-19320	3
-19300	1
-19280	1
-19260	0
-19240	1
-19220	4
-19200	4
-19180	3
-19160	2
-19140	0
-19120	2
-19100	4
-19080	1
-19060	2
-19040	5
-19020	3
-19000	0
-18980	5
-18960	1
-18940	2
-18920	1
-18900	3
-18880	2
-18860	1
-18840	3
-18820	3
-18800	4
-18780	2
-18760	2
-18740	2
-18720	0
-18700	3
-18680	0
-18660	1
-18640	3
-18620	3
-18600	2
-18580	1
-18560	1
-18540	0
-18520	2
-18500	2
-18480	5
-18460	2
-18440	2
-18420	2
-18400	2
-18380	1
-18360	7
-18340	0
-18320	0
-18300	3
-18280	4
-18260	1
-18240	2
-18220	1
-18200	2
-18180	0
-18160	0
-18140	1
-18120	0
-18100	3
-18080	1
-18060	1
-18040	1
-18020	0
-18000	3
-17980	3
-17960	2
-17940	1
-17920	2
-17900	1
-17880	3
-17860	1
-17840	2
-17820	2
-17800	4
-17780	2
-17760	3
-17740	2
-17720	1
-17700	1
-17680	1
-17660	4
-17640	4
-17620	4
-17600	2
-17580	2
-17560	2
-17540	2
-17520	1
-17500	2
-17480	1
-17460	1
-17440	3
-17420	1
-17400	3
-17380	2
-17360	1
-17340	0
-17320	1
-17300	4
-17280	6
-17260	0
-17240	1
-17220	2
-17200	0
-17180	1
-17160	0
-17140	6
-17120	1
-17100	1
-17080	1
-17060	1
-17040	4
-17020	1
-17000	2
-16980	1
-16960	0
-16940	2
-16920	0
-16900	4
-16880	2
-16860	0
-16840	3
-16820	3
-16800	2
-16780	1
-16760	3
-16740	2
-16720	4
-16700	0
-16680	0
-16660	3
-16640	5
-16620	1
-16600	2
-16580	3
-16560	6
-16540	7
-16520	2
-16500	7
-16480	6
-16460	3
-16440	3
-16420	2
-16400	3
-16380	1
-16360	2
-16340	0
-16320	1
-16300	3
-16280	3
-16260	0
-16240	2
-16220	4
-16200	1
-16180	3
-16160	2
-16140	3
-16120	5
-16100	5
-16080	2
-16060	4
-16040	2
-16020	2
-16000	2
-15980	1
-15960	2
-15940	2
-15920	4
-15900	2
-15880	4
-15860	0
-15840	1
-15820	2
-15800	1
-15780	3
-15760	6
-15740	10
-15720	21
-15700	18
-15680	11
-15660	11
-15640	1
-15620	5
-15600	1
-15580	4
-15560	2
-15540	4
-15520	2
-15500	1
-15480	3
-15460	3
-15440	1
-15420	2
-15400	3
-15380	4
-15360	2
-15340	2
-15320	1
-15300	2
-15280	3
-15260	1
-15240	3
-15220	3
-15200	5
-15180	1
-15160	1
-15140	2
-15120	5
-15100	3
-15080	3
-15060	1
-15040	2
-15020	3
-15000	0
-14980	3
-14960	2
-14940	1
-14920	0
-14900	1
-14880	2
-14860	2
-14840	1
-14820	2
-14800	3
-14780	2
-14760	1
-14740	4
-14720	0
-14700	2
-14680	4
-14660	1
-14640	2
-14620	2
-14600	4
-14580	0
-14560	2
-14540	2
-14520	2
-14500	3
-14480	3
-14460	1
-14440	4
-14420	3
-14400	5
-14380	2
-14360	5
-14340	1
-14320	1
-14300	7
-14280	0
-14260	2
-14240	1
-14220	3
-14200	1
-14180	3
-14160	3
-14140	2
-14120	2
-14100	2
-14080	4
-14060	0
-14040	1
-14020	1
-14000	1
-13980	5
-13960	0
-13940	4
-13920	2
-13900	1
-13880	3
-13860	1
-13840	3
-13820	3
-13800	5
-13780	1
-13760	1
-13740	4
-13720	2
-13700	1
-13680	2
-13660	2
-13640	6
-13620	1
-13600	4
-13580	1
-13560	2
-13540	2
-13520	3
-13500	5
-13480	0
-13460	4
-13440	1
-13420	2
-13400	3
-13380	2
-13360	3
-13340	6
-13320	2
-13300	2
-13280	3
-13260	5
-13240	1
-13220	0
-13200	3
-13180	5
-13160	4
-13140	2
-13120	1
-13100	2
-13080	2
-13060	1
-13040	4
-13020	5
-13000	4
-12980	3
-12960	2
-12940	1
-12920	3
-12900	4
-12880	2
-12860	2
-12840	3
-12820	2
-12800	7
-12780	3
-12760	7
-12740	19
-12720	8
-12700	9
-12680	17
-12660	24
-12640	72
-12620	106
-12600	232
-12580	476
-12560	1151
-12540	2774
-12520	5708
-12500	8889
-12480	6469
-12460	1950
-12440	415
-12420	62
-12400	18
-12380	6
-12360	7
-12340	7
-12320	9
-12300	8
-12280	3
-12260	0
-12240	1
-12220	0
-12200	3
-12180	0
-12160	3
-12140	2
-12120	1
-12100	4
-12080	2
-12060	0
-12040	1
-12020	1
-12000	1
-11980	2
-11960	2
-11940	0
-11920	1
-11900	0
-11880	1
-11860	0
-11840	1
