"Time differences (ps)"	"Counts per bin"
-20000	0
-19980	0
-19960	0
-19940	3
-19920	1
-19900	2
-19880	0
-19860	1
-19840	2
-19820	2
-19800	2
-19780	2
-19760	2
-19740	3
-19720	3
-19700	1
-19680	0
-19660	0
-19640	2
-19620	0
-19600	1
-19580	1
-19560	3
-19540	4
-19520	1
-19500	3
-19480	0
-19460	1
-19440	2
-19420	2
-19400	0
-19380	0
-19360	1
-19340	0
-19320	1
-19300	1
-19280	1
-19260	2
-19240	1
-19220	3
-19200	1
-19180	2
-19160	0
-19140	3
-19120	2
-19100	1
-19080	0
-19060	2
-19040	1
-19020	4
-19000	1
-18980	2
-18960	0
-18940	0
-18920	5
-18900	2
-18880	0
-18860	0
-18840	1
-18820	2
-18800	4
-18780	3
-18760	2
-18740	2
-18720	1
-18700	2
-18680	4
-18660	1
-18640	1
-18620	3
-18600	0
-18580	1
-18560	2
-18540	1
-18520	2
-18500	2
-18480	1
-18460	1
-18440	0
-18420	1
-18400	1
-18380	2
-18360	2
-18340	0
-18320	1
-18300	2
-18280	0
-18260	0
-18240	0
-18220	1
-18200	1
-18180	2
-18160	0
-18140	1
-18120	1
-18100	2
-18080	1
-18060	2
-18040	3
-18020	2
-18000	0
-17980	1
-17960	3
-17940	2
-17920	0
-17900	2
-17880	2
-17860	1
-17840	2
-17820	2
-17800	1
-17780	2
-17760	1
-17740	2
-17720	0
-17700	0
-17680	0
-17660	2
-17640	2
-17620	1
-17600	0
-17580	0
-17560	1
-17540	0
-17520	1
-17500	2
-17480	0
-17460	1
-17440	0
-17420	2
-17400	1
-17380	3
-17360	2
-17340	3
-17320	2
-17300	4
-17280	3
-17260	1
-17240	1
-17220	3
-17200	3
-17180	3
-17160	4
-17140	3
-17120	3
-17100	1
-17080	0
-17060	0
-17040	1
-17020	4
-17000	3
-16980	2
-16960	2
-16940	0
-16920	1
-16900	1
-16880	1
-16860	2
-16840	0
-16820	3
-16800	2
-16780	2
-16760	4
-16740	1
-16720	2
-16700	1
-16680	1
-16660	2
-16640	2
-16620	2
-16600	2
-16580	5
-16560	3
-16540	3
-16520	8
-16500	3
-16480	2
-16460	0
-16440	5
-16420	3
-16400	2
-16380	2
-16360	3
-16340	3
-16320	1
-16300	3
-16280	1
-16260	0
-16240	2
-16220	2
-16200	1
-16180	0
-16160	1
-16140	0
