"Time differences (ps)"	"Counts per bin"
-20000	3
-19980	4
-19960	1
-19940	3
-19920	0
-19900	1
-19880	2
-19860	1
-19840	0
-19820	0
-19800	1
-19780	4
-19760	0
-19740	2
-19720	3
-19700	3
-19680	4
-19660	1
-19640	1
-19620	1
-19600	2
-19580	0
-19560	1
-19540	1
-19520	2
-19500	2
-19480	0
-19460	0
-19440	0
-19420	1
-19400	5
-19380	2
-19360	1
-19340	1
-19320	1
-19300	1
-19280	1
-19260	0
-19240	1
-19220	1
-19200	2
-19180	0
-19160	2
-19140	1
-19120	0
-19100	2
-19080	1
-19060	4
-19040	1
-19020	4
-19000	2
-18980	1
-18960	2
-18940	2
-18920	0
-18900	0
-18880	3
-18860	0
-18840	1
-18820	2
-18800	0
-18780	0
-18760	0
-18740	1
-18720	0
-18700	3
-18680	2
-18660	4
-18640	2
-18620	2
-18600	3
-18580	3
-18560	0
-18540	1
-18520	0
-18500	1
-18480	1
-18460	0
-18440	1
-18420	3
-18400	1
-18380	1
-18360	1
-18340	1
-18320	0
-18300	3
-18280	1
-18260	2
-18240	2
-18220	2
-18200	1
-18180	1
-18160	1
-18140	1
-18120	1
-18100	4
-18080	3
-18060	6
-18040	1
-18020	2
-18000	1
-17980	1
-17960	1
-17940	3
-17920	6
-17900	0
-17880	1
-17860	1
-17840	0
-17820	1
-17800	1
-17780	2
-17760	0
-17740	0
-17720	3
-17700	4
-17680	0
-17660	4
-17640	1
-17620	1
-17600	0
-17580	1
-17560	3
-17540	1
-17520	2
-17500	1
-17480	2
-17460	0
-17440	2
-17420	2
-17400	2
-17380	3
-17360	1
-17340	0
-17320	5
-17300	3
-17280	2
-17260	2
-17240	3
-17220	5
-17200	0
-17180	2
-17160	1
-17140	4
-17120	1
-17100	1
-17080	2
-17060	2
-17040	2
-17020	1
-17000	1
-16980	1
-16960	2
-16940	5
-16920	3
-16900	1
-16880	1
-16860	3
-16840	4
-16820	2
-16800	2
-16780	2
-16760	1
-16740	0
-16720	1
-16700	2
-16680	3
-16660	3
-16640	1
-16620	0
-16600	1
-16580	1
-16560	2
-16540	3
-16520	4
-16500	7
-16480	4
-16460	2
-16440	3
-16420	0
-16400	3
-16380	1
-16360	0
-16340	1
-16320	3
-16300	0
-16280	4
-16260	0
-16240	2
-16220	3
-16200	3
-16180	0
-16160	3
-16140	1
-16120	2
-16100	4
-16080	3
-16060	6
-16040	0
-16020	1
-16000	3
-15980	2
-15960	2
-15940	2
-15920	4
-15900	3
-15880	2
-15860	3
-15840	1
-15820	0
-15800	2
-15780	2
-15760	3
-15740	10
-15720	20
-15700	27
-15680	17
-15660	12
-15640	1
-15620	3
-15600	1
-15580	0
-15560	3
-15540	2
-15520	4
-15500	0
-15480	1
-15460	1
-15440	2
-15420	1
-15400	4
-15380	1
-15360	2
-15340	1
-15320	0
-15300	0
-15280	2
-15260	2
-15240	3
-15220	0
-15200	0
-15180	1
-15160	2
-15140	3
-15120	4
-15100	2
-15080	3
-15060	1
-15040	2
-15020	1
-15000	3
-14980	2
-14960	2
-14940	2
-14920	4
-14900	1
-14880	2
-14860	0
-14840	2
-14820	2
-14800	2
-14780	0
-14760	1
-14740	1
-14720	4
-14700	1
-14680	3
-14660	1
-14640	3
-14620	2
-14600	1
-14580	1
-14560	0
-14540	5
-14520	1
-14500	2
-14480	0
-14460	5
-14440	1
-14420	2
-14400	1
-14380	0
-14360	2
-14340	1
-14320	0
-14300	1
-14280	3
-14260	1
-14240	2
-14220	1
-14200	0
-14180	4
-14160	0
-14140	1
-14120	2
-14100	2
-14080	2
-14060	2
-14040	2
-14020	5
-14000	3
-13980	3
-13960	1
-13940	2
