"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	0
-19960	4
-19940	0
-19920	1
-19900	0
-19880	1
-19860	2
-19840	6
-19820	1
-19800	1
-19780	1
-19760	5
-19740	3
-19720	1
-19700	2
-19680	1
-19660	0
-19640	2
-19620	1
-19600	4
-19580	2
-19560	1
-19540	1
-19520	1
-19500	1
-19480	1
-19460	3
-19440	3
-19420	0
-19400	1
-19380	4
-19360	0
-19340	2
-19320	0
-19300	0
-19280	2
-19260	1
-19240	0
-19220	1
-19200	2
-19180	1
-19160	3
-19140	2
-19120	2
-19100	1
-19080	1
-19060	2
-19040	0
-19020	6
-19000	3
-18980	1
-18960	4
-18940	2
-18920	0
-18900	1
-18880	2
-18860	3
-18840	2
-18820	0
-18800	1
-18780	2
-18760	0
-18740	2
-18720	1
-18700	2
-18680	2
-18660	1
-18640	1
-18620	0
-18600	1
-18580	2
-18560	4
-18540	2
-18520	1
-18500	2
-18480	4
-18460	1
-18440	2
-18420	1
-18400	3
-18380	1
-18360	2
-18340	0
-18320	3
-18300	3
-18280	1
-18260	1
-18240	4
-18220	1
-18200	1
-18180	2
-18160	2
-18140	1
-18120	1
-18100	1
-18080	1
-18060	2
-18040	2
-18020	3
-18000	1
-17980	0
-17960	1
-17940	0
-17920	0
-17900	0
-17880	2
-17860	2
-17840	3
-17820	2
-17800	0
-17780	1
-17760	1
-17740	1
-17720	1
-17700	2
-17680	1
-17660	2
-17640	1
-17620	2
-17600	1
-17580	2
-17560	3
-17540	1
-17520	1
-17500	4
-17480	1
-17460	3
-17440	2
-17420	3
-17400	4
-17380	1
-17360	0
-17340	2
-17320	0
-17300	3
-17280	1
-17260	0
-17240	2
-17220	4
-17200	0
-17180	2
-17160	0
-17140	6
-17120	2
-17100	3
-17080	3
-17060	2
-17040	1
-17020	3
-17000	1
-16980	0
-16960	2
-16940	1
-16920	1
-16900	1
-16880	1
-16860	3
-16840	4
-16820	3
-16800	2
-16780	1
-16760	0
-16740	2
-16720	1
-16700	3
-16680	2
-16660	2
-16640	6
-16620	1
-16600	2
-16580	0
-16560	3
-16540	6
-16520	5
-16500	5
-16480	2
-16460	0
-16440	1
-16420	1
-16400	2
-16380	3
-16360	4
-16340	1
-16320	1
-16300	1
-16280	2
-16260	1
-16240	3
-16220	4
-16200	2
-16180	3
-16160	3
-16140	0
-16120	3
-16100	2
-16080	3
-16060	1
-16040	2
-16020	0
-16000	2
-15980	3
-15960	1
-15940	2
-15920	1
-15900	2
-15880	3
-15860	8
-15840	2
-15820	2
-15800	0
-15780	4
-15760	4
-15740	10
-15720	18
-15700	26
-15680	26
-15660	11
-15640	9
-15620	3
-15600	3
-15580	3
-15560	2
-15540	1
-15520	1
-15500	1
-15480	3
-15460	0
-15440	1
-15420	2
-15400	1
-15380	0
-15360	0
-15340	0
-15320	3
-15300	2
-15280	1
-15260	0
-15240	2
-15220	1
-15200	4
-15180	0
-15160	3
-15140	2
-15120	2
-15100	0
-15080	5
-15060	0
-15040	1
-15020	4
-15000	3
-14980	1
-14960	3
-14940	2
-14920	3
-14900	2
-14880	2
-14860	2
-14840	2
-14820	2
-14800	1
-14780	2
-14760	1
-14740	2
-14720	0
-14700	1
-14680	0
-14660	2
-14640	1
-14620	1
-14600	3
-14580	1
-14560	4
-14540	2
-14520	1
-14500	5
-14480	4
-14460	1
-14440	3
-14420	2
-14400	2
-14380	2
-14360	4
-14340	4
-14320	2
-14300	1
-14280	2
-14260	1
-14240	1
-14220	2
-14200	0
-14180	2
-14160	2
-14140	3
-14120	0
-14100	3
-14080	0
-14060	1
-14040	1
-14020	0
-14000	4
-13980	3
-13960	3
-13940	1
-13920	1
-13900	0
-13880	4
-13860	4
-13840	2
-13820	1
-13800	1
-13780	3
-13760	4
-13740	2
-13720	1
-13700	1
-13680	2
-13660	5
-13640	1
-13620	0
-13600	3
-13580	3
-13560	3
-13540	2
-13520	1
-13500	4
-13480	2
-13460	4
-13440	3
-13420	4
-13400	2
-13380	6
-13360	2
-13340	7
-13320	0
-13300	3
-13280	1
-13260	2
-13240	1
-13220	1
-13200	1
-13180	2
-13160	3
-13140	3
-13120	2
-13100	3
-13080	6
-13060	1
-13040	3
-13020	3
-13000	2
-12980	5
-12960	4
-12940	3
-12920	5
-12900	4
-12880	3
-12860	5
-12840	5
-12820	3
-12800	3
-12780	4
-12760	8
-12740	5
-12720	9
-12700	14
-12680	18
-12660	16
-12640	21
-12620	52
-12600	135
-12580	295
-12560	836
-12540	2259
-12520	5294
-12500	8496
-12480	6485
-12460	2078
-12440	408
-12420	81
-12400	20
-12380	13
-12360	9
-12340	18
-12320	16
-12300	11
-12280	5
-12260	0
-12240	1
-12220	1
-12200	4
-12180	1
-12160	2
-12140	2
-12120	0
-12100	1
-12080	1
-12060	1
-12040	3
-12020	0
-12000	1
-11980	1
-11960	0
-11940	1
-11920	0
-11900	1
-11880	1
-11860	1
-11840	0
-11820	2
-11800	2
-11780	2
-11760	3
-11740	5
-11720	3
-11700	5
-11680	7
-11660	9
-11640	18
-11620	6
-11600	3
-11580	0
-11560	1
-11540	1
-11520	0
-11500	0
-11480	4
-11460	0
-11440	2
-11420	1
-11400	2
-11380	0
-11360	0
-11340	1
-11320	1
-11300	1
-11280	0
-11260	1
-11240	2
-11220	1
-11200	2
-11180	1
-11160	2
-11140	2
-11120	2
-11100	7
-11080	4
-11060	3
-11040	3
-11020	2
-11000	2
-10980	1
-10960	0
-10940	1
-10920	0
-10900	2
-10880	2
-10860	0
-10840	1
-10820	0
-10800	1
-10780	1
-10760	4
-10740	0
-10720	1
-10700	0
-10680	2
-10660	0
-10640	0
-10620	2
-10600	3
-10580	0
-10560	3
-10540	1
-10520	1
-10500	1
-10480	0
-10460	1
-10440	0
-10420	0
-10400	2
-10380	0
-10360	0
-10340	0
-10320	1
-10300	1
-10280	0
-10260	0
-10240	1
-10220	1
-10200	2
-10180	7
-10160	0
-10140	1
-10120	2
-10100	1
-10080	1
-10060	1
-10040	0
-10020	1
-10000	3
-9980	0
-9960	3
-9940	2
-9920	2
-9900	0
-9880	1
-9860	1
-9840	2
-9820	1
-9800	1
-9780	1
-9760	1
-9740	1
-9720	2
-9700	1
-9680	1
-9660	2
-9640	3
-9620	0
-9600	2
-9580	0
-9560	2
-9540	4
-9520	1
-9500	1
-9480	3
-9460	0
-9440	1
-9420	1
-9400	1
-9380	2
-9360	0
-9340	4
-9320	0
-9300	3
-9280	1
-9260	0
-9240	4
-9220	2
-9200	3
-9180	0
-9160	1
-9140	2
-9120	3
-9100	0
-9080	1
-9060	1
-9040	2
-9020	1
-9000	3
-8980	5
-8960	0
-8940	1
-8920	3
-8900	1
-8880	2
-8860	0
-8840	5
-8820	1
-8800	1
-8780	1
-8760	2
-8740	2
-8720	1
-8700	3
-8680	1
-8660	1
-8640	2
-8620	3
-8600	3
-8580	2
-8560	0
-8540	0
-8520	3
-8500	3
-8480	4
-8460	4
-8440	2
-8420	1
-8400	0
-8380	3
-8360	1
-8340	2
-8320	0
-8300	0
-8280	1
-8260	0
-8240	0
-8220	2
-8200	2
-8180	2
-8160	1
-8140	0
-8120	1
-8100	3
-8080	0
-8060	1
-8040	2
-8020	0
-8000	2
-7980	1
-7960	2
-7940	4
-7920	0
-7900	1
-7880	1
-7860	5
-7840	1
-7820	3
-7800	2
-7780	3
-7760	2
-7740	2
-7720	0
-7700	0
-7680	3
-7660	5
-7640	5
-7620	2
-7600	3
-7580	5
-7560	3
-7540	2
-7520	4
-7500	0
-7480	1
-7460	4
-7440	2
-7420	6
-7400	5
-7380	5
-7360	1
-7340	2
-7320	1
-7300	0
-7280	0
-7260	0
-7240	1
-7220	3
-7200	3
-7180	2
-7160	1
-7140	1
-7120	1
-7100	1
-7080	0
-7060	1
-7040	2
-7020	0
-7000	2
-6980	2
-6960	3
-6940	0
-6920	3
-6900	0
-6880	3
-6860	1
-6840	1
-6820	3
-6800	1
-6780	2
-6760	1
-6740	2
-6720	1
-6700	2
-6680	1
-6660	1
-6640	1
-6620	2
-6600	0
-6580	5
-6560	4
-6540	1
-6520	2
-6500	3
-6480	3
-6460	2
-6440	1
-6420	3
-6400	5
-6380	0
-6360	1
-6340	2
-6320	3
-6300	0
-6280	1
-6260	4
-6240	5
-6220	0
-6200	3
-6180	1
-6160	2
-6140	0
-6120	1
-6100	1
-6080	3
-6060	2
-6040	3
-6020	4
-6000	1
-5980	2
-5960	3
-5940	1
-5920	2
-5900	4
-5880	0
-5860	2
-5840	1
-5820	3
-5800	2
-5780	2
-5760	2
-5740	1
-5720	1
-5700	3
-5680	2
-5660	2
-5640	1
-5620	0
-5600	3
-5580	1
-5560	0
-5540	0
-5520	3
-5500	2
-5480	2
-5460	1
-5440	1
-5420	1
-5400	0
-5380	1
-5360	0
-5340	4
-5320	3
-5300	0
-5280	2
-5260	1
-5240	3
-5220	0
-5200	1
-5180	1
-5160	1
-5140	2
-5120	0
-5100	2
-5080	3
-5060	2
-5040	2
-5020	1
-5000	1
-4980	1
-4960	1
-4940	1
-4920	1
-4900	0
-4880	1
-4860	0
-4840	3
-4820	3
-4800	0
-4780	3
-4760	1
-4740	1
-4720	3
-4700	1
-4680	1
-4660	1
-4640	3
-4620	1
-4600	0
-4580	4
-4560	2
-4540	0
-4520	1
-4500	4
-4480	2
-4460	0
-4440	1
-4420	0
-4400	3
-4380	2
-4360	1
-4340	0
-4320	2
-4300	1
-4280	1
-4260	1
-4240	3
-4220	4
-4200	1
-4180	0
-4160	1
-4140	1
-4120	0
-4100	0
-4080	2
-4060	6
-4040	10
-4020	5
-4000	2
-3980	2
-3960	0
-3940	3
-3920	1
-3900	3
-3880	3
-3860	0
-3840	2
-3820	0
-3800	0
-3780	2
-3760	3
-3740	0
-3720	2
-3700	0
-3680	2
-3660	0
-3640	1
-3620	1
-3600	2
-3580	1
-3560	1
-3540	3
-3520	1
-3500	2
-3480	1
-3460	3
-3440	0
-3420	3
-3400	5
-3380	2
-3360	3
-3340	2
-3320	2
-3300	0
-3280	4
-3260	4
-3240	17
-3220	43
-3200	33
-3180	19
-3160	5
-3140	7
-3120	5
-3100	2
-3080	4
-3060	3
-3040	0
-3020	0
-3000	4
-2980	5
-2960	0
-2940	0
-2920	1
-2900	1
-2880	4
-2860	1
-2840	3
-2820	2
-2800	0
-2780	0
-2760	0
-2740	4
-2720	2
-2700	5
-2680	2
-2660	3
-2640	0
-2620	0
-2600	0
-2580	1
-2560	5
-2540	2
-2520	0
-2500	3
-2480	2
-2460	2
-2440	2
-2420	2
-2400	3
-2380	3
-2360	1
-2340	3
-2320	2
-2300	2
-2280	2
-2260	3
-2240	3
-2220	5
-2200	2
-2180	3
-2160	4
-2140	6
-2120	0
-2100	3
-2080	1
-2060	2
-2040	0
-2020	2
-2000	2
-1980	4
-1960	3
-1940	0
-1920	0
-1900	2
-1880	2
-1860	1
-1840	1
-1820	2
-1800	3
-1780	3
-1760	2
-1740	2
-1720	1
-1700	0
-1680	2
-1660	3
-1640	6
-1620	1
-1600	0
-1580	3
-1560	2
-1540	3
-1520	0
-1500	6
-1480	2
-1460	2
-1440	2
-1420	2
-1400	0
-1380	0
-1360	1
-1340	5
-1320	1
-1300	4
-1280	1
-1260	0
-1240	2
-1220	3
-1200	5
-1180	0
-1160	3
-1140	2
-1120	1
-1100	2
-1080	1
-1060	3
-1040	3
-1020	1
-1000	2
-980	5
-960	1
-940	2
-920	2
-900	3
-880	4
-860	4
-840	2
-820	3
-800	2
-780	2
-760	2
-740	3
-720	2
-700	3
-680	1
-660	1
-640	1
-620	4
-600	1
-580	1
-560	2
-540	0
-520	0
-500	2
-480	4
-460	2
-440	6
-420	2
-400	1
-380	0
-360	2
-340	1
-320	7
-300	0
-280	2
-260	4
-240	1
-220	7
-200	14
-180	25
-160	26
-140	45
-120	133
-100	298
-80	711
-60	1979
-40	4816
-20	10570
0	8677
20	1589
40	172
60	26
80	10
100	8
120	8
140	18
160	15
180	15
200	5
220	2
240	5
260	5
280	1
300	3
320	3
340	4
360	4
380	2
400	10
420	2
440	4
460	3
480	4
500	2
520	0
540	5
560	8
580	2
600	1
620	1
640	6
660	4
680	3
700	10
720	7
740	6
760	2
780	9
800	2
820	6
840	11
860	10
880	4
900	3
920	5
940	5
960	2
980	5
1000	7
1020	4
1040	1
1060	1
1080	2
1100	2
1120	2
1140	3
1160	6
1180	6
1200	4
1220	5
1240	2
1260	8
1280	2
1300	5
1320	5
1340	8
1360	5
1380	8
1400	12
1420	4
1440	3
1460	5
1480	4
1500	0
1520	5
1540	8
1560	6
1580	5
1600	6
1620	7
1640	4
1660	4
1680	5
1700	6
1720	6
1740	4
1760	5
1780	4
1800	2
1820	2
1840	3
1860	4
1880	2
1900	3
1920	5
1940	1
1960	5
1980	4
2000	2
2020	4
2040	3
2060	3
2080	5
2100	2
2120	3
2140	5
2160	6
2180	2
2200	5
2220	1
2240	2
2260	1
2280	4
2300	2
2320	4
2340	7
2360	3
2380	4
2400	4
2420	4
2440	6
2460	5
2480	1
2500	4
2520	4
2540	4
2560	5
2580	2
2600	0
2620	7
2640	8
2660	2
2680	4
2700	3
2720	5
2740	2
2760	2
2780	7
2800	5
2820	3
2840	2
2860	3
2880	1
2900	1
2920	5
2940	2
2960	1
2980	6
3000	7
3020	3
3040	7
3060	1
3080	3
3100	5
3120	5
3140	2
3160	5
3180	5
3200	1
3220	1
3240	5
3260	10
3280	3
3300	3
3320	5
3340	5
3360	3
3380	6
3400	5
3420	4
3440	6
3460	3
3480	4
3500	5
3520	5
3540	3
3560	4
3580	4
3600	3
3620	3
3640	1
3660	2
3680	3
3700	5
3720	2
3740	5
3760	1
3780	4
3800	3
3820	2
3840	1
3860	5
3880	2
3900	4
3920	4
3940	3
3960	2
3980	9
4000	6
4020	2
4040	4
4060	3
4080	2
4100	3
4120	4
4140	1
4160	7
4180	5
4200	6
4220	5
4240	5
4260	4
4280	7
4300	1
4320	6
4340	3
4360	3
4380	3
4400	1
4420	1
4440	4
4460	3
4480	4
4500	3
4520	3
4540	2
4560	9
4580	4
4600	1
4620	6
4640	3
4660	3
4680	3
4700	1
4720	6
4740	5
4760	3
4780	3
4800	5
4820	10
4840	5
4860	5
4880	5
4900	3
4920	5
4940	2
4960	6
4980	3
5000	4
5020	2
5040	2
5060	4
5080	7
5100	4
5120	7
5140	4
5160	6
5180	3
5200	3
5220	3
5240	2
5260	3
5280	6
5300	1
5320	10
5340	3
5360	7
5380	1
5400	9
5420	6
5440	3
5460	2
5480	7
5500	9
5520	4
5540	7
5560	3
5580	2
5600	2
5620	5
5640	5
5660	1
5680	1
5700	2
5720	2
5740	2
5760	4
5780	5
5800	3
5820	4
5840	4
5860	4
5880	6
5900	2
5920	3
5940	4
5960	6
5980	2
6000	1
6020	4
6040	3
6060	5
6080	8
6100	1
6120	3
6140	6
6160	7
6180	3
6200	2
6220	7
6240	1
6260	5
6280	5
6300	5
6320	3
6340	7
6360	4
6380	1
6400	3
6420	5
6440	5
6460	6
6480	4
6500	1
6520	5
6540	5
6560	3
6580	4
6600	4
6620	6
6640	4
6660	2
6680	4
6700	1
6720	3
6740	7
6760	1
6780	3
6800	2
6820	7
6840	5
6860	3
6880	6
6900	5
6920	8
6940	8
6960	6
6980	4
7000	8
7020	4
7040	4
7060	7
7080	7
7100	2
7120	3
7140	6
7160	4
7180	4
7200	3
7220	3
7240	4
7260	5
7280	3
7300	2
7320	1
7340	5
7360	4
7380	5
7400	6
7420	7
7440	7
7460	3
7480	2
7500	7
7520	5
7540	2
7560	3
7580	7
7600	6
7620	0
7640	6
7660	1
7680	3
7700	7
7720	6
7740	1
7760	3
7780	3
7800	1
7820	3
7840	3
7860	7
7880	2
7900	2
7920	4
7940	2
7960	1
7980	3
8000	4
8020	8
8040	2
8060	4
8080	6
8100	4
8120	0
8140	6
8160	2
8180	3
8200	3
8220	6
8240	8
8260	1
8280	4
8300	5
8320	5
8340	4
8360	3
8380	3
8400	5
8420	12
8440	10
8460	9
8480	5
8500	7
8520	3
8540	1
8560	7
8580	4
8600	0
8620	3
8640	4
8660	6
8680	7
8700	5
8720	5
8740	6
8760	3
8780	5
8800	1
8820	5
8840	5
8860	3
8880	4
8900	5
8920	4
8940	0
8960	1
8980	5
9000	1
9020	6
9040	6
9060	4
9080	3
9100	5
9120	5
9140	5
9160	8
9180	2
9200	4
9220	5
9240	18
9260	23
9280	28
9300	24
9320	8
9340	6
9360	7
9380	8
9400	8
9420	6
9440	4
9460	4
9480	7
9500	3
9520	4
9540	7
9560	4
9580	6
9600	3
9620	1
9640	7
9660	6
9680	4
9700	3
9720	3
9740	6
9760	9
9780	4
9800	1
9820	3
9840	4
9860	2
9880	3
9900	3
9920	6
9940	3
9960	7
9980	3
10000	4
10020	5
10040	1
10060	3
10080	4
10100	3
10120	2
10140	2
10160	3
10180	1
10200	5
10220	2
10240	4
10260	10
10280	6
10300	6
10320	5
10340	5
10360	3
10380	0
10400	2
10420	6
10440	7
10460	1
10480	4
10500	5
10520	8
10540	4
10560	7
10580	4
10600	6
10620	5
10640	5
10660	4
10680	3
10700	3
10720	2
10740	5
10760	6
10780	4
10800	5
10820	6
10840	3
10860	3
10880	3
10900	5
10920	1
10940	4
10960	5
10980	4
11000	6
11020	2
11040	12
11060	4
11080	3
11100	3
11120	7
11140	8
11160	5
11180	3
11200	3
11220	3
11240	5
11260	4
11280	7
11300	5
11320	8
11340	3
11360	2
11380	7
11400	2
11420	5
11440	9
11460	1
11480	3
11500	11
11520	11
11540	7
11560	10
11580	8
11600	4
11620	9
11640	7
11660	6
11680	9
11700	11
11720	7
11740	14
11760	9
11780	10
11800	4
11820	1
11840	4
11860	4
11880	4
11900	5
11920	5
11940	8
11960	8
11980	7
12000	5
12020	2
12040	5
12060	5
12080	2
12100	3
12120	4
12140	4
12160	3
12180	3
12200	6
