"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	3
-19960	1
-19940	1
-19920	3
-19900	5
-19880	2
-19860	5
-19840	2
-19820	2
-19800	1
-19780	1
-19760	3
-19740	2
-19720	1
-19700	2
-19680	1
-19660	0
-19640	2
-19620	1
-19600	1
-19580	3
-19560	0
-19540	1
-19520	0
-19500	0
-19480	2
-19460	1
-19440	4
-19420	1
-19400	0
-19380	1
-19360	4
-19340	3
-19320	1
-19300	2
-19280	1
-19260	3
-19240	0
-19220	1
-19200	1
-19180	2
-19160	2
-19140	0
-19120	2
-19100	1
-19080	1
-19060	0
-19040	2
-19020	0
-19000	1
-18980	3
-18960	1
-18940	2
-18920	1
-18900	1
-18880	2
-18860	3
-18840	3
-18820	0
-18800	2
-18780	2
-18760	1
-18740	1
-18720	1
-18700	1
-18680	2
-18660	2
-18640	2
-18620	0
-18600	1
-18580	2
-18560	1
-18540	1
-18520	1
-18500	2
-18480	1
-18460	5
-18440	1
-18420	3
-18400	1
-18380	2
-18360	1
-18340	1
-18320	2
-18300	1
-18280	0
-18260	0
-18240	4
-18220	0
-18200	3
-18180	1
-18160	1
-18140	0
-18120	2
-18100	3
-18080	0
-18060	2
-18040	3
-18020	3
-18000	3
-17980	2
-17960	4
-17940	1
-17920	3
-17900	4
-17880	0
-17860	2
-17840	3
-17820	1
-17800	1
-17780	4
-17760	2
-17740	4
-17720	1
-17700	1
-17680	1
-17660	2
-17640	1
-17620	1
-17600	1
-17580	3
-17560	1
-17540	2
-17520	2
-17500	0
-17480	1
-17460	3
-17440	1
-17420	1
-17400	3
-17380	0
-17360	1
-17340	3
-17320	1
-17300	3
-17280	0
-17260	1
-17240	1
-17220	4
-17200	1
-17180	4
-17160	2
-17140	1
-17120	3
-17100	0
-17080	2
-17060	1
-17040	2
-17020	2
-17000	4
-16980	0
-16960	1
-16940	1
-16920	3
-16900	4
-16880	1
-16860	3
-16840	0
-16820	3
-16800	1
-16780	2
-16760	1
-16740	1
-16720	0
-16700	3
-16680	1
-16660	2
-16640	3
-16620	0
-16600	1
-16580	2
-16560	2
-16540	3
-16520	4
-16500	9
-16480	2
-16460	3
-16440	1
-16420	1
-16400	2
-16380	2
-16360	3
-16340	3
-16320	1
-16300	1
-16280	3
-16260	4
-16240	2
-16220	3
-16200	1
-16180	1
-16160	1
-16140	2
-16120	2
-16100	2
-16080	0
-16060	0
-16040	2
-16020	2
-16000	1
-15980	3
-15960	1
-15940	1
-15920	1
-15900	3
-15880	4
-15860	4
-15840	1
-15820	2
-15800	2
-15780	4
-15760	8
-15740	11
-15720	24
-15700	21
-15680	28
-15660	18
-15640	3
-15620	5
-15600	4
-15580	2
-15560	0
-15540	0
-15520	1
-15500	1
-15480	2
-15460	6
-15440	2
-15420	1
-15400	4
-15380	3
-15360	2
-15340	1
-15320	0
-15300	3
-15280	1
-15260	3
-15240	3
-15220	4
-15200	5
