"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	2
-19960	6
-19940	5
-19920	4
-19900	3
-19880	3
-19860	4
-19840	1
-19820	4
-19800	1
-19780	5
-19760	2
-19740	2
-19720	1
-19700	3
-19680	2
-19660	5
-19640	6
-19620	3
-19600	1
-19580	4
-19560	2
-19540	3
-19520	1
-19500	3
-19480	0
-19460	4
-19440	2
-19420	1
-19400	4
-19380	4
-19360	2
-19340	2
-19320	5
-19300	5
-19280	1
-19260	2
-19240	3
-19220	3
-19200	1
-19180	3
-19160	3
-19140	3
-19120	2
-19100	3
-19080	3
-19060	1
-19040	1
-19020	5
-19000	4
-18980	2
-18960	2
-18940	0
-18920	6
-18900	0
-18880	1
-18860	3
-18840	2
-18820	3
-18800	4
-18780	4
-18760	2
-18740	4
-18720	1
-18700	3
-18680	2
-18660	1
-18640	3
-18620	4
-18600	2
-18580	1
-18560	4
-18540	0
-18520	0
-18500	3
-18480	4
-18460	3
-18440	5
-18420	2
-18400	0
-18380	4
-18360	4
-18340	1
-18320	5
-18300	2
-18280	3
-18260	5
-18240	6
-18220	5
-18200	2
-18180	2
-18160	0
-18140	6
-18120	1
-18100	4
-18080	4
-18060	3
-18040	0
-18020	2
-18000	3
-17980	2
-17960	0
-17940	3
-17920	2
-17900	1
-17880	3
-17860	4
-17840	1
-17820	1
-17800	1
-17780	1
-17760	2
-17740	0
-17720	1
-17700	3
-17680	5
-17660	1
-17640	7
-17620	1
-17600	2
-17580	5
-17560	3
-17540	2
-17520	1
-17500	1
-17480	1
-17460	2
-17440	2
-17420	1
-17400	3
-17380	4
-17360	5
-17340	8
-17320	4
-17300	4
-17280	3
-17260	7
-17240	4
-17220	4
-17200	8
-17180	2
-17160	4
-17140	4
-17120	1
-17100	2
-17080	3
-17060	1
-17040	1
-17020	1
-17000	0
-16980	2
-16960	0
-16940	4
-16920	2
-16900	2
-16880	5
-16860	1
-16840	2
-16820	3
-16800	2
-16780	3
-16760	1
-16740	0
-16720	5
-16700	3
-16680	1
-16660	2
-16640	1
-16620	4
-16600	2
-16580	2
-16560	6
-16540	2
-16520	1
-16500	5
-16480	9
-16460	4
-16440	4
-16420	4
-16400	2
-16380	2
-16360	3
-16340	2
-16320	1
-16300	2
-16280	0
-16260	6
-16240	1
-16220	1
-16200	1
-16180	0
-16160	1
-16140	3
-16120	1
-16100	2
-16080	2
-16060	3
-16040	0
-16020	2
-16000	3
-15980	3
-15960	2
-15940	1
-15920	1
-15900	3
-15880	2
-15860	2
-15840	3
-15820	4
-15800	3
-15780	4
-15760	6
-15740	2
-15720	2
-15700	1
-15680	4
-15660	1
-15640	3
-15620	1
-15600	4
-15580	1
-15560	6
-15540	1
-15520	4
-15500	3
-15480	2
-15460	3
-15440	1
-15420	3
-15400	1
-15380	3
-15360	2
-15340	1
-15320	4
-15300	3
-15280	1
-15260	0
-15240	1
-15220	0
-15200	2
-15180	3
-15160	3
-15140	3
-15120	4
-15100	7
-15080	2
-15060	2
-15040	1
-15020	3
-15000	6
-14980	4
-14960	3
-14940	1
-14920	4
-14900	1
-14880	1
-14860	4
-14840	2
