"Time differences (ps)"	"Counts per bin"
-20000	5
-19980	1
-19960	0
-19940	1
-19920	5
-19900	3
-19880	2
-19860	2
-19840	7
-19820	4
-19800	7
-19780	3
-19760	5
-19740	5
-19720	4
-19700	1
-19680	4
-19660	2
-19640	4
-19620	5
-19600	4
-19580	1
-19560	2
-19540	3
-19520	2
-19500	2
-19480	2
-19460	2
-19440	2
-19420	4
-19400	0
-19380	3
-19360	5
-19340	0
-19320	1
-19300	5
-19280	3
-19260	4
-19240	2
-19220	2
-19200	3
-19180	1
-19160	2
-19140	4
-19120	2
-19100	6
-19080	6
-19060	3
-19040	2
-19020	6
-19000	2
-18980	6
-18960	7
-18940	1
-18920	4
-18900	2
-18880	0
-18860	2
-18840	3
-18820	3
-18800	2
-18780	6
-18760	4
-18740	1
-18720	3
-18700	5
-18680	1
-18660	4
-18640	4
-18620	3
-18600	0
-18580	5
-18560	1
-18540	4
-18520	3
-18500	2
-18480	1
-18460	3
-18440	4
-18420	0
-18400	1
-18380	2
-18360	6
-18340	1
-18320	0
-18300	3
-18280	2
-18260	3
-18240	0
-18220	1
-18200	3
-18180	3
-18160	3
-18140	1
-18120	1
-18100	0
-18080	2
-18060	4
-18040	5
-18020	1
-18000	3
-17980	2
-17960	4
-17940	1
-17920	2
-17900	0
-17880	2
-17860	5
-17840	4
-17820	3
-17800	1
-17780	1
-17760	3
-17740	0
-17720	2
-17700	2
-17680	1
-17660	1
-17640	0
-17620	5
-17600	4
-17580	4
-17560	0
-17540	1
-17520	1
-17500	0
-17480	1
-17460	3
-17440	3
-17420	2
-17400	2
-17380	9
-17360	10
-17340	5
-17320	3
-17300	8
-17280	3
-17260	1
-17240	2
-17220	3
-17200	1
-17180	4
-17160	1
-17140	2
-17120	1
-17100	4
-17080	3
-17060	6
-17040	3
-17020	1
-17000	3
-16980	3
-16960	2
-16940	2
-16920	2
-16900	1
-16880	5
-16860	5
-16840	3
-16820	4
-16800	4
-16780	2
-16760	6
-16740	4
-16720	2
-16700	1
-16680	0
-16660	2
-16640	0
-16620	4
-16600	1
-16580	2
-16560	5
-16540	1
-16520	7
-16500	6
-16480	5
-16460	8
-16440	2
-16420	4
-16400	3
-16380	4
-16360	3
-16340	3
-16320	1
-16300	2
-16280	4
-16260	4
-16240	5
-16220	3
-16200	3
-16180	3
-16160	1
-16140	2
-16120	3
-16100	0
-16080	2
-16060	2
-16040	3
-16020	1
-16000	1
-15980	4
-15960	2
-15940	2
-15920	3
-15900	2
-15880	0
-15860	4
-15840	2
-15820	0
-15800	2
-15780	1
-15760	1
-15740	3
-15720	3
-15700	5
-15680	0
-15660	1
-15640	3
-15620	5
-15600	9
-15580	2
-15560	2
-15540	1
-15520	1
-15500	4
-15480	5
-15460	1
-15440	0
-15420	1
-15400	3
-15380	3
-15360	1
-15340	1
-15320	1
-15300	4
-15280	1
-15260	3
-15240	0
-15220	3
-15200	1
-15180	0
-15160	3
-15140	2
-15120	4
-15100	2
-15080	0
-15060	5
-15040	1
-15020	1
-15000	2
-14980	6
-14960	2
-14940	3
-14920	0
-14900	0
-14880	1
-14860	4
-14840	3
-14820	1
-14800	3
-14780	2
-14760	3
-14740	4
-14720	0
-14700	2
-14680	3
-14660	3
-14640	3
-14620	3
-14600	3
-14580	2
-14560	2
-14540	3
-14520	3
-14500	5
-14480	3
-14460	5
-14440	4
-14420	2
-14400	3
-14380	0
-14360	3
-14340	2
-14320	1
-14300	0
-14280	2
-14260	1
-14240	2
-14220	2
-14200	0
-14180	1
-14160	2
-14140	4
-14120	1
-14100	0
-14080	1
-14060	2
-14040	1
-14020	1
-14000	3
-13980	3
-13960	2
-13940	2
-13920	3
-13900	1
-13880	2
-13860	3
-13840	4
-13820	6
-13800	14
-13780	4
-13760	6
-13740	5
-13720	1
-13700	2
-13680	1
-13660	3
-13640	5
-13620	0
-13600	4
-13580	4
-13560	2
-13540	3
-13520	5
-13500	0
-13480	2
-13460	2
-13440	3
-13420	2
-13400	1
-13380	6
-13360	7
-13340	12
-13320	6
-13300	8
-13280	4
-13260	2
-13240	2
-13220	4
-13200	2
-13180	3
-13160	4
-13140	1
-13120	1
-13100	0
-13080	1
-13060	1
-13040	2
-13020	4
-13000	2
-12980	1
-12960	0
-12940	2
-12920	3
-12900	3
-12880	1
-12860	2
-12840	4
-12820	2
-12800	4
-12780	5
-12760	5
-12740	4
-12720	10
-12700	11
-12680	15
-12660	12
-12640	11
-12620	8
-12600	21
-12580	37
-12560	166
-12540	673
-12520	2690
-12500	7228
-12480	8883
-12460	5993
-12440	3046
-12420	1478
-12400	683
-12380	299
-12360	156
-12340	89
-12320	54
-12300	38
-12280	29
-12260	14
-12240	13
-12220	8
-12200	7
-12180	5
-12160	9
-12140	5
-12120	4
-12100	8
-12080	1
-12060	4
-12040	4
-12020	2
-12000	1
-11980	3
-11960	4
-11940	5
-11920	4
-11900	3
-11880	5
-11860	4
-11840	7
-11820	3
-11800	6
-11780	1
-11760	3
-11740	5
-11720	4
-11700	4
-11680	3
-11660	1
-11640	7
-11620	6
-11600	5
-11580	5
-11560	1
-11540	2
-11520	1
-11500	6
-11480	3
-11460	3
-11440	6
-11420	7
-11400	7
-11380	5
-11360	0
-11340	2
-11320	3
-11300	3
-11280	3
-11260	7
-11240	4
-11220	6
-11200	3
-11180	1
-11160	3
-11140	3
-11120	5
-11100	3
-11080	0
-11060	4
-11040	2
-11020	6
-11000	2
-10980	4
-10960	3
-10940	4
-10920	2
-10900	3
-10880	3
-10860	1
-10840	5
-10820	2
-10800	9
-10780	0
-10760	2
-10740	3
-10720	2
-10700	6
-10680	5
-10660	3
-10640	4
-10620	6
-10600	9
-10580	0
-10560	6
-10540	2
-10520	6
-10500	4
-10480	5
-10460	1
-10440	3
-10420	7
-10400	5
-10380	1
-10360	2
-10340	1
-10320	4
-10300	2
-10280	1
-10260	5
-10240	5
-10220	4
-10200	5
-10180	4
-10160	5
-10140	4
-10120	4
-10100	3
-10080	1
-10060	3
-10040	3
-10020	4
-10000	3
-9980	6
-9960	6
-9940	4
-9920	5
-9900	3
-9880	4
-9860	1
-9840	4
-9820	7
-9800	4
-9780	2
-9760	3
-9740	7
-9720	6
-9700	8
-9680	4
-9660	3
-9640	2
-9620	3
-9600	2
-9580	3
-9560	3
-9540	2
-9520	0
-9500	0
-9480	1
-9460	4
-9440	2
-9420	7
-9400	4
-9380	2
-9360	1
-9340	6
-9320	2
-9300	4
-9280	3
-9260	4
-9240	1
-9220	8
-9200	12
-9180	14
-9160	8
-9140	11
-9120	6
-9100	1
-9080	4
-9060	3
-9040	5
-9020	4
-9000	4
-8980	3
-8960	2
-8940	3
-8920	2
-8900	3
-8880	5
-8860	2
-8840	5
-8820	3
-8800	3
-8780	1
-8760	6
-8740	2
-8720	2
-8700	4
-8680	4
-8660	3
-8640	3
-8620	6
-8600	3
-8580	2
-8560	1
-8540	5
-8520	3
-8500	4
-8480	7
-8460	11
-8440	6
-8420	7
-8400	3
-8380	7
-8360	2
-8340	3
-8320	5
-8300	2
-8280	4
-8260	4
-8240	3
-8220	2
-8200	3
-8180	3
-8160	0
-8140	1
-8120	5
-8100	5
-8080	2
-8060	2
-8040	4
-8020	3
-8000	4
-7980	4
-7960	5
-7940	3
-7920	4
-7900	2
-7880	5
-7860	9
-7840	4
-7820	5
-7800	0
-7780	5
-7760	4
-7740	3
-7720	5
-7700	3
-7680	1
-7660	4
-7640	7
-7620	5
-7600	5
-7580	1
-7560	2
-7540	3
-7520	3
-7500	2
-7480	4
-7460	2
-7440	4
-7420	2
-7400	7
-7380	2
-7360	3
-7340	2
-7320	2
-7300	3
-7280	2
-7260	1
-7240	5
-7220	2
-7200	3
-7180	3
-7160	2
-7140	6
-7120	4
-7100	4
-7080	5
-7060	3
-7040	5
-7020	1
-7000	3
-6980	3
-6960	2
-6940	4
-6920	3
-6900	2
-6880	2
-6860	2
-6840	1
-6820	5
-6800	1
-6780	4
-6760	2
-6740	0
-6720	3
-6700	2
-6680	4
-6660	5
-6640	1
-6620	2
-6600	3
-6580	4
-6560	3
-6540	2
-6520	3
-6500	0
-6480	2
-6460	2
-6440	3
-6420	0
-6400	2
-6380	2
-6360	3
-6340	5
-6320	2
-6300	1
-6280	6
-6260	5
-6240	6
-6220	0
-6200	6
-6180	4
-6160	5
-6140	6
-6120	2
