"Time differences (ps)"	"Counts per bin"
-20000	5
-19980	0
-19960	2
-19940	2
-19920	1
-19900	2
-19880	4
-19860	0
-19840	1
-19820	2
-19800	1
-19780	4
-19760	1
-19740	4
-19720	3
-19700	2
-19680	1
-19660	4
-19640	4
-19620	3
-19600	5
-19580	2
-19560	3
-19540	1
-19520	2
-19500	3
-19480	3
-19460	4
-19440	4
-19420	5
-19400	2
-19380	2
-19360	1
-19340	1
-19320	3
-19300	3
-19280	3
-19260	1
-19240	2
-19220	2
-19200	2
-19180	0
-19160	3
-19140	4
-19120	1
-19100	2
-19080	1
-19060	0
-19040	8
-19020	3
-19000	2
-18980	2
-18960	3
-18940	5
-18920	3
-18900	3
-18880	7
-18860	6
-18840	0
-18820	4
-18800	4
-18780	1
-18760	4
-18740	1
-18720	1
-18700	1
-18680	1
-18660	2
-18640	4
-18620	1
-18600	4
-18580	1
-18560	4
-18540	2
-18520	5
-18500	2
-18480	4
-18460	5
-18440	4
-18420	2
-18400	4
-18380	3
-18360	9
-18340	3
-18320	4
-18300	5
-18280	4
-18260	4
-18240	2
-18220	3
-18200	2
-18180	6
-18160	2
-18140	3
-18120	3
-18100	6
-18080	3
-18060	1
-18040	4
-18020	2
-18000	1
-17980	0
-17960	3
-17940	2
-17920	1
-17900	3
-17880	0
-17860	4
-17840	2
-17820	4
-17800	2
-17780	4
-17760	2
-17740	2
-17720	2
-17700	2
-17680	1
-17660	4
-17640	3
-17620	3
-17600	2
-17580	1
-17560	2
-17540	3
-17520	8
-17500	1
-17480	3
-17460	4
-17440	1
-17420	3
-17400	1
-17380	2
-17360	6
-17340	5
-17320	4
-17300	4
-17280	4
-17260	4
-17240	3
-17220	3
-17200	5
-17180	3
-17160	3
-17140	3
-17120	0
-17100	4
-17080	4
-17060	2
-17040	3
-17020	0
-17000	4
-16980	2
-16960	3
-16940	0
-16920	3
-16900	8
-16880	3
-16860	1
-16840	1
-16820	1
-16800	4
-16780	4
-16760	3
-16740	3
-16720	3
-16700	2
-16680	9
-16660	2
-16640	2
-16620	1
-16600	0
-16580	1
-16560	2
-16540	5
-16520	5
-16500	4
-16480	9
-16460	4
-16440	2
-16420	2
-16400	2
-16380	1
-16360	3
-16340	4
-16320	3
-16300	2
-16280	5
-16260	2
-16240	5
-16220	6
-16200	2
-16180	2
-16160	2
-16140	4
-16120	1
-16100	2
-16080	2
-16060	3
-16040	1
-16020	1
-16000	0
-15980	2
-15960	4
-15940	2
-15920	2
-15900	1
-15880	0
-15860	5
-15840	2
-15820	5
-15800	2
-15780	1
-15760	2
-15740	1
-15720	6
-15700	2
-15680	2
-15660	1
-15640	1
-15620	1
-15600	4
-15580	2
-15560	4
-15540	6
-15520	1
-15500	4
-15480	2
-15460	4
-15440	2
-15420	1
-15400	0
-15380	1
-15360	3
-15340	1
-15320	3
-15300	5
-15280	4
-15260	2
-15240	1
-15220	4
-15200	0
-15180	4
-15160	3
-15140	1
-15120	4
-15100	2
-15080	3
-15060	1
-15040	3
-15020	1
-15000	2
-14980	0
-14960	5
-14940	4
-14920	2
-14900	3
-14880	4
-14860	6
-14840	4
-14820	3
-14800	2
-14780	0
-14760	3
-14740	8
-14720	5
-14700	5
-14680	0
-14660	1
-14640	5
-14620	0
-14600	3
-14580	1
-14560	0
-14540	5
-14520	2
-14500	2
-14480	1
-14460	0
-14440	2
-14420	4
-14400	1
-14380	3
-14360	2
-14340	3
-14320	2
-14300	1
-14280	2
-14260	4
-14240	4
-14220	3
-14200	3
-14180	2
-14160	2
-14140	1
-14120	2
-14100	4
-14080	3
-14060	0
-14040	0
-14020	1
-14000	8
-13980	2
-13960	1
-13940	3
-13920	1
-13900	1
-13880	7
-13860	1
-13840	6
-13820	8
-13800	8
-13780	5
-13760	2
-13740	0
-13720	2
-13700	1
-13680	2
-13660	4
-13640	2
-13620	6
-13600	1
-13580	4
-13560	1
-13540	1
-13520	2
-13500	2
-13480	4
-13460	3
-13440	0
-13420	2
-13400	7
-13380	11
-13360	6
-13340	7
-13320	5
-13300	14
-13280	4
-13260	2
-13240	5
-13220	2
-13200	2
-13180	1
-13160	7
-13140	2
-13120	2
-13100	2
-13080	3
-13060	2
-13040	2
-13020	1
-13000	3
-12980	1
-12960	3
-12940	1
-12920	1
-12900	4
-12880	0
-12860	1
-12840	4
-12820	4
-12800	3
-12780	2
-12760	2
-12740	6
-12720	5
-12700	14
-12680	9
-12660	8
-12640	13
-12620	8
-12600	9
-12580	36
-12560	161
-12540	685
-12520	2679
-12500	7010
-12480	8747
-12460	5779
-12440	3032
-12420	1405
-12400	613
-12380	286
-12360	154
-12340	71
-12320	64
-12300	43
-12280	26
-12260	14
-12240	10
-12220	10
-12200	8
-12180	9
-12160	4
-12140	3
-12120	1
-12100	4
-12080	0
-12060	5
-12040	1
-12020	9
-12000	0
-11980	6
-11960	5
-11940	2
-11920	3
-11900	6
-11880	2
-11860	5
-11840	0
-11820	3
-11800	2
-11780	4
-11760	6
-11740	7
-11720	5
-11700	4
-11680	3
-11660	7
-11640	6
-11620	9
-11600	7
-11580	7
-11560	3
-11540	7
-11520	4
-11500	3
-11480	2
-11460	3
-11440	3
-11420	1
-11400	3
-11380	2
-11360	2
-11340	5
-11320	5
-11300	8
-11280	4
-11260	3
-11240	2
-11220	3
-11200	1
-11180	2
-11160	4
-11140	3
-11120	5
-11100	5
-11080	4
-11060	2
-11040	5
-11020	3
-11000	1
-10980	4
-10960	6
-10940	3
-10920	0
-10900	5
-10880	2
-10860	2
-10840	4
-10820	3
-10800	2
-10780	7
-10760	6
-10740	3
-10720	4
-10700	6
-10680	5
-10660	5
-10640	3
-10620	2
-10600	5
-10580	6
-10560	3
-10540	6
-10520	6
-10500	2
-10480	3
-10460	2
-10440	5
-10420	4
