"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	4
-19960	2
-19940	2
-19920	2
-19900	3
-19880	2
-19860	3
-19840	4
-19820	2
-19800	4
-19780	4
-19760	4
-19740	3
-19720	1
-19700	2
-19680	5
-19660	2
-19640	1
-19620	2
-19600	1
-19580	5
-19560	0
-19540	2
-19520	3
-19500	1
-19480	3
-19460	1
-19440	7
-19420	2
-19400	4
-19380	3
-19360	3
-19340	6
-19320	1
-19300	3
-19280	1
-19260	0
-19240	2
-19220	3
-19200	0
-19180	5
-19160	1
-19140	4
-19120	3
-19100	0
-19080	2
-19060	2
-19040	4
-19020	3
-19000	2
-18980	0
-18960	7
-18940	3
-18920	1
-18900	4
-18880	2
-18860	5
-18840	3
-18820	2
-18800	0
-18780	3
-18760	2
-18740	3
-18720	5
-18700	0
-18680	1
-18660	1
-18640	4
-18620	1
-18600	2
-18580	0
-18560	1
-18540	4
-18520	0
-18500	2
-18480	0
-18460	2
-18440	6
-18420	1
-18400	6
-18380	4
-18360	1
-18340	4
-18320	2
-18300	5
-18280	1
-18260	2
-18240	2
-18220	1
-18200	1
-18180	1
-18160	3
-18140	3
-18120	2
-18100	2
-18080	2
-18060	3
-18040	2
-18020	0
-18000	2
-17980	3
-17960	0
-17940	2
-17920	2
-17900	3
-17880	2
-17860	0
-17840	6
-17820	3
-17800	3
-17780	2
-17760	1
-17740	3
-17720	4
-17700	2
-17680	4
-17660	3
-17640	0
-17620	5
-17600	3
-17580	0
-17560	1
-17540	0
-17520	4
-17500	2
-17480	1
-17460	0
-17440	3
-17420	2
-17400	0
-17380	3
-17360	0
-17340	5
-17320	1
-17300	2
-17280	4
-17260	4
-17240	3
-17220	4
-17200	2
-17180	0
-17160	2
-17140	1
-17120	3
-17100	1
-17080	3
-17060	3
-17040	2
-17020	0
-17000	5
-16980	0
-16960	3
-16940	2
-16920	1
-16900	5
-16880	0
-16860	3
-16840	2
-16820	1
-16800	1
-16780	1
-16760	3
-16740	1
-16720	2
-16700	1
-16680	1
-16660	3
-16640	2
-16620	2
-16600	4
-16580	4
-16560	3
-16540	3
-16520	7
-16500	3
-16480	6
-16460	3
-16440	2
-16420	1
-16400	1
-16380	3
-16360	0
-16340	3
-16320	3
-16300	2
-16280	1
-16260	4
-16240	4
-16220	2
-16200	1
-16180	1
-16160	2
-16140	0
-16120	4
-16100	2
-16080	3
-16060	5
-16040	1
-16020	1
-16000	1
-15980	2
-15960	4
-15940	3
-15920	2
-15900	1
-15880	3
-15860	4
-15840	3
-15820	2
-15800	3
-15780	1
-15760	4
-15740	2
-15720	4
-15700	3
-15680	1
-15660	2
-15640	3
-15620	0
-15600	3
-15580	2
-15560	4
-15540	0
-15520	3
-15500	3
-15480	3
-15460	1
-15440	1
-15420	3
-15400	0
-15380	4
-15360	2
-15340	1
-15320	2
-15300	2
-15280	2
-15260	1
-15240	1
-15220	4
-15200	2
-15180	4
-15160	1
-15140	2
-15120	1
-15100	3
-15080	2
-15060	2
-15040	0
-15020	3
-15000	3
-14980	3
-14960	4
-14940	4
-14920	6
-14900	2
-14880	7
-14860	3
-14840	2
-14820	1
-14800	6
-14780	2
-14760	5
-14740	1
-14720	3
-14700	3
-14680	4
-14660	4
-14640	2
-14620	3
-14600	3
-14580	2
-14560	2
-14540	2
-14520	1
-14500	3
-14480	2
-14460	2
-14440	3
-14420	4
-14400	4
-14380	4
-14360	3
-14340	3
-14320	2
-14300	4
-14280	3
-14260	4
-14240	1
-14220	1
-14200	0
-14180	1
-14160	4
-14140	7
-14120	3
-14100	2
-14080	1
-14060	4
-14040	5
-14020	4
-14000	3
-13980	6
-13960	3
-13940	1
-13920	3
-13900	3
-13880	4
-13860	0
-13840	4
-13820	6
-13800	11
-13780	9
-13760	6
-13740	3
-13720	4
-13700	0
-13680	1
-13660	2
-13640	2
-13620	1
-13600	2
-13580	2
-13560	5
-13540	2
-13520	2
-13500	2
-13480	5
-13460	2
-13440	4
-13420	3
-13400	2
-13380	8
-13360	4
-13340	8
-13320	8
-13300	3
-13280	4
-13260	4
-13240	2
-13220	4
-13200	3
-13180	3
-13160	0
-13140	2
-13120	1
-13100	1
-13080	2
-13060	1
-13040	6
-13020	2
-13000	3
-12980	2
-12960	4
-12940	0
-12920	2
-12900	2
-12880	2
-12860	7
-12840	7
-12820	3
-12800	3
-12780	2
-12760	1
-12740	3
-12720	7
-12700	11
-12680	11
-12660	13
-12640	6
-12620	8
-12600	15
-12580	35
-12560	154
-12540	697
-12520	2588
-12500	6611
-12480	7817
-12460	5253
-12440	2809
-12420	1282
-12400	624
-12380	249
-12360	124
-12340	76
-12320	65
-12300	43
-12280	28
-12260	17
-12240	10
-12220	3
-12200	4
-12180	5
-12160	5
-12140	4
-12120	7
-12100	4
-12080	4
-12060	7
-12040	5
-12020	1
-12000	4
-11980	1
-11960	1
-11940	6
-11920	6
-11900	3
-11880	4
-11860	4
-11840	8
-11820	1
-11800	5
-11780	8
-11760	1
-11740	4
-11720	1
-11700	6
-11680	2
-11660	3
-11640	4
-11620	7
-11600	6
-11580	3
-11560	3
-11540	2
-11520	0
-11500	4
-11480	3
-11460	3
-11440	7
-11420	5
-11400	5
-11380	5
-11360	5
-11340	3
-11320	2
-11300	5
-11280	4
-11260	1
-11240	1
-11220	1
-11200	3
-11180	6
-11160	7
-11140	7
-11120	1
-11100	4
-11080	3
-11060	1
-11040	8
-11020	5
-11000	2
-10980	5
-10960	3
-10940	1
-10920	2
-10900	3
-10880	4
-10860	5
-10840	3
-10820	5
-10800	2
-10780	3
-10760	3
-10740	5
-10720	3
-10700	6
-10680	4
-10660	3
-10640	4
-10620	3
-10600	5
-10580	6
-10560	7
-10540	4
-10520	1
-10500	3
-10480	5
-10460	6
-10440	0
-10420	1
-10400	1
-10380	3
-10360	3
-10340	1
-10320	2
-10300	1
-10280	1
-10260	2
-10240	5
-10220	3
-10200	4
-10180	2
-10160	1
-10140	6
-10120	4
-10100	2
-10080	2
-10060	3
-10040	4
-10020	4
-10000	2
-9980	2
-9960	0
-9940	1
-9920	2
-9900	2
-9880	1
-9860	1
-9840	2
-9820	3
-9800	1
-9780	2
-9760	2
-9740	2
-9720	7
-9700	3
-9680	2
-9660	1
-9640	0
-9620	1
-9600	3
-9580	1
-9560	4
-9540	6
-9520	6
-9500	2
-9480	3
-9460	2
-9440	1
-9420	1
-9400	3
-9380	3
-9360	5
-9340	1
-9320	5
-9300	1
-9280	1
-9260	0
-9240	9
-9220	4
-9200	14
-9180	15
-9160	4
-9140	7
-9120	3
-9100	6
-9080	4
-9060	4
-9040	1
-9020	3
-9000	4
-8980	4
-8960	3
-8940	3
-8920	5
-8900	3
-8880	4
-8860	4
-8840	3
-8820	4
-8800	4
-8780	4
-8760	3
-8740	2
-8720	3
-8700	4
-8680	2
-8660	1
-8640	3
-8620	8
-8600	4
-8580	3
-8560	3
-8540	3
-8520	5
-8500	2
-8480	3
-8460	4
-8440	5
-8420	2
-8400	4
-8380	2
-8360	3
-8340	0
-8320	2
-8300	2
-8280	1
-8260	1
-8240	1
-8220	2
-8200	3
-8180	2
-8160	1
-8140	3
-8120	3
-8100	4
-8080	1
-8060	5
-8040	3
-8020	1
-8000	2
-7980	1
-7960	3
-7940	4
-7920	6
-7900	2
-7880	4
-7860	4
-7840	3
-7820	1
-7800	0
-7780	2
-7760	6
-7740	3
-7720	2
-7700	3
-7680	4
-7660	2
-7640	2
-7620	0
-7600	2
-7580	2
-7560	2
-7540	1
-7520	1
-7500	0
-7480	1
-7460	2
-7440	1
-7420	2
-7400	4
-7380	1
-7360	1
-7340	4
-7320	3
-7300	6
-7280	3
-7260	0
-7240	2
-7220	2
-7200	4
-7180	2
-7160	2
-7140	0
-7120	3
-7100	2
-7080	2
-7060	3
-7040	3
-7020	2
-7000	2
-6980	1
-6960	3
-6940	3
-6920	1
-6900	3
-6880	2
-6860	4
-6840	0
-6820	1
-6800	2
-6780	2
-6760	3
-6740	4
-6720	5
-6700	1
-6680	4
-6660	2
-6640	1
-6620	4
-6600	2
-6580	0
-6560	3
-6540	5
-6520	1
-6500	4
-6480	2
-6460	4
-6440	1
-6420	3
-6400	7
-6380	1
-6360	2
-6340	3
-6320	6
-6300	3
-6280	5
-6260	3
-6240	1
-6220	5
-6200	2
-6180	2
-6160	2
-6140	1
-6120	5
-6100	3
-6080	2
-6060	1
-6040	1
-6020	1
-6000	1
-5980	2
-5960	3
-5940	4
-5920	5
-5900	2
-5880	0
-5860	2
-5840	3
-5820	0
-5800	2
-5780	3
-5760	1
-5740	1
-5720	2
-5700	4
-5680	2
-5660	7
-5640	5
-5620	0
-5600	3
-5580	1
-5560	1
-5540	1
-5520	3
-5500	2
-5480	1
-5460	2
-5440	1
-5420	4
-5400	3
-5380	0
-5360	1
-5340	1
-5320	2
-5300	2
-5280	6
-5260	5
-5240	1
-5220	1
-5200	1
-5180	2
-5160	3
-5140	2
-5120	2
-5100	3
-5080	2
-5060	1
-5040	0
-5020	2
-5000	1
-4980	1
-4960	0
-4940	4
-4920	3
-4900	6
-4880	5
-4860	5
-4840	4
-4820	7
-4800	1
-4780	1
-4760	3
-4740	4
-4720	4
-4700	3
-4680	2
-4660	1
-4640	4
-4620	2
-4600	0
-4580	1
-4560	3
-4540	3
-4520	3
-4500	4
-4480	4
-4460	1
-4440	0
-4420	1
-4400	3
-4380	2
-4360	3
-4340	2
-4320	1
-4300	5
-4280	0
-4260	1
-4240	1
-4220	5
-4200	3
-4180	0
-4160	0
-4140	2
-4120	2
-4100	0
-4080	2
-4060	5
-4040	5
-4020	7
-4000	8
-3980	8
-3960	1
-3940	3
-3920	6
-3900	1
-3880	1
-3860	2
-3840	3
-3820	2
-3800	1
-3780	3
-3760	2
-3740	4
-3720	1
-3700	1
-3680	2
-3660	0
-3640	1
-3620	2
-3600	1
-3580	5
-3560	2
-3540	1
-3520	1
-3500	4
-3480	3
-3460	3
-3440	2
-3420	1
-3400	2
-3380	2
-3360	1
-3340	8
-3320	2
-3300	1
-3280	4
-3260	0
-3240	2
-3220	2
-3200	0
-3180	1
-3160	3
-3140	1
-3120	3
-3100	1
-3080	2
-3060	1
-3040	2
-3020	0
-3000	2
-2980	4
-2960	1
-2940	3
-2920	2
-2900	2
-2880	1
-2860	3
-2840	3
-2820	3
-2800	3
-2780	4
-2760	5
-2740	2
-2720	3
-2700	5
-2680	2
-2660	2
-2640	1
-2620	3
-2600	2
-2580	3
-2560	2
-2540	1
-2520	2
-2500	2
-2480	3
-2460	1
-2440	3
-2420	1
-2400	1
-2380	2
-2360	2
-2340	0
-2320	0
-2300	2
-2280	4
-2260	4
-2240	6
-2220	1
-2200	1
-2180	0
-2160	1
-2140	1
-2120	1
-2100	2
-2080	2
-2060	2
-2040	4
-2020	2
-2000	0
-1980	3
-1960	2
-1940	3
-1920	0
-1900	1
-1880	2
-1860	2
-1840	1
-1820	2
-1800	4
-1780	0
-1760	4
-1740	3
-1720	3
-1700	1
-1680	1
-1660	3
-1640	2
-1620	3
-1600	1
-1580	2
-1560	1
-1540	2
-1520	1
-1500	2
-1480	3
-1460	3
-1440	3
-1420	0
-1400	0
-1380	3
-1360	3
-1340	5
-1320	11
-1300	2
-1280	7
-1260	7
-1240	2
-1220	1
-1200	2
-1180	6
-1160	1
-1140	3
-1120	1
-1100	1
-1080	3
-1060	3
-1040	2
-1020	1
-1000	0
-980	0
-960	0
-940	2
-920	3
-900	8
-880	7
-860	8
-840	9
-820	8
-800	9
-780	5
-760	3
-740	3
-720	0
-700	3
-680	5
-660	0
-640	2
-620	3
-600	2
-580	4
-560	0
-540	1
-520	2
-500	2
-480	3
-460	2
-440	3
-420	3
-400	0
-380	0
-360	0
-340	0
-320	0
-300	1
-280	3
-260	4
-240	6
-220	9
-200	16
-180	20
-160	6
-140	6
-120	3
-100	6
-80	25
-60	200
-40	1089
-20	6219
0	10891
20	6764
40	3218
60	1386
80	639
100	302
120	130
140	64
160	42
180	28
200	18
220	13
240	10
260	5
280	6
300	0
320	2
340	2
360	3
380	2
400	2
420	2
440	1
460	1
480	1
500	3
520	0
540	1
560	3
580	1
600	2
620	2
640	2
660	0
680	1
700	1
720	0
740	3
760	4
