"Time differences (ps)"	"Counts per bin"
-20000	4
-19980	1
-19960	1
-19940	1
-19920	4
-19900	2
-19880	4
-19860	4
-19840	2
-19820	4
-19800	2
-19780	2
-19760	3
-19740	3
-19720	0
-19700	1
-19680	5
-19660	5
-19640	2
-19620	3
-19600	5
-19580	1
-19560	2
-19540	3
-19520	3
-19500	3
-19480	2
-19460	3
-19440	2
-19420	2
-19400	2
-19380	5
-19360	1
-19340	3
-19320	1
-19300	0
-19280	5
-19260	1
-19240	5
-19220	2
-19200	5
-19180	5
-19160	0
-19140	1
-19120	7
-19100	0
-19080	6
-19060	2
-19040	5
-19020	2
-19000	1
-18980	2
-18960	0
-18940	4
-18920	2
-18900	3
-18880	6
-18860	4
-18840	4
-18820	2
-18800	5
-18780	3
-18760	5
-18740	6
-18720	7
-18700	5
-18680	2
-18660	5
-18640	8
-18620	2
-18600	1
-18580	3
-18560	4
-18540	1
-18520	2
-18500	1
-18480	5
-18460	2
-18440	1
-18420	3
-18400	2
-18380	5
-18360	4
-18340	3
-18320	1
-18300	3
-18280	3
-18260	0
-18240	2
-18220	4
-18200	2
-18180	1
-18160	2
-18140	2
-18120	1
-18100	5
-18080	2
-18060	0
-18040	6
-18020	5
-18000	0
-17980	3
-17960	3
-17940	1
-17920	4
-17900	3
-17880	1
-17860	4
-17840	5
-17820	5
-17800	1
-17780	2
-17760	3
-17740	5
-17720	1
-17700	1
-17680	5
-17660	3
-17640	1
-17620	5
-17600	2
-17580	2
-17560	1
-17540	4
-17520	2
-17500	3
-17480	3
-17460	5
-17440	3
-17420	4
-17400	1
-17380	5
-17360	7
-17340	2
-17320	8
-17300	7
-17280	5
-17260	6
-17240	8
-17220	1
-17200	1
-17180	2
-17160	2
-17140	2
-17120	5
-17100	4
-17080	4
-17060	5
-17040	1
-17020	2
-17000	2
-16980	1
-16960	3
-16940	3
-16920	3
-16900	5
-16880	2
-16860	6
-16840	3
-16820	3
-16800	4
-16780	2
-16760	4
-16740	2
-16720	4
-16700	1
-16680	2
-16660	6
-16640	2
-16620	3
-16600	3
-16580	3
-16560	2
-16540	2
-16520	3
-16500	5
-16480	1
-16460	5
-16440	4
-16420	1
-16400	4
-16380	1
-16360	3
-16340	3
-16320	1
-16300	0
-16280	2
-16260	4
-16240	4
-16220	6
-16200	1
-16180	7
-16160	2
-16140	4
-16120	1
-16100	5
-16080	3
-16060	2
-16040	1
-16020	3
-16000	0
-15980	4
-15960	2
-15940	0
-15920	3
-15900	2
-15880	5
-15860	2
-15840	1
-15820	3
-15800	1
-15780	3
-15760	2
-15740	3
-15720	4
-15700	1
-15680	1
-15660	3
-15640	2
-15620	3
-15600	1
-15580	0
-15560	2
-15540	2
-15520	5
-15500	3
-15480	2
-15460	2
-15440	1
-15420	2
-15400	0
-15380	2
-15360	4
-15340	4
-15320	0
-15300	0
-15280	3
-15260	6
-15240	1
-15220	3
-15200	1
-15180	1
-15160	8
-15140	1
-15120	2
-15100	2
-15080	5
-15060	3
-15040	0
-15020	1
-15000	1
-14980	3
-14960	5
-14940	3
-14920	0
-14900	1
-14880	3
-14860	4
-14840	5
-14820	3
-14800	1
-14780	3
-14760	1
-14740	3
-14720	4
-14700	1
-14680	2
-14660	3
-14640	2
-14620	2
-14600	3
-14580	3
-14560	0
-14540	2
-14520	2
-14500	5
-14480	3
-14460	4
-14440	2
-14420	0
-14400	2
-14380	6
-14360	4
-14340	3
-14320	2
-14300	3
-14280	1
-14260	4
-14240	1
-14220	3
-14200	3
-14180	1
-14160	2
-14140	3
-14120	8
-14100	1
-14080	4
-14060	3
-14040	3
-14020	2
-14000	2
-13980	4
-13960	3
-13940	1
-13920	3
-13900	2
-13880	2
-13860	4
-13840	8
-13820	9
-13800	7
-13780	5
-13760	6
-13740	4
-13720	2
-13700	8
-13680	1
-13660	2
-13640	2
-13620	2
-13600	2
-13580	5
-13560	2
-13540	4
-13520	0
-13500	1
-13480	4
-13460	5
-13440	2
-13420	3
-13400	6
-13380	9
-13360	10
-13340	9
-13320	8
-13300	8
-13280	8
-13260	4
-13240	2
-13220	5
-13200	3
-13180	1
-13160	4
-13140	3
-13120	2
-13100	1
-13080	2
-13060	2
-13040	3
-13020	0
-13000	4
-12980	3
-12960	3
-12940	3
-12920	3
-12900	1
-12880	5
-12860	3
-12840	5
-12820	2
-12800	2
-12780	0
-12760	3
-12740	5
-12720	10
-12700	13
-12680	18
-12660	9
-12640	11
-12620	8
-12600	10
-12580	46
-12560	172
-12540	807
-12520	2943
-12500	7916
-12480	9171
-12460	5918
-12440	2841
-12420	1219
-12400	549
-12380	247
-12360	138
-12340	70
-12320	44
-12300	35
-12280	24
-12260	21
-12240	9
-12220	7
-12200	3
-12180	5
-12160	5
-12140	5
-12120	3
-12100	4
-12080	5
-12060	3
-12040	2
-12020	3
-12000	6
-11980	3
-11960	4
-11940	5
-11920	5
-11900	1
-11880	3
-11860	4
-11840	6
-11820	1
-11800	4
-11780	7
-11760	4
-11740	2
-11720	4
-11700	8
-11680	4
-11660	7
-11640	3
-11620	8
-11600	9
-11580	5
-11560	2
-11540	1
-11520	5
-11500	4
-11480	1
-11460	2
-11440	3
-11420	4
-11400	2
-11380	1
-11360	4
-11340	3
-11320	2
-11300	4
-11280	2
-11260	6
-11240	4
-11220	4
-11200	3
-11180	7
-11160	1
-11140	2
-11120	3
-11100	6
-11080	4
-11060	4
-11040	2
-11020	4
-11000	2
-10980	0
-10960	7
-10940	4
-10920	4
-10900	2
-10880	1
-10860	3
-10840	4
-10820	2
-10800	4
-10780	2
-10760	4
-10740	6
-10720	4
-10700	0
-10680	7
-10660	4
-10640	6
-10620	3
-10600	4
-10580	0
-10560	3
-10540	1
-10520	3
-10500	1
-10480	3
-10460	4
-10440	5
-10420	6
-10400	3
-10380	4
-10360	3
-10340	5
-10320	2
-10300	5
-10280	4
-10260	2
-10240	4
-10220	4
-10200	4
-10180	3
-10160	4
-10140	1
-10120	3
-10100	3
-10080	8
-10060	5
-10040	3
-10020	1
-10000	1
-9980	2
-9960	4
-9940	5
-9920	6
-9900	2
-9880	7
-9860	5
-9840	5
-9820	4
-9800	2
-9780	3
-9760	1
-9740	4
-9720	2
-9700	4
-9680	0
-9660	2
-9640	3
-9620	3
-9600	2
-9580	2
-9560	3
-9540	2
-9520	3
-9500	2
-9480	4
-9460	4
-9440	1
-9420	2
-9400	6
-9380	1
-9360	5
-9340	4
-9320	5
-9300	4
-9280	1
-9260	4
-9240	2
-9220	14
-9200	14
-9180	12
-9160	7
-9140	4
-9120	2
-9100	1
-9080	3
-9060	6
-9040	4
-9020	3
-9000	9
-8980	2
-8960	2
-8940	1
-8920	4
-8900	3
-8880	3
-8860	4
-8840	4
-8820	2
-8800	4
-8780	5
-8760	1
-8740	1
-8720	3
-8700	6
-8680	1
-8660	1
-8640	5
-8620	1
-8600	1
-8580	4
-8560	4
-8540	5
-8520	2
-8500	5
-8480	7
-8460	7
-8440	3
-8420	1
-8400	2
-8380	5
-8360	2
-8340	2
-8320	4
-8300	2
-8280	4
-8260	5
-8240	6
-8220	3
-8200	3
-8180	2
-8160	1
-8140	5
-8120	3
-8100	1
-8080	8
-8060	4
-8040	3
-8020	3
-8000	1
-7980	4
-7960	3
-7940	4
-7920	2
-7900	2
-7880	4
-7860	1
-7840	3
-7820	1
-7800	4
-7780	4
-7760	4
-7740	1
-7720	3
-7700	0
-7680	4
-7660	1
-7640	2
-7620	2
-7600	3
-7580	2
-7560	7
-7540	1
-7520	3
-7500	1
-7480	3
-7460	5
-7440	0
-7420	4
-7400	3
-7380	3
-7360	2
-7340	1
-7320	4
-7300	7
-7280	1
-7260	4
-7240	7
-7220	2
-7200	2
-7180	2
-7160	4
-7140	3
-7120	7
-7100	4
-7080	2
-7060	3
-7040	3
-7020	3
-7000	1
-6980	2
-6960	10
-6940	2
-6920	0
-6900	4
-6880	1
-6860	2
-6840	2
-6820	1
-6800	4
-6780	2
-6760	0
-6740	4
-6720	4
-6700	4
-6680	1
-6660	1
-6640	1
-6620	5
-6600	3
-6580	4
-6560	4
-6540	6
-6520	1
-6500	1
-6480	3
-6460	4
-6440	1
-6420	4
-6400	0
-6380	2
-6360	2
-6340	5
-6320	2
-6300	6
-6280	5
-6260	3
-6240	0
-6220	2
-6200	1
-6180	3
-6160	3
-6140	2
-6120	1
-6100	4
-6080	7
-6060	2
-6040	1
-6020	5
-6000	4
-5980	3
-5960	2
-5940	7
-5920	1
-5900	2
-5880	4
-5860	3
-5840	1
-5820	1
-5800	2
-5780	1
-5760	3
-5740	2
-5720	4
-5700	3
-5680	5
-5660	1
-5640	6
-5620	1
-5600	2
-5580	1
-5560	1
-5540	1
-5520	3
-5500	4
-5480	4
-5460	0
-5440	1
-5420	1
-5400	1
-5380	2
-5360	3
-5340	4
-5320	4
-5300	1
-5280	0
-5260	1
-5240	1
-5220	3
-5200	4
-5180	3
-5160	6
-5140	6
-5120	5
-5100	2
-5080	4
-5060	1
-5040	5
-5020	3
-5000	2
-4980	1
-4960	2
-4940	1
-4920	4
-4900	2
-4880	6
-4860	4
-4840	6
-4820	4
-4800	5
-4780	2
-4760	2
-4740	4
-4720	2
-4700	2
-4680	2
-4660	1
-4640	0
-4620	1
-4600	1
-4580	2
-4560	1
-4540	3
-4520	2
-4500	2
-4480	1
-4460	4
-4440	1
-4420	2
-4400	4
-4380	4
-4360	8
-4340	4
-4320	1
-4300	6
-4280	2
-4260	3
-4240	0
-4220	4
-4200	1
-4180	1
-4160	2
-4140	1
-4120	4
-4100	3
-4080	3
-4060	2
-4040	2
-4020	4
-4000	8
-3980	6
-3960	3
-3940	1
-3920	2
-3900	5
-3880	2
-3860	5
-3840	2
-3820	3
-3800	2
-3780	4
-3760	6
-3740	2
-3720	5
-3700	7
-3680	3
-3660	3
-3640	3
-3620	1
-3600	3
-3580	2
-3560	1
-3540	4
-3520	2
-3500	4
-3480	3
-3460	6
-3440	2
-3420	2
-3400	2
-3380	2
-3360	3
-3340	1
-3320	6
-3300	1
-3280	3
-3260	4
-3240	3
-3220	3
-3200	4
-3180	1
-3160	4
-3140	3
-3120	2
-3100	1
-3080	2
-3060	2
-3040	2
-3020	3
-3000	1
-2980	3
-2960	2
-2940	2
-2920	3
-2900	4
-2880	2
-2860	1
-2840	3
-2820	3
-2800	3
-2780	5
-2760	4
-2740	0
-2720	3
-2700	5
-2680	3
-2660	1
-2640	2
-2620	3
-2600	1
-2580	4
-2560	3
-2540	0
-2520	2
-2500	2
-2480	4
-2460	2
-2440	2
-2420	3
-2400	7
-2380	0
-2360	3
-2340	2
-2320	2
-2300	6
-2280	1
-2260	1
-2240	1
-2220	2
-2200	2
-2180	3
-2160	2
-2140	2
-2120	3
-2100	4
-2080	2
-2060	2
-2040	1
-2020	4
-2000	0
-1980	2
-1960	4
-1940	0
-1920	0
-1900	3
-1880	2
-1860	1
-1840	5
-1820	0
-1800	0
-1780	0
-1760	0
-1740	2
-1720	1
-1700	3
-1680	2
-1660	3
-1640	4
-1620	1
-1600	3
-1580	5
-1560	3
-1540	7
-1520	0
-1500	2
-1480	2
-1460	5
-1440	0
-1420	3
-1400	2
-1380	0
-1360	6
-1340	7
-1320	16
-1300	9
-1280	2
-1260	1
-1240	3
-1220	3
-1200	3
-1180	0
-1160	0
-1140	3
-1120	2
-1100	4
-1080	3
-1060	4
-1040	2
-1020	1
-1000	2
-980	1
-960	1
-940	4
-920	2
-900	4
-880	10
-860	8
-840	11
-820	12
-800	2
-780	5
-760	3
-740	2
-720	1
-700	3
-680	3
-660	0
-640	4
-620	9
-600	2
-580	2
-560	2
-540	3
-520	3
-500	1
-480	0
-460	4
-440	2
-420	4
-400	0
-380	0
-360	1
-340	3
-320	2
-300	1
-280	2
-260	5
-240	7
-220	9
-200	13
-180	18
-160	12
-140	10
-120	10
-100	5
-80	21
-60	143
-40	955
-20	5260
0	9778
20	7048
40	3861
60	1900
80	917
100	412
120	182
140	108
160	63
180	43
200	26
220	14
240	10
260	4
280	6
300	3
320	1
340	3
360	1
380	5
400	4
420	1
440	4
460	3
480	1
500	2
520	0
540	1
560	2
580	2
600	3
620	3
640	0
660	4
680	1
700	2
720	2
740	1
760	2
780	1
800	1
820	1
840	2
860	1
880	2
900	1
920	2
940	3
960	1
980	3
1000	1
1020	1
1040	2
1060	1
1080	2
1100	4
1120	5
1140	2
1160	2
1180	2
1200	1
1220	1
1240	0
1260	0
1280	2
1300	0
1320	2
1340	1
1360	0
1380	2
1400	4
1420	0
1440	2
1460	1
1480	2
1500	5
1520	1
1540	3
1560	1
1580	0
1600	4
1620	1
1640	3
1660	1
1680	1
1700	1
1720	0
1740	3
1760	1
1780	0
1800	5
1820	1
1840	5
1860	1
1880	1
1900	2
1920	3
1940	2
1960	0
1980	1
2000	2
2020	1
2040	3
2060	2
2080	2
2100	1
2120	0
2140	0
2160	0
2180	2
2200	3
2220	1
2240	3
2260	2
2280	3
2300	2
2320	4
2340	0
2360	3
2380	2
2400	2
2420	1
2440	1
2460	4
2480	1
2500	3
2520	1
2540	1
2560	1
2580	5
2600	3
2620	1
2640	5
2660	1
2680	1
2700	1
2720	3
2740	0
2760	1
2780	0
2800	4
2820	1
2840	2
2860	1
2880	1
2900	1
2920	2
2940	2
2960	5
2980	0
3000	0
3020	3
3040	1
3060	3
3080	1
3100	0
3120	2
3140	4
3160	3
3180	4
3200	3
3220	2
3240	5
3260	10
3280	10
3300	17
3320	6
3340	2
3360	5
3380	4
3400	4
3420	4
3440	6
3460	5
3480	0
3500	1
3520	3
3540	2
3560	1
3580	0
3600	3
3620	0
3640	1
3660	0
3680	0
3700	1
3720	2
3740	1
3760	1
3780	2
3800	0
3820	2
3840	2
3860	2
3880	0
3900	3
3920	3
3940	0
3960	3
3980	1
4000	7
4020	8
4040	6
4060	3
4080	2
4100	3
4120	2
4140	3
4160	2
4180	2
4200	3
4220	0
4240	0
4260	1
4280	2
4300	3
4320	2
4340	0
4360	0
4380	0
4400	1
4420	0
4440	3
4460	0
4480	2
4500	3
4520	0
4540	1
4560	1
4580	0
4600	1
4620	0
4640	2
4660	1
4680	1
4700	3
4720	2
4740	0
4760	3
4780	0
4800	1
4820	3
4840	2
4860	1
4880	3
4900	0
4920	0
4940	1
4960	1
4980	3
5000	1
5020	0
5040	0
5060	1
5080	1
5100	1
5120	1
5140	2
5160	0
5180	1
5200	1
5220	0
5240	1
5260	0
5280	6
5300	2
5320	4
5340	0
5360	0
5380	1
5400	1
5420	0
5440	1
5460	0
5480	1
5500	2
5520	0
5540	4
5560	2
5580	0
5600	0
5620	0
5640	0
5660	2
5680	0
5700	0
5720	0
5740	1
5760	2
5780	0
5800	3
5820	0
5840	0
5860	2
5880	0
5900	2
5920	0
5940	0
5960	0
5980	2
6000	0
6020	1
6040	0
6060	3
6080	0
6100	2
6120	0
6140	0
6160	2
6180	2
6200	0
6220	1
6240	2
6260	0
6280	1
6300	0
6320	1
6340	0
6360	1
6380	1
6400	2
6420	0
6440	0
6460	1
6480	0
6500	1
6520	0
6540	2
6560	1
6580	0
6600	0
6620	2
6640	1
6660	2
6680	0
6700	1
6720	0
6740	1
6760	0
6780	1
6800	1
6820	1
6840	1
6860	0
6880	2
6900	2
6920	0
6940	0
6960	0
6980	2
7000	0
7020	3
7040	1
7060	0
7080	1
7100	1
7120	0
7140	1
7160	0
7180	3
7200	2
7220	1
7240	0
7260	0
7280	1
7300	1
7320	1
7340	0
7360	1
7380	0
7400	3
7420	0
7440	2
7460	2
7480	0
7500	2
7520	1
7540	1
7560	1
7580	3
7600	2
7620	4
7640	2
7660	2
7680	4
7700	3
7720	3
7740	3
7760	1
7780	2
7800	0
7820	0
7840	2
7860	0
7880	0
7900	1
7920	1
7940	1
7960	0
7980	0
8000	0
8020	0
8040	0
8060	1
8080	1
8100	1
8120	2
8140	1
8160	2
8180	0
8200	0
8220	2
8240	0
8260	0
8280	1
8300	3
8320	0
8340	0
8360	3
8380	1
8400	1
8420	3
8440	3
8460	4
8480	4
8500	6
8520	2
8540	4
8560	2
8580	2
8600	0
8620	2
8640	0
8660	0
8680	0
8700	0
8720	1
8740	1
8760	2
8780	1
8800	1
8820	2
8840	0
8860	1
8880	0
8900	0
8920	0
8940	1
8960	2
8980	0
9000	0
9020	0
9040	0
9060	2
9080	1
9100	0
9120	0
9140	2
9160	2
9180	2
9200	0
9220	0
9240	2
9260	1
9280	0
9300	1
9320	1
9340	0
9360	1
9380	2
9400	1
9420	2
9440	0
9460	2
9480	2
9500	4
9520	0
9540	0
9560	1
9580	0
9600	1
9620	4
9640	1
9660	0
9680	0
9700	1
9720	3
9740	1
9760	2
9780	1
9800	1
9820	0
9840	2
9860	0
9880	1
9900	1
9920	1
9940	1
9960	0
9980	0
10000	2
10020	0
10040	0
10060	0
10080	1
10100	2
10120	2
10140	1
10160	0
10180	1
10200	0
10220	0
10240	1
10260	0
10280	0
10300	1
10320	1
10340	0
10360	0
10380	0
10400	1
10420	0
10440	0
10460	1
10480	0
10500	0
10520	0
10540	1
10560	1
10580	0
10600	2
10620	2
10640	0
10660	0
10680	2
10700	1
10720	1
10740	1
10760	0
10780	0
10800	0
10820	1
10840	2
10860	0
10880	2
10900	1
10920	1
10940	0
10960	0
10980	2
11000	1
11020	0
11040	1
11060	1
