"Time differences (ps)"	"Counts per bin"
-20000	5
-19980	4
-19960	3
-19940	5
-19920	6
-19900	2
-19880	1
-19860	0
-19840	1
-19820	1
-19800	2
-19780	2
-19760	2
-19740	1
-19720	3
-19700	2
-19680	4
-19660	2
-19640	3
-19620	1
-19600	3
-19580	3
-19560	5
-19540	3
-19520	2
-19500	3
-19480	2
-19460	4
-19440	3
-19420	2
-19400	4
-19380	4
-19360	3
-19340	3
-19320	4
-19300	4
-19280	5
-19260	2
-19240	5
-19220	3
-19200	3
-19180	3
-19160	1
-19140	4
-19120	5
-19100	9
-19080	2
-19060	5
-19040	2
-19020	3
-19000	2
-18980	7
-18960	4
-18940	3
-18920	1
-18900	1
-18880	4
-18860	1
-18840	3
-18820	2
-18800	4
-18780	7
-18760	4
-18740	4
-18720	3
-18700	2
-18680	2
-18660	3
-18640	1
-18620	4
-18600	3
-18580	1
-18560	5
-18540	2
-18520	3
-18500	4
-18480	2
-18460	5
-18440	6
-18420	2
-18400	1
-18380	3
-18360	3
-18340	1
-18320	4
-18300	3
-18280	1
-18260	5
-18240	3
-18220	2
-18200	3
-18180	2
-18160	1
-18140	3
-18120	3
-18100	4
-18080	1
-18060	4
-18040	6
-18020	4
-18000	3
-17980	2
-17960	2
-17940	2
-17920	3
-17900	2
-17880	5
-17860	1
-17840	3
-17820	2
-17800	6
-17780	2
-17760	4
-17740	4
-17720	7
-17700	3
-17680	3
-17660	1
-17640	7
-17620	4
-17600	1
-17580	3
-17560	1
-17540	5
-17520	3
-17500	5
-17480	2
-17460	2
-17440	3
-17420	2
-17400	2
-17380	8
-17360	13
-17340	7
-17320	1
-17300	5
-17280	3
-17260	5
-17240	4
-17220	5
-17200	3
-17180	3
-17160	2
-17140	2
-17120	3
-17100	3
-17080	5
-17060	1
-17040	2
-17020	1
-17000	3
-16980	2
-16960	3
-16940	4
-16920	3
-16900	2
-16880	4
-16860	4
-16840	4
-16820	2
-16800	3
-16780	6
-16760	2
-16740	1
-16720	4
-16700	4
-16680	1
-16660	3
-16640	5
-16620	1
-16600	2
-16580	4
-16560	3
-16540	3
-16520	11
-16500	10
-16480	3
-16460	6
-16440	1
-16420	0
-16400	4
-16380	1
-16360	3
-16340	1
-16320	4
-16300	3
-16280	5
-16260	7
-16240	1
-16220	6
-16200	4
-16180	3
-16160	3
-16140	4
-16120	2
-16100	2
-16080	2
-16060	1
-16040	2
-16020	2
-16000	3
-15980	0
-15960	1
-15940	3
-15920	2
-15900	1
-15880	3
-15860	0
-15840	1
-15820	1
-15800	3
-15780	2
-15760	4
-15740	5
-15720	6
-15700	2
-15680	2
-15660	1
-15640	0
-15620	3
-15600	3
-15580	2
-15560	2
-15540	2
-15520	1
-15500	4
-15480	1
-15460	4
-15440	2
-15420	2
-15400	1
-15380	3
-15360	1
-15340	2
-15320	3
-15300	3
-15280	2
-15260	5
-15240	1
-15220	1
-15200	4
-15180	3
-15160	2
-15140	1
-15120	7
-15100	3
-15080	1
-15060	1
-15040	4
-15020	7
-15000	3
-14980	3
-14960	2
-14940	4
-14920	0
-14900	4
-14880	4
-14860	1
-14840	5
-14820	0
-14800	3
-14780	6
-14760	2
-14740	1
-14720	4
-14700	2
-14680	2
-14660	3
-14640	3
-14620	3
-14600	2
-14580	1
-14560	5
-14540	4
-14520	4
-14500	2
-14480	4
-14460	1
-14440	1
-14420	1
-14400	3
-14380	4
-14360	3
-14340	1
-14320	0
-14300	1
-14280	4
-14260	3
-14240	3
-14220	2
