"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	2
-19960	4
-19940	5
-19920	2
-19900	2
-19880	3
-19860	3
-19840	1
-19820	1
-19800	2
-19780	2
-19760	3
-19740	1
-19720	0
-19700	0
-19680	1
-19660	0
-19640	5
-19620	2
-19600	1
-19580	3
-19560	3
-19540	3
-19520	2
-19500	3
-19480	4
-19460	5
-19440	1
-19420	2
-19400	2
-19380	5
-19360	3
-19340	1
-19320	0
-19300	4
-19280	1
-19260	3
-19240	2
-19220	0
-19200	0
-19180	0
-19160	2
-19140	1
-19120	1
-19100	1
-19080	0
-19060	2
-19040	2
-19020	2
-19000	1
-18980	1
-18960	0
-18940	3
-18920	3
-18900	2
-18880	2
-18860	4
-18840	1
-18820	3
-18800	3
-18780	3
-18760	0
-18740	4
-18720	1
-18700	4
-18680	1
-18660	5
-18640	0
-18620	1
-18600	1
-18580	6
-18560	2
-18540	2
-18520	2
-18500	2
-18480	3
-18460	3
-18440	2
-18420	2
-18400	2
-18380	1
-18360	1
-18340	3
-18320	3
-18300	2
-18280	1
-18260	2
-18240	1
-18220	5
-18200	1
-18180	1
-18160	1
-18140	3
-18120	0
-18100	2
-18080	5
-18060	3
-18040	3
-18020	1
-18000	2
-17980	6
-17960	3
-17940	5
-17920	3
-17900	4
-17880	2
-17860	1
-17840	2
-17820	2
-17800	4
-17780	1
-17760	4
-17740	2
-17720	5
-17700	3
-17680	6
-17660	1
-17640	3
-17620	2
-17600	1
-17580	3
-17560	3
-17540	2
-17520	5
-17500	3
-17480	4
-17460	6
-17440	1
-17420	2
-17400	4
-17380	2
-17360	6
-17340	7
-17320	4
-17300	3
-17280	3
-17260	1
-17240	6
-17220	4
-17200	3
-17180	2
-17160	2
-17140	1
-17120	3
-17100	2
-17080	3
-17060	1
-17040	3
-17020	4
-17000	1
-16980	1
-16960	4
-16940	2
-16920	0
-16900	3
-16880	2
-16860	3
-16840	2
-16820	0
-16800	1
-16780	1
-16760	3
-16740	3
-16720	0
-16700	0
-16680	6
-16660	0
-16640	3
-16620	5
-16600	0
-16580	2
-16560	1
-16540	1
-16520	3
-16500	7
-16480	10
-16460	5
-16440	2
-16420	0
-16400	4
-16380	4
-16360	4
-16340	4
-16320	4
-16300	0
-16280	1
-16260	2
-16240	3
-16220	6
-16200	2
-16180	1
-16160	1
-16140	3
-16120	2
-16100	2
-16080	5
-16060	2
-16040	2
-16020	5
-16000	5
-15980	1
-15960	1
-15940	1
-15920	2
-15900	3
-15880	3
-15860	4
-15840	1
-15820	1
-15800	5
-15780	1
-15760	3
-15740	3
-15720	2
-15700	3
-15680	1
-15660	1
-15640	1
-15620	2
-15600	1
-15580	1
-15560	1
-15540	2
-15520	5
-15500	6
-15480	3
-15460	2
-15440	1
-15420	3
-15400	9
-15380	4
-15360	0
-15340	1
-15320	1
-15300	2
-15280	1
-15260	1
-15240	3
-15220	1
-15200	0
-15180	2
-15160	5
-15140	2
-15120	1
-15100	1
-15080	7
-15060	4
-15040	1
-15020	3
-15000	2
-14980	4
-14960	2
-14940	4
-14920	4
-14900	2
-14880	2
-14860	3
-14840	3
