"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	8
-19960	2
-19940	1
-19920	6
-19900	5
-19880	4
-19860	4
-19840	1
-19820	4
-19800	3
-19780	2
-19760	5
-19740	2
-19720	5
-19700	1
-19680	4
-19660	3
-19640	3
-19620	0
-19600	1
-19580	6
-19560	3
-19540	3
-19520	2
-19500	2
-19480	4
-19460	2
-19440	3
-19420	3
-19400	2
-19380	1
-19360	2
-19340	3
-19320	6
-19300	4
-19280	2
-19260	2
-19240	5
-19220	1
-19200	3
-19180	3
-19160	3
-19140	2
-19120	2
-19100	1
-19080	5
-19060	5
-19040	0
-19020	2
-19000	6
-18980	3
-18960	2
-18940	4
-18920	5
-18900	1
-18880	2
-18860	3
-18840	3
-18820	1
-18800	6
-18780	4
-18760	5
-18740	3
-18720	5
-18700	3
-18680	5
-18660	2
-18640	5
-18620	0
-18600	1
-18580	2
-18560	3
-18540	1
-18520	4
-18500	5
-18480	4
-18460	0
-18440	3
-18420	0
-18400	4
-18380	3
-18360	0
-18340	4
-18320	2
-18300	3
-18280	4
-18260	2
-18240	2
-18220	2
-18200	5
-18180	5
-18160	3
-18140	6
-18120	4
-18100	3
-18080	2
-18060	2
-18040	2
-18020	1
-18000	2
-17980	3
-17960	5
-17940	4
-17920	1
-17900	1
-17880	5
-17860	0
-17840	5
-17820	2
-17800	4
-17780	3
-17760	3
-17740	2
-17720	2
-17700	2
-17680	4
-17660	4
-17640	3
-17620	3
-17600	1
-17580	2
-17560	4
-17540	3
-17520	0
-17500	1
-17480	0
-17460	3
-17440	5
-17420	2
-17400	3
-17380	5
-17360	7
-17340	8
-17320	3
-17300	2
-17280	2
-17260	3
-17240	4
-17220	4
-17200	3
-17180	0
-17160	3
-17140	4
-17120	5
-17100	2
-17080	1
-17060	1
-17040	1
-17020	1
-17000	8
-16980	1
-16960	6
-16940	7
-16920	2
-16900	1
-16880	3
-16860	2
-16840	4
-16820	0
-16800	0
-16780	2
-16760	2
-16740	1
-16720	4
-16700	6
-16680	2
-16660	4
-16640	4
-16620	5
-16600	1
-16580	2
-16560	2
-16540	1
-16520	4
-16500	6
-16480	8
-16460	5
-16440	4
-16420	2
-16400	4
-16380	1
-16360	4
-16340	2
-16320	1
-16300	0
-16280	2
-16260	2
-16240	0
-16220	2
-16200	5
-16180	3
-16160	2
-16140	3
-16120	4
-16100	2
-16080	1
-16060	4
-16040	1
-16020	2
-16000	1
-15980	2
-15960	1
-15940	0
-15920	4
-15900	5
-15880	1
-15860	1
-15840	4
-15820	3
-15800	3
-15780	6
-15760	2
-15740	2
-15720	2
-15700	3
-15680	0
-15660	4
-15640	0
-15620	2
-15600	3
-15580	0
-15560	1
-15540	1
-15520	2
-15500	5
-15480	3
-15460	5
-15440	0
-15420	2
-15400	4
-15380	1
-15360	2
-15340	3
-15320	2
-15300	0
-15280	5
-15260	1
-15240	4
-15220	2
-15200	3
-15180	2
-15160	3
-15140	2
-15120	0
-15100	3
-15080	3
-15060	0
-15040	4
-15020	2
-15000	5
-14980	6
-14960	3
-14940	2
-14920	1
-14900	1
-14880	6
-14860	1
-14840	3
-14820	3
-14800	4
-14780	0
-14760	3
-14740	4
-14720	0
-14700	2
-14680	2
-14660	1
-14640	3
-14620	2
-14600	3
-14580	1
-14560	1
-14540	8
-14520	3
-14500	5
-14480	2
-14460	3
-14440	1
-14420	1
-14400	5
-14380	5
-14360	1
-14340	3
-14320	4
-14300	3
-14280	5
-14260	3
-14240	2
-14220	1
-14200	1
-14180	4
-14160	0
-14140	1
-14120	2
-14100	2
-14080	2
-14060	4
-14040	2
-14020	1
-14000	1
-13980	1
-13960	3
-13940	1
-13920	0
-13900	1
-13880	5
-13860	3
-13840	8
-13820	9
-13800	10
-13780	2
-13760	3
-13740	2
-13720	0
-13700	2
-13680	1
-13660	2
-13640	6
-13620	6
-13600	4
-13580	2
-13560	3
-13540	3
-13520	4
-13500	4
-13480	1
-13460	4
-13440	0
-13420	1
-13400	1
-13380	7
-13360	14
-13340	8
-13320	12
-13300	7
-13280	5
-13260	2
-13240	3
-13220	2
-13200	2
-13180	0
-13160	4
-13140	3
-13120	1
-13100	1
-13080	3
-13060	2
-13040	3
-13020	0
-13000	2
-12980	1
-12960	3
-12940	0
-12920	2
-12900	2
-12880	3
-12860	0
-12840	4
-12820	2
-12800	0
-12780	4
-12760	4
-12740	9
-12720	12
-12700	13
-12680	10
-12660	10
-12640	13
-12620	14
-12600	22
-12580	40
-12560	167
-12540	777
-12520	3043
-12500	7599
-12480	9143
-12460	5938
-12440	2876
-12420	1284
-12400	568
-12380	253
-12360	121
-12340	55
-12320	35
-12300	25
-12280	14
-12260	9
-12240	8
-12220	5
-12200	7
-12180	3
-12160	2
-12140	2
-12120	7
-12100	4
-12080	3
-12060	0
-12040	7
-12020	1
-12000	6
-11980	3
-11960	5
-11940	3
-11920	4
-11900	5
-11880	3
-11860	2
-11840	6
-11820	2
-11800	5
-11780	3
-11760	4
-11740	1
-11720	0
-11700	2
-11680	1
-11660	3
-11640	2
-11620	6
-11600	6
-11580	6
-11560	5
-11540	1
-11520	2
-11500	4
-11480	2
-11460	4
-11440	4
-11420	8
-11400	2
-11380	6
-11360	4
-11340	7
-11320	1
-11300	1
-11280	4
-11260	4
-11240	3
-11220	1
-11200	4
-11180	5
-11160	9
-11140	4
-11120	4
-11100	4
-11080	3
-11060	2
-11040	5
-11020	5
-11000	7
-10980	6
-10960	2
