"Time differences (ps)"	"Counts per bin"
-20000	4
-19980	3
-19960	4
-19940	3
-19920	4
-19900	0
-19880	6
-19860	4
-19840	2
-19820	3
-19800	5
-19780	3
-19760	1
-19740	2
-19720	1
-19700	4
-19680	3
-19660	4
-19640	3
-19620	5
-19600	2
-19580	2
-19560	6
-19540	4
-19520	8
-19500	3
-19480	4
-19460	3
-19440	2
-19420	0
-19400	1
-19380	5
-19360	0
-19340	5
-19320	2
-19300	0
-19280	0
-19260	2
-19240	0
-19220	5
-19200	8
-19180	2
-19160	2
-19140	6
-19120	2
-19100	1
-19080	4
-19060	4
-19040	0
-19020	3
-19000	6
-18980	7
-18960	4
-18940	3
-18920	3
-18900	5
-18880	1
-18860	3
-18840	2
-18820	5
-18800	4
-18780	5
-18760	2
-18740	3
-18720	2
-18700	4
-18680	4
-18660	2
-18640	1
-18620	0
-18600	2
-18580	3
-18560	1
-18540	1
-18520	4
-18500	2
-18480	3
-18460	3
-18440	2
-18420	3
-18400	0
-18380	4
-18360	5
-18340	4
-18320	1
-18300	6
-18280	4
-18260	2
-18240	3
-18220	3
-18200	2
-18180	2
-18160	4
-18140	2
-18120	2
-18100	4
-18080	2
-18060	2
-18040	3
-18020	4
-18000	2
-17980	4
-17960	3
-17940	1
-17920	1
-17900	2
-17880	5
-17860	2
-17840	3
-17820	2
-17800	4
-17780	2
-17760	3
-17740	4
-17720	3
-17700	4
-17680	1
-17660	3
-17640	4
-17620	3
-17600	2
-17580	1
-17560	5
-17540	0
-17520	4
-17500	5
-17480	0
-17460	2
-17440	0
-17420	1
-17400	3
-17380	1
-17360	11
-17340	5
-17320	3
-17300	2
-17280	2
-17260	5
-17240	2
-17220	2
-17200	2
-17180	5
-17160	3
-17140	3
-17120	3
-17100	5
-17080	2
-17060	2
-17040	7
-17020	2
-17000	3
-16980	2
-16960	2
-16940	3
-16920	2
-16900	4
-16880	1
-16860	2
-16840	2
-16820	5
-16800	0
-16780	3
-16760	6
-16740	0
-16720	0
-16700	3
-16680	3
-16660	4
-16640	4
-16620	3
-16600	1
-16580	0
-16560	3
-16540	0
-16520	7
-16500	8
-16480	4
-16460	0
-16440	3
-16420	2
-16400	0
-16380	1
-16360	2
-16340	3
-16320	1
-16300	2
-16280	3
-16260	4
-16240	3
-16220	0
-16200	1
-16180	1
-16160	1
-16140	1
-16120	4
-16100	2
-16080	2
-16060	2
-16040	1
-16020	3
-16000	1
-15980	4
-15960	4
-15940	5
-15920	1
-15900	3
-15880	5
-15860	0
-15840	3
-15820	2
-15800	1
-15780	3
-15760	3
-15740	1
-15720	2
-15700	5
-15680	4
-15660	0
-15640	2
-15620	2
-15600	0
-15580	1
-15560	3
-15540	2
-15520	2
-15500	3
-15480	3
-15460	0
-15440	2
-15420	2
-15400	3
-15380	3
-15360	3
-15340	6
-15320	5
-15300	1
-15280	6
-15260	1
-15240	4
-15220	1
-15200	1
-15180	5
-15160	2
-15140	2
-15120	4
-15100	3
-15080	3
-15060	1
-15040	2
-15020	3
-15000	1
-14980	2
-14960	2
-14940	2
-14920	0
-14900	1
-14880	4
-14860	1
-14840	0
-14820	4
-14800	4
-14780	1
-14760	1
-14740	6
-14720	1
-14700	5
-14680	3
-14660	3
-14640	2
-14620	2
-14600	4
-14580	2
-14560	2
-14540	2
-14520	4
-14500	0
-14480	4
-14460	3
-14440	0
-14420	2
-14400	3
-14380	3
-14360	2
-14340	0
-14320	4
-14300	3
-14280	2
-14260	5
-14240	0
-14220	3
-14200	0
-14180	1
-14160	1
-14140	1
-14120	1
-14100	3
-14080	4
-14060	5
-14040	0
-14020	3
-14000	2
-13980	3
-13960	1
-13940	3
-13920	0
-13900	0
-13880	1
-13860	5
-13840	2
-13820	9
-13800	7
-13780	2
-13760	7
-13740	1
-13720	1
-13700	3
-13680	7
-13660	6
-13640	1
-13620	6
-13600	5
-13580	0
-13560	1
-13540	5
-13520	2
-13500	2
-13480	3
-13460	6
-13440	3
-13420	2
-13400	1
-13380	6
-13360	6
-13340	9
-13320	11
-13300	11
-13280	4
-13260	2
-13240	7
-13220	3
-13200	1
-13180	3
-13160	3
-13140	3
-13120	3
-13100	1
-13080	1
-13060	5
-13040	4
-13020	1
-13000	3
-12980	0
-12960	1
-12940	3
-12920	0
-12900	2
-12880	5
-12860	0
-12840	5
-12820	2
-12800	4
-12780	5
-12760	4
-12740	11
-12720	9
-12700	14
-12680	16
-12660	12
-12640	8
-12620	9
-12600	11
-12580	63
-12560	193
-12540	822
-12520	3063
-12500	7811
-12480	8971
-12460	5408
-12440	2388
-12420	990
-12400	401
-12380	189
-12360	76
-12340	45
-12320	47
-12300	31
-12280	27
-12260	11
-12240	6
-12220	14
-12200	7
-12180	3
-12160	6
-12140	8
-12120	4
-12100	3
-12080	3
-12060	3
-12040	6
-12020	2
-12000	6
-11980	3
-11960	3
-11940	6
-11920	3
-11900	3
-11880	4
-11860	3
-11840	5
-11820	2
-11800	3
-11780	4
-11760	5
-11740	1
-11720	4
-11700	3
-11680	2
-11660	3
-11640	4
-11620	8
-11600	2
-11580	8
-11560	5
-11540	4
-11520	4
-11500	6
-11480	3
-11460	1
-11440	4
-11420	3
-11400	0
-11380	1
-11360	2
-11340	6
-11320	3
-11300	5
-11280	4
-11260	6
-11240	2
-11220	4
-11200	3
-11180	2
-11160	1
-11140	4
-11120	9
-11100	2
-11080	3
-11060	2
-11040	2
-11020	7
-11000	3
-10980	4
-10960	2
-10940	3
-10920	4
-10900	5
-10880	1
-10860	1
-10840	3
-10820	7
-10800	7
-10780	6
-10760	6
-10740	6
-10720	6
-10700	1
-10680	4
-10660	7
-10640	4
-10620	3
-10600	5
-10580	2
-10560	2
-10540	1
-10520	5
-10500	2
-10480	4
-10460	7
-10440	3
-10420	4
-10400	5
-10380	1
-10360	4
-10340	0
-10320	3
-10300	3
-10280	3
-10260	4
-10240	4
-10220	5
-10200	4
-10180	2
-10160	1
-10140	3
-10120	3
-10100	1
-10080	2
-10060	1
-10040	7
-10020	4
-10000	2
-9980	4
-9960	3
-9940	3
-9920	5
-9900	4
-9880	0
-9860	2
-9840	2
-9820	4
-9800	5
-9780	7
-9760	6
-9740	2
-9720	6
-9700	5
-9680	4
-9660	2
-9640	6
-9620	1
-9600	1
-9580	1
-9560	2
-9540	5
-9520	3
-9500	4
-9480	2
-9460	0
-9440	3
-9420	4
-9400	4
-9380	1
-9360	4
-9340	6
-9320	4
-9300	2
-9280	1
-9260	5
-9240	9
-9220	8
-9200	19
-9180	8
-9160	9
-9140	2
-9120	5
-9100	4
-9080	3
-9060	7
-9040	3
-9020	7
-9000	3
-8980	3
-8960	3
-8940	2
-8920	5
-8900	5
-8880	2
-8860	4
-8840	7
-8820	6
-8800	3
-8780	4
-8760	5
-8740	3
-8720	6
-8700	4
-8680	0
-8660	3
-8640	4
-8620	0
-8600	7
-8580	5
-8560	5
-8540	9
-8520	7
-8500	7
-8480	10
-8460	12
-8440	7
-8420	6
-8400	3
-8380	4
-8360	3
-8340	1
-8320	1
-8300	3
-8280	5
-8260	2
-8240	1
-8220	2
-8200	2
-8180	4
-8160	2
-8140	2
-8120	3
-8100	3
-8080	4
-8060	3
-8040	2
-8020	3
-8000	4
-7980	1
-7960	5
-7940	0
-7920	2
-7900	4
-7880	1
-7860	2
-7840	2
-7820	3
-7800	0
-7780	8
-7760	1
-7740	3
-7720	0
-7700	5
-7680	3
-7660	3
-7640	1
-7620	2
-7600	1
-7580	4
-7560	3
-7540	2
-7520	2
-7500	2
-7480	5
-7460	2
-7440	3
-7420	6
-7400	1
-7380	7
-7360	3
-7340	3
-7320	2
-7300	0
-7280	0
-7260	2
-7240	2
-7220	0
-7200	3
-7180	2
-7160	2
-7140	5
-7120	2
-7100	1
-7080	2
-7060	4
-7040	0
-7020	2
-7000	4
-6980	4
-6960	2
-6940	4
-6920	4
-6900	2
-6880	3
-6860	1
-6840	1
-6820	3
-6800	0
-6780	2
-6760	3
-6740	3
-6720	2
-6700	1
-6680	0
-6660	2
-6640	6
-6620	3
-6600	1
-6580	1
-6560	2
-6540	5
-6520	7
-6500	3
-6480	2
-6460	2
-6440	2
-6420	2
-6400	0
-6380	3
-6360	3
-6340	2
-6320	1
-6300	3
-6280	4
-6260	3
-6240	2
-6220	2
-6200	2
-6180	2
-6160	3
-6140	1
-6120	3
-6100	2
-6080	2
-6060	2
-6040	3
-6020	1
-6000	4
-5980	2
-5960	3
-5940	1
-5920	1
-5900	2
-5880	4
-5860	5
-5840	6
-5820	0
-5800	4
-5780	2
-5760	2
-5740	2
-5720	2
-5700	4
-5680	3
-5660	6
-5640	3
-5620	1
-5600	1
-5580	0
-5560	2
-5540	1
-5520	1
-5500	1
-5480	2
-5460	0
-5440	4
-5420	0
-5400	1
-5380	6
-5360	1
-5340	3
-5320	4
-5300	4
-5280	2
-5260	3
-5240	3
-5220	0
-5200	3
-5180	0
-5160	5
-5140	5
-5120	4
-5100	1
-5080	2
-5060	2
-5040	4
-5020	2
-5000	2
-4980	4
-4960	2
-4940	4
-4920	2
-4900	2
-4880	8
-4860	6
-4840	1
-4820	2
-4800	6
-4780	3
-4760	1
-4740	3
-4720	5
-4700	0
-4680	3
-4660	4
-4640	4
-4620	3
-4600	2
-4580	3
-4560	3
-4540	0
-4520	1
-4500	1
-4480	4
-4460	3
-4440	2
-4420	0
-4400	7
-4380	1
-4360	3
-4340	1
-4320	5
-4300	2
-4280	3
-4260	2
-4240	2
-4220	2
-4200	1
-4180	3
-4160	2
-4140	3
-4120	2
