"Time differences (ps)"	"Counts per bin"
-20000	3
-19980	1
-19960	6
-19940	3
-19920	2
-19900	4
-19880	3
-19860	5
-19840	3
-19820	2
-19800	3
-19780	6
-19760	4
-19740	3
-19720	1
-19700	2
-19680	1
-19660	4
-19640	3
-19620	3
-19600	1
-19580	2
-19560	5
-19540	2
-19520	8
-19500	1
-19480	1
-19460	0
-19440	1
-19420	2
-19400	0
-19380	1
-19360	2
-19340	1
-19320	1
-19300	2
-19280	3
-19260	2
-19240	4
-19220	5
-19200	4
-19180	2
-19160	4
-19140	1
-19120	5
-19100	1
-19080	2
-19060	2
-19040	0
-19020	1
-19000	3
-18980	3
-18960	0
-18940	4
-18920	2
-18900	8
-18880	0
-18860	3
-18840	1
-18820	4
-18800	5
-18780	5
-18760	2
-18740	4
-18720	1
-18700	1
-18680	0
-18660	1
-18640	4
-18620	2
-18600	0
-18580	3
-18560	5
-18540	2
-18520	3
-18500	2
-18480	3
-18460	1
-18440	3
-18420	2
-18400	0
-18380	3
-18360	2
-18340	1
-18320	5
-18300	3
-18280	4
-18260	4
-18240	2
-18220	4
-18200	2
-18180	6
-18160	4
-18140	3
-18120	3
-18100	1
-18080	1
-18060	4
-18040	2
-18020	4
-18000	1
-17980	3
-17960	0
-17940	1
-17920	1
-17900	3
-17880	4
-17860	5
-17840	3
-17820	2
-17800	4
-17780	5
-17760	2
-17740	2
-17720	1
-17700	5
-17680	5
-17660	5
-17640	4
-17620	3
-17600	2
-17580	3
-17560	3
-17540	1
-17520	1
-17500	5
-17480	6
-17460	5
-17440	3
-17420	2
-17400	2
-17380	8
-17360	8
-17340	6
-17320	5
-17300	7
-17280	5
-17260	0
-17240	4
-17220	6
-17200	0
-17180	2
-17160	4
-17140	4
-17120	3
-17100	1
-17080	0
-17060	5
-17040	1
-17020	3
-17000	1
-16980	1
-16960	2
-16940	3
-16920	1
-16900	0
-16880	4
-16860	6
-16840	2
-16820	3
-16800	2
-16780	2
-16760	1
-16740	2
-16720	3
-16700	0
-16680	6
-16660	2
-16640	1
-16620	4
-16600	2
-16580	2
-16560	0
-16540	1
-16520	5
-16500	8
-16480	8
-16460	6
-16440	2
-16420	3
-16400	1
-16380	0
-16360	3
-16340	4
-16320	4
-16300	0
-16280	3
-16260	2
-16240	5
-16220	1
-16200	1
-16180	1
-16160	5
-16140	1
-16120	5
-16100	1
-16080	5
-16060	2
-16040	2
-16020	1
-16000	3
-15980	5
-15960	2
-15940	2
-15920	4
-15900	5
-15880	2
-15860	1
-15840	1
-15820	2
-15800	5
-15780	4
-15760	3
-15740	4
-15720	1
-15700	0
-15680	4
-15660	2
-15640	4
-15620	1
-15600	3
-15580	0
-15560	3
-15540	2
-15520	7
-15500	3
-15480	4
-15460	4
-15440	1
-15420	2
-15400	4
