"Time differences (ps)"	"Counts per bin"
-20000	4
-19980	2
-19960	5
-19940	4
-19920	1
-19900	1
-19880	4
-19860	3
-19840	1
-19820	3
-19800	0
-19780	2
-19760	0
-19740	0
-19720	2
-19700	1
-19680	2
-19660	5
-19640	6
-19620	3
-19600	4
-19580	2
-19560	4
-19540	1
-19520	6
-19500	5
-19480	4
-19460	2
-19440	3
-19420	3
-19400	2
-19380	2
-19360	3
-19340	1
-19320	3
-19300	2
-19280	7
-19260	1
-19240	3
-19220	1
-19200	1
-19180	2
-19160	4
-19140	3
-19120	6
-19100	1
-19080	4
-19060	0
-19040	4
-19020	3
-19000	4
-18980	3
-18960	1
-18940	2
-18920	3
-18900	2
-18880	2
-18860	3
-18840	2
-18820	3
-18800	4
-18780	1
-18760	5
-18740	1
-18720	2
-18700	2
-18680	3
-18660	1
-18640	4
-18620	4
-18600	2
-18580	3
-18560	1
-18540	0
-18520	1
-18500	1
-18480	1
-18460	2
-18440	2
-18420	2
-18400	5
-18380	1
-18360	4
-18340	3
-18320	1
-18300	1
-18280	3
-18260	3
-18240	2
-18220	2
-18200	2
-18180	2
-18160	3
-18140	4
-18120	3
-18100	3
-18080	0
-18060	0
-18040	3
-18020	2
-18000	0
-17980	3
-17960	3
-17940	1
-17920	2
-17900	2
-17880	1
-17860	3
-17840	0
-17820	2
-17800	1
-17780	2
-17760	1
-17740	1
-17720	3
-17700	4
-17680	3
-17660	0
-17640	2
-17620	2
-17600	3
-17580	3
-17560	3
-17540	0
-17520	3
-17500	4
-17480	2
-17460	4
-17440	2
-17420	3
-17400	1
-17380	4
-17360	1
-17340	4
-17320	7
-17300	1
-17280	2
-17260	6
-17240	0
-17220	3
-17200	2
-17180	0
-17160	3
-17140	3
-17120	2
-17100	3
-17080	0
-17060	1
-17040	2
-17020	2
-17000	2
-16980	2
-16960	1
-16940	3
-16920	4
-16900	4
-16880	3
-16860	4
-16840	5
-16820	3
-16800	2
-16780	4
-16760	2
-16740	0
-16720	3
-16700	1
-16680	2
-16660	1
-16640	4
-16620	4
-16600	6
-16580	0
