"Time differences (ps)"	"Counts per bin"
-20000	4
-19980	3
-19960	1
-19940	3
-19920	0
-19900	3
-19880	5
-19860	6
-19840	3
-19820	1
-19800	3
-19780	6
-19760	3
-19740	1
-19720	1
-19700	4
-19680	4
-19660	4
-19640	0
-19620	7
-19600	1
-19580	1
-19560	3
-19540	0
-19520	2
-19500	2
-19480	3
-19460	1
-19440	0
-19420	2
-19400	0
-19380	2
-19360	2
-19340	3
-19320	2
-19300	2
-19280	2
-19260	0
-19240	2
-19220	3
-19200	3
-19180	1
-19160	1
-19140	2
-19120	2
-19100	2
-19080	1
-19060	8
-19040	5
-19020	4
-19000	1
-18980	3
-18960	1
-18940	2
-18920	1
-18900	1
-18880	3
-18860	2
-18840	7
-18820	1
-18800	1
-18780	1
-18760	5
-18740	2
-18720	3
-18700	4
-18680	0
-18660	1
-18640	2
-18620	0
-18600	4
-18580	1
-18560	3
-18540	4
-18520	1
-18500	1
-18480	2
-18460	3
-18440	2
-18420	2
-18400	3
-18380	3
-18360	2
-18340	2
-18320	2
-18300	1
-18280	1
-18260	0
-18240	0
-18220	1
-18200	3
-18180	3
-18160	2
-18140	3
-18120	1
-18100	1
-18080	3
-18060	2
-18040	2
-18020	6
-18000	2
-17980	2
-17960	2
-17940	3
-17920	3
-17900	3
-17880	3
-17860	2
-17840	4
-17820	3
-17800	2
-17780	5
-17760	2
-17740	4
-17720	0
-17700	0
-17680	1
-17660	6
-17640	1
-17620	4
-17600	6
-17580	3
-17560	2
-17540	3
-17520	0
-17500	1
-17480	5
-17460	3
-17440	2
-17420	1
-17400	2
-17380	4
-17360	8
-17340	5
-17320	1
-17300	3
-17280	5
-17260	3
-17240	4
-17220	4
-17200	0
-17180	0
-17160	4
-17140	3
-17120	3
-17100	3
-17080	2
-17060	4
-17040	3
-17020	2
-17000	1
-16980	1
-16960	2
-16940	4
-16920	3
-16900	0
-16880	1
-16860	1
-16840	1
-16820	1
-16800	3
-16780	3
-16760	4
-16740	3
-16720	4
-16700	4
-16680	3
-16660	3
-16640	1
-16620	4
-16600	7
-16580	3
-16560	4
-16540	1
-16520	0
-16500	3
-16480	5
-16460	7
-16440	2
-16420	3
-16400	2
-16380	2
-16360	1
-16340	1
-16320	1
-16300	1
-16280	6
-16260	2
-16240	1
-16220	1
-16200	3
-16180	0
-16160	5
-16140	3
-16120	1
-16100	0
-16080	5
-16060	2
-16040	1
-16020	0
-16000	0
-15980	1
-15960	2
-15940	3
-15920	2
-15900	3
-15880	5
-15860	2
-15840	2
-15820	2
-15800	3
-15780	1
-15760	0
-15740	1
-15720	1
-15700	2
-15680	4
-15660	1
-15640	1
-15620	4
-15600	2
-15580	2
-15560	3
-15540	1
-15520	5
-15500	1
-15480	3
-15460	3
-15440	2
-15420	1
-15400	1
-15380	5
-15360	1
-15340	4
-15320	1
-15300	2
-15280	3
-15260	1
-15240	2
-15220	3
-15200	3
-15180	2
-15160	1
-15140	1
-15120	4
-15100	4
-15080	1
-15060	2
-15040	1
-15020	1
-15000	2
-14980	0
-14960	1
-14940	2
-14920	0
-14900	2
-14880	1
-14860	2
-14840	1
-14820	2
-14800	1
-14780	3
-14760	2
-14740	4
-14720	5
-14700	4
-14680	3
-14660	3
-14640	1
-14620	3
-14600	0
-14580	4
-14560	2
-14540	2
-14520	1
-14500	2
-14480	1
-14460	3
-14440	1
-14420	1
-14400	2
-14380	1
-14360	2
-14340	2
-14320	2
-14300	2
-14280	3
-14260	2
-14240	2
-14220	2
-14200	1
-14180	1
-14160	4
-14140	3
-14120	2
-14100	0
-14080	3
-14060	2
-14040	2
-14020	2
-14000	2
-13980	1
-13960	1
-13940	3
-13920	5
-13900	8
-13880	5
-13860	3
-13840	6
-13820	13
-13800	5
-13780	2
-13760	3
-13740	4
-13720	1
-13700	0
-13680	3
-13660	1
-13640	2
-13620	0
-13600	2
-13580	3
-13560	2
-13540	1
-13520	1
-13500	1
-13480	3
-13460	4
-13440	2
-13420	1
-13400	1
-13380	5
-13360	8
-13340	10
-13320	7
-13300	9
-13280	9
-13260	3
-13240	2
-13220	1
-13200	2
-13180	3
-13160	2
-13140	0
-13120	3
-13100	0
-13080	1
-13060	2
-13040	0
-13020	3
-13000	3
-12980	1
-12960	0
-12940	2
-12920	5
-12900	3
-12880	1
-12860	0
-12840	4
-12820	4
-12800	2
-12780	5
-12760	4
-12740	7
-12720	9
-12700	6
-12680	18
-12660	11
-12640	11
-12620	9
-12600	16
-12580	40
-12560	188
-12540	804
-12520	2884
-12500	7486
-12480	8451
-12460	5007
-12440	2261
-12420	905
-12400	365
-12380	154
-12360	82
-12340	70
-12320	48
-12300	42
-12280	20
-12260	12
-12240	10
-12220	7
-12200	6
-12180	4
-12160	3
-12140	4
-12120	6
-12100	4
-12080	4
-12060	3
-12040	4
-12020	10
-12000	1
-11980	7
-11960	6
-11940	8
-11920	4
-11900	5
-11880	5
-11860	4
-11840	5
-11820	4
-11800	5
-11780	5
-11760	2
-11740	1
-11720	3
-11700	3
-11680	3
-11660	7
-11640	13
-11620	10
-11600	6
-11580	3
-11560	2
-11540	2
-11520	3
-11500	2
-11480	6
-11460	2
-11440	2
-11420	3
-11400	3
-11380	4
-11360	4
-11340	3
-11320	8
-11300	5
-11280	3
-11260	6
-11240	4
-11220	5
-11200	2
-11180	3
-11160	6
-11140	6
-11120	3
-11100	2
-11080	1
-11060	3
-11040	4
-11020	2
-11000	3
-10980	4
-10960	1
-10940	2
-10920	2
-10900	4
-10880	2
-10860	4
-10840	3
-10820	2
-10800	2
-10780	3
-10760	1
-10740	5
-10720	4
-10700	2
-10680	2
-10660	2
-10640	6
-10620	2
-10600	2
-10580	1
-10560	1
-10540	5
-10520	5
-10500	2
-10480	2
-10460	5
-10440	3
-10420	6
-10400	6
-10380	1
-10360	1
-10340	1
-10320	1
-10300	4
-10280	2
-10260	5
-10240	4
-10220	4
-10200	5
-10180	2
-10160	7
-10140	3
-10120	3
-10100	2
-10080	4
-10060	1
-10040	3
-10020	6
-10000	3
-9980	4
-9960	4
-9940	1
-9920	1
-9900	1
-9880	3
-9860	4
-9840	4
-9820	1
-9800	2
-9780	0
-9760	4
-9740	2
-9720	3
-9700	6
-9680	2
-9660	4
-9640	2
-9620	2
-9600	1
-9580	3
-9560	2
-9540	3
-9520	4
-9500	3
-9480	5
-9460	3
-9440	2
-9420	5
-9400	3
-9380	2
-9360	3
-9340	2
-9320	1
-9300	2
-9280	7
-9260	2
-9240	4
-9220	8
-9200	12
-9180	11
-9160	6
-9140	2
-9120	4
-9100	7
-9080	7
-9060	3
-9040	3
-9020	3
-9000	1
-8980	4
-8960	5
-8940	5
-8920	4
-8900	1
-8880	3
-8860	4
-8840	2
-8820	4
-8800	2
-8780	1
-8760	1
-8740	4
-8720	2
-8700	3
-8680	6
-8660	4
-8640	0
-8620	4
-8600	2
-8580	4
-8560	5
-8540	3
-8520	4
-8500	5
-8480	5
-8460	7
-8440	8
-8420	5
-8400	2
-8380	3
-8360	3
-8340	1
-8320	3
-8300	3
-8280	1
-8260	4
-8240	3
-8220	2
-8200	1
-8180	4
-8160	3
-8140	3
-8120	4
-8100	3
-8080	3
-8060	2
-8040	3
-8020	3
-8000	2
-7980	1
-7960	2
-7940	4
-7920	3
-7900	1
-7880	2
-7860	2
-7840	2
-7820	2
-7800	1
-7780	3
-7760	6
-7740	2
-7720	1
-7700	4
-7680	5
-7660	6
-7640	0
-7620	0
-7600	1
-7580	0
-7560	1
-7540	2
-7520	6
-7500	3
-7480	3
-7460	6
-7440	3
-7420	5
-7400	4
-7380	4
-7360	3
-7340	2
-7320	5
-7300	8
-7280	5
-7260	1
-7240	3
-7220	2
-7200	2
-7180	4
-7160	5
-7140	5
-7120	3
-7100	2
-7080	5
-7060	0
-7040	3
-7020	3
-7000	1
-6980	5
-6960	6
-6940	0
-6920	0
-6900	5
-6880	4
-6860	6
-6840	3
-6820	3
-6800	4
-6780	3
-6760	1
-6740	2
-6720	4
-6700	2
-6680	4
-6660	0
-6640	3
-6620	1
-6600	7
-6580	1
-6560	1
-6540	1
-6520	1
-6500	1
-6480	6
-6460	2
-6440	1
-6420	2
-6400	3
-6380	4
-6360	5
-6340	3
-6320	1
-6300	5
-6280	6
-6260	2
-6240	3
-6220	4
-6200	0
-6180	1
-6160	4
-6140	3
-6120	0
-6100	2
-6080	3
-6060	3
-6040	0
-6020	4
-6000	3
-5980	5
-5960	2
-5940	2
-5920	1
-5900	2
-5880	3
-5860	2
-5840	1
-5820	3
-5800	6
-5780	2
-5760	2
-5740	1
-5720	6
-5700	0
-5680	3
-5660	1
-5640	1
-5620	2
-5600	2
-5580	3
-5560	2
-5540	4
-5520	0
-5500	2
-5480	4
-5460	0
-5440	1
-5420	1
-5400	2
-5380	3
-5360	2
-5340	1
-5320	1
-5300	7
-5280	3
-5260	1
-5240	2
-5220	2
-5200	5
-5180	2
-5160	4
-5140	1
-5120	5
-5100	4
-5080	1
-5060	2
-5040	5
-5020	1
-5000	1
-4980	1
-4960	3
-4940	4
-4920	3
-4900	4
-4880	4
-4860	10
-4840	6
-4820	6
-4800	6
-4780	2
-4760	5
-4740	4
-4720	2
-4700	0
-4680	2
-4660	2
-4640	1
-4620	4
-4600	1
-4580	5
-4560	2
-4540	3
-4520	2
-4500	2
-4480	6
-4460	3
-4440	1
-4420	2
-4400	1
-4380	4
-4360	2
-4340	1
-4320	1
-4300	5
-4280	2
-4260	3
-4240	2
-4220	3
-4200	0
-4180	2
-4160	3
-4140	2
-4120	1
