"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	2
-19960	1
-19940	5
-19920	2
-19900	3
-19880	2
-19860	3
-19840	2
-19820	5
-19800	4
-19780	3
-19760	2
-19740	2
-19720	2
-19700	0
-19680	0
-19660	1
-19640	4
-19620	2
-19600	2
-19580	1
-19560	3
-19540	1
-19520	4
-19500	2
-19480	3
-19460	2
-19440	0
-19420	2
-19400	3
-19380	5
-19360	3
-19340	0
-19320	4
-19300	7
-19280	3
-19260	4
-19240	1
-19220	4
-19200	2
-19180	2
-19160	2
-19140	2
-19120	3
-19100	4
-19080	2
-19060	1
-19040	3
-19020	3
-19000	3
-18980	4
-18960	2
-18940	2
-18920	3
-18900	1
-18880	1
-18860	2
-18840	2
-18820	1
-18800	1
-18780	2
-18760	2
-18740	7
-18720	4
-18700	2
-18680	5
-18660	3
-18640	2
-18620	3
-18600	3
-18580	2
-18560	5
-18540	5
-18520	3
-18500	5
-18480	1
-18460	3
-18440	4
-18420	3
-18400	0
-18380	4
-18360	2
-18340	3
-18320	5
-18300	3
-18280	1
-18260	1
-18240	2
-18220	3
-18200	1
-18180	2
-18160	1
-18140	1
-18120	2
-18100	1
-18080	0
-18060	2
-18040	4
-18020	2
-18000	2
-17980	1
-17960	6
-17940	1
-17920	4
-17900	2
-17880	5
-17860	4
-17840	3
-17820	1
-17800	1
-17780	3
-17760	3
-17740	2
-17720	1
-17700	3
-17680	3
-17660	2
-17640	1
-17620	2
-17600	2
-17580	1
-17560	0
-17540	0
-17520	2
-17500	2
-17480	2
-17460	2
-17440	0
-17420	3
-17400	2
-17380	8
-17360	2
-17340	2
-17320	9
-17300	1
-17280	0
-17260	6
-17240	0
-17220	2
-17200	4
-17180	2
-17160	2
-17140	2
-17120	2
-17100	0
-17080	0
-17060	4
-17040	3
-17020	1
-17000	1
-16980	2
-16960	2
-16940	6
-16920	1
-16900	3
-16880	3
-16860	3
-16840	2
-16820	3
-16800	3
-16780	2
-16760	4
-16740	2
-16720	1
-16700	3
-16680	5
-16660	0
-16640	2
-16620	3
-16600	1
-16580	1
-16560	1
-16540	7
-16520	4
-16500	8
-16480	3
-16460	4
-16440	0
-16420	1
-16400	1
-16380	1
-16360	0
-16340	1
-16320	1
-16300	0
-16280	1
-16260	3
-16240	0
-16220	2
-16200	2
-16180	1
-16160	2
-16140	1
-16120	3
-16100	0
-16080	2
-16060	2
-16040	1
-16020	1
-16000	1
-15980	4
-15960	2
-15940	1
-15920	1
-15900	2
-15880	1
-15860	2
-15840	2
-15820	3
-15800	3
-15780	1
-15760	4
-15740	1
-15720	2
-15700	3
-15680	1
-15660	2
-15640	0
-15620	2
-15600	3
-15580	2
-15560	1
-15540	2
-15520	4
-15500	0
-15480	0
-15460	3
-15440	3
-15420	2
-15400	1
-15380	2
-15360	2
-15340	1
-15320	0
-15300	2
-15280	5
-15260	2
-15240	1
-15220	4
-15200	3
-15180	1
-15160	0
-15140	1
-15120	0
-15100	3
-15080	0
-15060	3
-15040	4
-15020	1
-15000	3
-14980	1
-14960	1
-14940	1
-14920	2
-14900	4
-14880	2
-14860	2
-14840	5
