"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	4
-19960	1
-19940	3
-19920	2
-19900	2
-19880	1
-19860	2
-19840	1
-19820	1
-19800	2
-19780	2
-19760	4
-19740	6
-19720	2
-19700	2
-19680	0
-19660	3
-19640	1
-19620	2
-19600	5
-19580	5
-19560	2
-19540	3
-19520	2
-19500	1
-19480	4
-19460	2
-19440	3
-19420	3
-19400	1
-19380	3
-19360	2
-19340	3
-19320	2
-19300	3
-19280	3
-19260	3
-19240	3
-19220	3
-19200	4
-19180	2
-19160	4
-19140	4
-19120	4
-19100	2
-19080	2
-19060	4
-19040	1
-19020	4
-19000	4
-18980	2
-18960	2
-18940	3
-18920	6
-18900	1
-18880	1
-18860	1
-18840	2
-18820	1
-18800	1
-18780	1
-18760	2
-18740	3
-18720	7
-18700	2
-18680	1
-18660	1
-18640	0
-18620	0
-18600	1
-18580	2
-18560	3
-18540	2
-18520	3
-18500	4
-18480	4
-18460	4
-18440	2
-18420	0
-18400	3
-18380	2
-18360	0
-18340	2
-18320	1
-18300	3
-18280	1
-18260	0
-18240	4
-18220	3
-18200	2
-18180	0
-18160	1
-18140	1
-18120	0
-18100	2
-18080	1
-18060	3
-18040	4
-18020	4
-18000	4
-17980	1
-17960	1
-17940	3
-17920	3
-17900	4
-17880	3
-17860	1
-17840	3
-17820	5
-17800	2
-17780	4
-17760	4
-17740	0
-17720	5
-17700	2
-17680	2
-17660	5
-17640	5
-17620	1
-17600	3
-17580	2
-17560	2
-17540	2
-17520	2
-17500	1
-17480	3
-17460	3
-17440	3
-17420	1
-17400	7
-17380	2
-17360	9
-17340	8
-17320	6
-17300	4
-17280	2
-17260	1
-17240	2
-17220	7
-17200	1
-17180	3
-17160	5
-17140	4
-17120	5
-17100	1
-17080	2
-17060	1
-17040	1
-17020	1
-17000	3
-16980	5
-16960	5
-16940	1
-16920	0
-16900	0
-16880	3
-16860	1
-16840	2
-16820	1
-16800	4
-16780	3
-16760	1
-16740	4
-16720	1
-16700	5
-16680	1
-16660	1
-16640	3
-16620	2
-16600	1
-16580	1
-16560	3
-16540	2
-16520	3
-16500	9
-16480	3
-16460	1
-16440	5
-16420	1
-16400	6
-16380	1
-16360	1
-16340	4
-16320	1
-16300	2
-16280	5
-16260	2
-16240	1
-16220	1
-16200	1
-16180	1
-16160	1
-16140	1
-16120	1
-16100	2
-16080	2
-16060	3
-16040	3
-16020	3
-16000	3
-15980	0
-15960	0
-15940	3
-15920	1
-15900	2
-15880	2
-15860	3
-15840	3
-15820	4
-15800	3
-15780	0
-15760	3
-15740	1
-15720	0
-15700	4
-15680	2
-15660	2
-15640	1
-15620	3
-15600	2
-15580	2
-15560	4
-15540	3
-15520	6
-15500	2
-15480	4
-15460	2
-15440	1
-15420	4
-15400	5
-15380	2
-15360	1
-15340	2
-15320	5
-15300	4
-15280	0
-15260	2
-15240	1
-15220	1
-15200	2
-15180	3
-15160	0
-15140	0
-15120	3
-15100	3
-15080	5
-15060	1
-15040	3
-15020	1
-15000	1
-14980	3
-14960	1
-14940	0
-14920	4
-14900	0
-14880	3
-14860	5
-14840	0
-14820	1
-14800	2
-14780	0
-14760	4
-14740	2
-14720	2
-14700	2
-14680	2
-14660	0
-14640	2
-14620	2
-14600	2
-14580	4
-14560	0
-14540	3
-14520	1
-14500	2
-14480	4
-14460	0
-14440	0
-14420	2
-14400	4
-14380	3
-14360	2
-14340	3
-14320	4
-14300	2
-14280	1
-14260	3
-14240	3
-14220	0
-14200	3
-14180	1
-14160	3
-14140	3
-14120	3
-14100	2
-14080	5
-14060	3
-14040	1
-14020	2
-14000	4
-13980	0
-13960	0
-13940	3
-13920	3
-13900	1
-13880	1
-13860	2
-13840	7
-13820	6
-13800	5
-13780	3
-13760	3
-13740	2
-13720	0
-13700	2
-13680	6
-13660	1
-13640	2
-13620	5
-13600	3
-13580	0
-13560	2
-13540	3
-13520	1
-13500	0
-13480	3
-13460	1
-13440	3
-13420	4
-13400	6
-13380	7
-13360	9
-13340	16
-13320	9
-13300	8
-13280	4
-13260	2
-13240	8
-13220	3
-13200	2
-13180	3
-13160	3
-13140	3
-13120	2
-13100	2
-13080	2
-13060	3
-13040	4
-13020	4
-13000	1
-12980	0
-12960	3
