"Time differences (ps)"	"Counts per bin"
-20000	7
-19980	1
-19960	3
-19940	3
-19920	6
-19900	4
-19880	6
-19860	2
-19840	2
-19820	5
-19800	2
-19780	0
-19760	2
-19740	2
-19720	2
-19700	7
-19680	2
-19660	1
-19640	4
-19620	7
-19600	0
-19580	2
-19560	1
-19540	3
-19520	1
-19500	4
-19480	3
-19460	2
-19440	0
-19420	2
-19400	2
-19380	1
-19360	0
-19340	3
-19320	4
-19300	1
-19280	2
-19260	1
-19240	0
-19220	2
-19200	3
-19180	3
-19160	7
-19140	3
-19120	2
-19100	1
-19080	2
-19060	3
-19040	2
-19020	4
-19000	3
-18980	3
-18960	3
-18940	8
-18920	0
-18900	2
-18880	1
-18860	3
-18840	2
-18820	5
-18800	3
-18780	3
-18760	7
-18740	3
-18720	1
-18700	2
-18680	2
-18660	1
-18640	4
-18620	3
-18600	3
-18580	2
-18560	3
-18540	2
-18520	2
-18500	2
-18480	2
-18460	2
-18440	0
-18420	1
-18400	2
-18380	3
-18360	3
-18340	2
-18320	1
-18300	4
-18280	2
-18260	2
-18240	3
-18220	1
-18200	3
-18180	2
-18160	1
-18140	5
-18120	0
-18100	1
-18080	6
-18060	1
-18040	1
-18020	2
-18000	3
-17980	4
-17960	3
-17940	2
-17920	4
-17900	3
-17880	3
-17860	0
-17840	1
-17820	1
-17800	4
-17780	1
-17760	2
-17740	3
-17720	3
-17700	0
-17680	1
-17660	3
-17640	1
-17620	2
-17600	4
-17580	1
-17560	2
-17540	3
-17520	2
-17500	0
-17480	3
-17460	3
-17440	4
-17420	1
-17400	3
-17380	4
-17360	5
-17340	4
-17320	4
-17300	4
-17280	2
-17260	4
-17240	2
-17220	4
-17200	4
-17180	4
-17160	5
-17140	3
-17120	1
-17100	1
-17080	4
-17060	5
-17040	4
-17020	4
-17000	2
-16980	2
-16960	2
-16940	5
-16920	3
-16900	0
-16880	1
-16860	1
-16840	2
-16820	0
-16800	6
-16780	4
-16760	1
-16740	3
-16720	1
-16700	1
-16680	3
-16660	2
-16640	2
-16620	0
-16600	1
-16580	3
-16560	2
-16540	0
-16520	6
-16500	10
-16480	5
-16460	2
-16440	4
-16420	3
-16400	0
-16380	1
-16360	2
-16340	2
-16320	1
-16300	2
-16280	3
-16260	3
-16240	2
-16220	2
-16200	5
-16180	2
-16160	0
-16140	3
-16120	2
-16100	0
-16080	5
-16060	5
-16040	0
-16020	2
-16000	1
-15980	2
-15960	4
-15940	1
-15920	3
-15900	4
-15880	1
-15860	0
-15840	3
-15820	1
-15800	3
-15780	4
-15760	1
-15740	3
-15720	3
-15700	2
-15680	3
-15660	0
-15640	2
-15620	1
-15600	4
-15580	2
-15560	2
-15540	3
-15520	1
-15500	4
-15480	2
-15460	3
-15440	2
-15420	2
-15400	2
-15380	4
-15360	2
-15340	1
-15320	2
-15300	3
-15280	3
-15260	2
-15240	2
-15220	4
-15200	1
-15180	2
-15160	1
-15140	3
-15120	2
-15100	3
-15080	1
-15060	0
-15040	2
-15020	0
-15000	1
-14980	5
-14960	1
-14940	1
-14920	4
-14900	1
-14880	2
-14860	1
-14840	5
-14820	1
-14800	4
-14780	3
-14760	1
-14740	2
-14720	3
-14700	3
-14680	2
-14660	2
-14640	1
-14620	2
-14600	2
-14580	3
-14560	6
-14540	3
-14520	0
-14500	3
-14480	1
-14460	1
-14440	3
-14420	0
-14400	3
-14380	1
-14360	6
-14340	1
-14320	3
-14300	0
-14280	1
-14260	0
-14240	3
-14220	0
-14200	0
-14180	0
-14160	1
-14140	3
-14120	3
-14100	1
-14080	3
-14060	2
-14040	4
-14020	4
-14000	2
-13980	0
-13960	4
-13940	3
-13920	4
-13900	1
-13880	1
-13860	3
-13840	6
-13820	12
-13800	12
-13780	3
-13760	2
-13740	1
-13720	3
-13700	2
-13680	1
-13660	1
-13640	1
-13620	5
-13600	1
-13580	2
-13560	2
-13540	0
-13520	1
-13500	1
-13480	4
-13460	1
-13440	2
-13420	1
-13400	3
-13380	6
-13360	8
-13340	10
-13320	10
-13300	3
-13280	11
-13260	2
-13240	1
-13220	3
-13200	1
-13180	4
-13160	3
-13140	3
-13120	3
-13100	4
-13080	3
-13060	0
-13040	0
-13020	4
-13000	0
-12980	4
-12960	0
-12940	1
-12920	2
-12900	5
-12880	3
-12860	1
-12840	2
-12820	2
-12800	5
-12780	4
-12760	4
-12740	8
-12720	5
-12700	13
-12680	7
-12660	11
-12640	10
-12620	6
-12600	8
-12580	34
-12560	176
-12540	712
-12520	2638
-12500	6851
-12480	7846
-12460	4737
-12440	2144
-12420	837
-12400	342
-12380	126
-12360	71
-12340	44
-12320	34
-12300	33
-12280	14
-12260	20
-12240	12
-12220	6
-12200	6
-12180	3
-12160	4
-12140	8
-12120	6
-12100	4
-12080	2
-12060	0
-12040	4
-12020	2
-12000	3
-11980	5
-11960	4
-11940	3
-11920	1
-11900	3
-11880	3
-11860	3
-11840	5
-11820	4
-11800	2
-11780	4
-11760	3
-11740	4
-11720	4
-11700	3
-11680	3
-11660	1
-11640	5
-11620	8
-11600	5
-11580	3
-11560	8
-11540	5
-11520	4
-11500	7
-11480	2
-11460	4
-11440	2
-11420	2
-11400	2
-11380	1
-11360	5
-11340	5
-11320	4
-11300	2
-11280	4
-11260	5
-11240	1
-11220	2
-11200	3
-11180	3
-11160	1
-11140	2
-11120	3
-11100	3
-11080	2
-11060	5
-11040	2
-11020	2
-11000	2
-10980	1
-10960	8
-10940	2
-10920	5
-10900	3
-10880	1
-10860	4
-10840	5
-10820	1
-10800	5
-10780	1
-10760	3
-10740	5
-10720	3
-10700	0
-10680	5
-10660	4
-10640	4
-10620	4
-10600	1
-10580	2
-10560	6
-10540	0
-10520	4
-10500	5
-10480	0
-10460	3
-10440	2
-10420	5
-10400	3
-10380	1
-10360	2
-10340	4
-10320	1
-10300	2
-10280	3
-10260	2
-10240	4
-10220	4
-10200	5
