"Time differences (ps)"	"Counts per bin"
-20000	6
-19980	4
-19960	0
-19940	1
-19920	2
-19900	3
-19880	0
-19860	2
-19840	3
-19820	4
-19800	2
-19780	4
-19760	2
-19740	2
-19720	2
-19700	2
-19680	2
-19660	1
-19640	5
-19620	2
-19600	4
-19580	2
-19560	0
-19540	2
-19520	7
-19500	5
-19480	6
-19460	2
-19440	2
-19420	1
-19400	1
-19380	2
-19360	1
-19340	2
-19320	5
-19300	2
-19280	3
-19260	3
-19240	1
-19220	5
-19200	3
-19180	6
-19160	3
-19140	1
-19120	2
-19100	4
-19080	2
-19060	1
-19040	1
-19020	3
-19000	4
-18980	4
-18960	3
-18940	4
-18920	3
-18900	3
-18880	4
-18860	3
-18840	1
-18820	2
-18800	6
-18780	4
-18760	2
-18740	2
-18720	1
-18700	3
-18680	1
-18660	1
-18640	3
-18620	0
-18600	6
-18580	2
-18560	2
-18540	1
-18520	2
-18500	0
-18480	2
-18460	2
-18440	2
-18420	3
-18400	1
-18380	1
-18360	3
-18340	2
-18320	1
-18300	4
-18280	6
-18260	6
-18240	2
-18220	1
-18200	2
-18180	0
-18160	1
-18140	4
-18120	1
-18100	4
-18080	0
-18060	1
-18040	1
-18020	1
-18000	4
-17980	2
-17960	1
-17940	2
-17920	1
-17900	1
-17880	2
-17860	3
-17840	4
-17820	6
-17800	1
-17780	1
-17760	0
-17740	1
-17720	2
-17700	4
-17680	0
-17660	2
-17640	3
-17620	3
-17600	2
-17580	2
-17560	1
-17540	2
-17520	6
-17500	4
-17480	3
-17460	4
-17440	1
-17420	5
-17400	3
-17380	5
-17360	7
-17340	2
-17320	3
-17300	7
-17280	2
-17260	2
-17240	1
-17220	2
-17200	4
-17180	4
-17160	1
-17140	1
-17120	3
-17100	1
-17080	2
-17060	0
-17040	2
-17020	1
-17000	3
-16980	1
-16960	1
-16940	2
-16920	2
-16900	5
-16880	2
-16860	2
-16840	3
-16820	2
-16800	1
-16780	1
-16760	1
-16740	3
-16720	0
-16700	4
-16680	2
-16660	0
-16640	2
-16620	3
-16600	1
-16580	2
-16560	2
-16540	3
-16520	4
-16500	9
-16480	5
-16460	2
-16440	3
-16420	2
-16400	1
-16380	4
-16360	3
-16340	4
-16320	1
-16300	1
-16280	4
-16260	4
-16240	1
-16220	0
-16200	1
-16180	2
-16160	4
-16140	3
-16120	3
-16100	1
-16080	2
-16060	1
-16040	3
-16020	0
-16000	3
-15980	3
-15960	3
-15940	2
-15920	6
-15900	3
-15880	6
-15860	2
-15840	1
-15820	3
-15800	2
-15780	2
-15760	3
-15740	2
-15720	1
-15700	2
-15680	0
-15660	4
-15640	2
-15620	4
-15600	4
-15580	1
-15560	1
-15540	2
-15520	2
-15500	4
-15480	3
-15460	2
-15440	3
-15420	4
-15400	3
-15380	0
-15360	1
-15340	3
-15320	2
-15300	0
-15280	0
-15260	2
-15240	1
-15220	2
-15200	2
-15180	4
-15160	1
-15140	4
-15120	3
-15100	5
-15080	2
-15060	1
-15040	2
-15020	2
-15000	2
-14980	3
-14960	4
-14940	2
-14920	3
-14900	2
-14880	3
-14860	0
-14840	2
-14820	2
-14800	1
-14780	2
-14760	1
-14740	3
-14720	2
-14700	1
-14680	5
-14660	2
-14640	1
-14620	3
-14600	1
-14580	2
-14560	2
-14540	4
-14520	2
-14500	0
-14480	3
-14460	2
-14440	3
-14420	2
-14400	1
-14380	2
-14360	0
-14340	2
-14320	0
-14300	4
-14280	1
-14260	1
-14240	0
-14220	2
-14200	2
-14180	1
-14160	2
-14140	2
-14120	3
-14100	2
-14080	1
-14060	0
-14040	3
