"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	1
-19960	2
-19940	0
-19920	5
-19900	0
-19880	1
-19860	0
-19840	3
-19820	2
-19800	2
-19780	4
-19760	0
-19740	2
-19720	4
-19700	0
-19680	3
-19660	1
-19640	0
-19620	1
-19600	0
-19580	0
-19560	0
-19540	1
-19520	3
-19500	2
-19480	1
-19460	3
-19440	0
-19420	2
-19400	0
-19380	1
-19360	2
-19340	0
-19320	1
-19300	1
-19280	1
-19260	0
-19240	2
-19220	1
-19200	1
-19180	0
-19160	3
-19140	1
-19120	2
-19100	0
-19080	0
-19060	1
-19040	1
-19020	2
-19000	2
-18980	3
-18960	2
-18940	2
-18920	2
-18900	0
-18880	0
-18860	1
-18840	0
-18820	3
-18800	1
-18780	2
-18760	2
-18740	0
-18720	1
-18700	2
-18680	0
-18660	1
-18640	0
-18620	0
-18600	0
-18580	0
-18560	2
-18540	2
-18520	0
-18500	1
-18480	1
-18460	1
-18440	2
-18420	2
-18400	0
-18380	1
-18360	1
-18340	2
-18320	3
-18300	1
-18280	2
-18260	0
-18240	1
-18220	2
-18200	2
-18180	2
-18160	0
-18140	2
-18120	1
-18100	3
-18080	0
-18060	1
-18040	3
-18020	1
-18000	1
-17980	2
-17960	3
-17940	3
-17920	0
-17900	2
-17880	6
-17860	2
-17840	0
-17820	2
-17800	1
-17780	3
-17760	1
-17740	3
-17720	1
-17700	2
-17680	2
-17660	0
-17640	1
-17620	2
-17600	1
-17580	2
-17560	1
-17540	0
-17520	2
-17500	1
-17480	2
-17460	1
-17440	1
-17420	1
-17400	3
-17380	1
-17360	4
-17340	1
-17320	1
-17300	0
-17280	1
-17260	3
-17240	1
-17220	2
-17200	1
-17180	1
-17160	2
-17140	2
-17120	2
-17100	1
-17080	2
-17060	1
-17040	3
-17020	0
-17000	0
-16980	1
-16960	4
-16940	0
-16920	1
-16900	2
-16880	3
-16860	0
-16840	3
-16820	3
-16800	5
-16780	1
-16760	6
-16740	2
-16720	0
-16700	2
-16680	2
-16660	2
-16640	8
-16620	2
-16600	0
-16580	2
-16560	2
-16540	1
-16520	4
-16500	2
-16480	3
-16460	3
-16440	0
