"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	0
-19960	2
-19940	2
-19920	2
-19900	3
-19880	0
-19860	0
-19840	2
-19820	0
-19800	0
-19780	1
-19760	2
-19740	2
-19720	2
-19700	1
-19680	3
-19660	2
-19640	3
-19620	1
-19600	2
-19580	3
-19560	0
-19540	1
-19520	2
-19500	1
-19480	2
-19460	1
-19440	2
-19420	3
-19400	0
-19380	2
-19360	3
-19340	2
-19320	1
-19300	2
-19280	2
-19260	1
-19240	2
-19220	1
-19200	2
-19180	3
-19160	1
-19140	1
-19120	3
-19100	0
-19080	1
-19060	2
-19040	0
-19020	2
-19000	1
-18980	1
-18960	0
-18940	0
-18920	1
-18900	1
-18880	2
-18860	1
-18840	2
-18820	0
-18800	0
-18780	4
-18760	1
-18740	2
-18720	2
-18700	1
-18680	3
-18660	1
-18640	1
-18620	3
-18600	3
-18580	1
-18560	1
-18540	1
-18520	2
-18500	0
-18480	1
-18460	2
-18440	2
-18420	0
-18400	3
-18380	2
-18360	2
-18340	2
-18320	2
-18300	2
-18280	2
-18260	0
-18240	5
-18220	1
-18200	0
-18180	0
-18160	2
-18140	0
-18120	2
-18100	3
-18080	3
-18060	2
-18040	3
-18020	2
-18000	1
-17980	0
-17960	2
-17940	1
-17920	2
-17900	0
-17880	3
-17860	0
-17840	2
-17820	1
-17800	0
-17780	1
-17760	1
-17740	1
-17720	2
-17700	2
-17680	2
-17660	2
-17640	2
-17620	0
-17600	0
-17580	3
-17560	4
-17540	0
-17520	1
-17500	1
-17480	0
-17460	1
-17440	1
-17420	0
-17400	3
-17380	1
-17360	2
-17340	2
-17320	2
-17300	2
-17280	0
-17260	2
-17240	1
-17220	4
-17200	2
-17180	1
-17160	4
-17140	0
-17120	3
-17100	1
-17080	1
-17060	1
-17040	1
-17020	1
-17000	3
-16980	2
-16960	1
-16940	2
-16920	2
-16900	2
-16880	1
-16860	2
-16840	0
-16820	2
-16800	1
-16780	1
-16760	1
-16740	1
-16720	2
-16700	3
-16680	1
-16660	2
-16640	2
-16620	1
-16600	1
-16580	0
-16560	3
-16540	0
-16520	6
-16500	5
-16480	4
-16460	3
-16440	2
-16420	0
-16400	1
-16380	3
-16360	3
-16340	2
-16320	2
-16300	1
-16280	3
-16260	3
-16240	2
-16220	3
-16200	1
-16180	1
-16160	1
-16140	1
-16120	2
-16100	0
-16080	2
-16060	0
-16040	1
-16020	1
-16000	4
-15980	3
-15960	2
-15940	0
-15920	3
-15900	3
-15880	4
-15860	3
-15840	3
-15820	2
-15800	2
-15780	4
-15760	3
-15740	10
-15720	14
-15700	16
-15680	37
-15660	11
-15640	9
-15620	4
-15600	4
-15580	1
-15560	3
-15540	5
-15520	3
-15500	4
-15480	3
-15460	4
-15440	1
-15420	2
-15400	0
-15380	1
-15360	0
-15340	1
-15320	1
-15300	5
-15280	0
-15260	1
-15240	4
-15220	2
-15200	2
-15180	3
-15160	2
-15140	3
-15120	1
-15100	3
-15080	2
-15060	4
-15040	1
-15020	1
-15000	3
-14980	0
-14960	1
-14940	4
-14920	1
-14900	3
-14880	5
-14860	2
-14840	2
-14820	4
-14800	2
-14780	4
-14760	1
-14740	1
-14720	2
-14700	1
-14680	3
-14660	2
-14640	2
-14620	0
-14600	1
-14580	3
-14560	3
-14540	2
-14520	1
-14500	5
-14480	3
-14460	2
-14440	1
-14420	3
-14400	2
-14380	1
-14360	1
-14340	5
-14320	1
-14300	4
-14280	4
-14260	2
-14240	4
-14220	4
-14200	1
-14180	1
-14160	0
-14140	3
-14120	6
-14100	1
-14080	0
-14060	1
-14040	1
-14020	1
-14000	0
-13980	1
-13960	3
-13940	4
-13920	0
-13900	5
-13880	2
-13860	1
-13840	4
-13820	3
-13800	0
-13780	2
-13760	3
-13740	0
-13720	5
-13700	6
-13680	2
-13660	1
-13640	3
-13620	2
-13600	3
-13580	1
-13560	3
-13540	1
-13520	0
-13500	3
-13480	3
-13460	1
-13440	4
-13420	3
-13400	3
-13380	1
-13360	3
-13340	6
-13320	3
-13300	1
-13280	2
-13260	1
-13240	0
-13220	2
-13200	2
-13180	2
-13160	5
-13140	2
-13120	0
-13100	2
-13080	3
-13060	1
-13040	2
-13020	2
-13000	2
-12980	1
-12960	4
-12940	3
-12920	4
-12900	6
-12880	3
-12860	4
-12840	1
-12820	2
-12800	1
-12780	6
-12760	7
-12740	0
-12720	12
-12700	10
-12680	10
-12660	17
-12640	36
-12620	69
-12600	162
-12580	380
-12560	931
-12540	2327
-12520	4997
-12500	7646
-12480	5514
-12460	1630
-12440	366
-12420	57
-12400	14
-12380	6
-12360	14
-12340	21
-12320	19
-12300	11
-12280	2
-12260	2
-12240	1
-12220	2
-12200	2
-12180	0
-12160	2
-12140	2
-12120	2
-12100	2
-12080	1
-12060	0
-12040	2
-12020	0
-12000	0
-11980	1
-11960	2
-11940	1
-11920	0
-11900	1
-11880	0
-11860	1
-11840	3
-11820	1
-11800	0
-11780	3
-11760	0
-11740	3
-11720	7
-11700	7
-11680	11
-11660	8
-11640	6
-11620	13
-11600	3
-11580	2
-11560	1
-11540	1
-11520	1
-11500	1
-11480	0
-11460	2
-11440	2
-11420	3
-11400	3
-11380	2
-11360	0
-11340	0
-11320	0
-11300	1
-11280	1
-11260	0
-11240	1
-11220	1
-11200	0
-11180	2
-11160	3
-11140	2
-11120	3
-11100	6
-11080	8
-11060	5
-11040	1
-11020	2
-11000	3
-10980	0
-10960	2
-10940	4
-10920	0
-10900	2
-10880	1
-10860	0
-10840	0
-10820	0
-10800	1
-10780	1
-10760	1
-10740	2
-10720	1
-10700	0
-10680	0
-10660	0
-10640	2
-10620	4
-10600	1
-10580	2
-10560	0
-10540	0
-10520	1
-10500	0
-10480	1
-10460	0
-10440	1
-10420	1
-10400	1
-10380	0
-10360	0
-10340	1
-10320	2
-10300	1
-10280	0
-10260	1
-10240	1
-10220	1
-10200	2
-10180	2
-10160	1
-10140	2
-10120	1
-10100	1
-10080	0
-10060	1
-10040	1
-10020	1
-10000	0
-9980	1
-9960	0
-9940	3
-9920	0
-9900	0
-9880	1
-9860	0
-9840	0
-9820	0
-9800	0
-9780	2
-9760	0
-9740	1
-9720	1
-9700	1
-9680	4
-9660	2
-9640	0
-9620	0
-9600	1
-9580	0
-9560	0
-9540	0
-9520	0
-9500	1
-9480	2
-9460	0
-9440	0
-9420	0
-9400	0
-9380	1
-9360	0
-9340	2
-9320	0
-9300	1
-9280	0
-9260	2
-9240	1
-9220	2
-9200	3
-9180	0
-9160	2
-9140	0
-9120	2
-9100	2
-9080	3
-9060	2
-9040	2
-9020	2
-9000	0
-8980	4
-8960	0
-8940	1
-8920	1
-8900	3
-8880	2
-8860	2
-8840	1
-8820	0
-8800	1
-8780	2
-8760	1
-8740	1
-8720	2
-8700	1
-8680	2
-8660	0
-8640	5
-8620	1
-8600	1
-8580	1
-8560	2
-8540	2
-8520	4
-8500	2
-8480	7
-8460	2
-8440	1
-8420	0
-8400	0
-8380	3
-8360	2
-8340	0
-8320	1
-8300	2
-8280	1
-8260	3
-8240	1
-8220	0
-8200	2
-8180	1
-8160	0
-8140	2
-8120	2
-8100	1
-8080	1
-8060	0
-8040	0
-8020	1
-8000	1
-7980	1
-7960	1
-7940	1
-7920	0
-7900	0
-7880	0
-7860	0
-7840	4
-7820	2
-7800	2
-7780	1
-7760	4
-7740	0
-7720	0
-7700	1
-7680	2
-7660	0
-7640	5
-7620	4
-7600	2
-7580	1
-7560	2
-7540	0
-7520	0
-7500	2
-7480	1
-7460	1
-7440	3
-7420	2
-7400	4
-7380	3
-7360	0
-7340	0
-7320	1
-7300	3
-7280	1
-7260	1
-7240	3
-7220	1
-7200	3
-7180	0
-7160	1
-7140	1
-7120	1
-7100	1
-7080	1
-7060	2
-7040	0
-7020	2
-7000	2
-6980	2
-6960	2
-6940	1
-6920	1
-6900	4
-6880	2
-6860	0
-6840	0
-6820	0
-6800	0
-6780	2
-6760	0
-6740	1
-6720	1
-6700	0
-6680	0
-6660	5
-6640	0
-6620	1
-6600	0
-6580	3
-6560	1
-6540	0
-6520	0
-6500	1
-6480	1
-6460	3
-6440	2
-6420	1
-6400	3
-6380	1
-6360	0
-6340	3
-6320	1
-6300	2
-6280	4
-6260	1
-6240	0
-6220	2
-6200	1
-6180	4
-6160	2
-6140	1
-6120	0
-6100	0
-6080	1
-6060	1
-6040	2
-6020	1
-6000	1
-5980	2
-5960	2
-5940	1
-5920	0
-5900	0
-5880	3
-5860	1
-5840	1
-5820	1
-5800	0
-5780	2
-5760	0
-5740	0
-5720	0
-5700	2
-5680	2
-5660	1
-5640	2
-5620	2
-5600	2
-5580	0
-5560	2
-5540	0
-5520	0
-5500	2
-5480	1
-5460	0
-5440	0
-5420	3
-5400	1
-5380	2
-5360	1
-5340	1
-5320	0
-5300	0
-5280	3
-5260	1
-5240	1
-5220	1
-5200	0
-5180	1
-5160	1
-5140	1
-5120	0
-5100	1
-5080	1
-5060	4
-5040	0
-5020	1
-5000	2
-4980	2
-4960	1
-4940	0
-4920	1
-4900	2
-4880	1
-4860	2
-4840	1
-4820	3
-4800	2
-4780	1
-4760	1
-4740	1
-4720	0
-4700	0
-4680	1
-4660	2
-4640	3
-4620	3
-4600	0
-4580	1
-4560	0
-4540	4
-4520	1
-4500	1
-4480	4
-4460	1
-4440	2
-4420	3
-4400	0
-4380	1
-4360	2
-4340	0
-4320	0
-4300	4
-4280	1
-4260	0
-4240	2
-4220	1
-4200	1
-4180	2
-4160	3
-4140	2
-4120	0
-4100	0
-4080	5
-4060	2
-4040	5
-4020	6
-4000	4
-3980	1
-3960	1
-3940	4
-3920	3
-3900	2
-3880	2
-3860	0
-3840	1
-3820	2
-3800	0
-3780	3
-3760	1
-3740	0
-3720	0
-3700	1
-3680	2
-3660	0
-3640	2
-3620	3
-3600	3
-3580	0
-3560	2
-3540	2
-3520	1
-3500	1
-3480	3
-3460	2
-3440	3
-3420	1
-3400	1
-3380	4
-3360	2
-3340	1
-3320	1
-3300	4
-3280	4
-3260	12
-3240	15
-3220	29
-3200	21
-3180	14
-3160	3
-3140	6
-3120	2
-3100	3
-3080	1
-3060	2
-3040	0
-3020	1
-3000	0
-2980	3
-2960	2
-2940	0
-2920	4
-2900	0
-2880	2
-2860	0
-2840	5
-2820	0
-2800	2
-2780	2
-2760	3
-2740	4
-2720	0
-2700	1
-2680	3
-2660	0
-2640	3
-2620	1
-2600	0
-2580	2
-2560	0
-2540	1
-2520	0
-2500	0
-2480	1
-2460	2
-2440	0
-2420	1
-2400	0
-2380	0
-2360	4
-2340	1
-2320	3
-2300	3
-2280	3
-2260	2
-2240	3
-2220	0
-2200	4
-2180	0
-2160	2
-2140	5
-2120	2
-2100	3
-2080	1
-2060	3
-2040	1
-2020	1
-2000	2
-1980	0
-1960	3
-1940	3
-1920	1
-1900	2
-1880	1
-1860	2
-1840	1
-1820	4
-1800	4
-1780	2
-1760	3
-1740	3
-1720	1
-1700	0
-1680	0
-1660	0
-1640	2
-1620	2
-1600	1
-1580	0
-1560	2
-1540	0
-1520	4
-1500	1
-1480	1
-1460	1
-1440	2
-1420	0
-1400	1
-1380	0
-1360	2
-1340	3
-1320	2
-1300	1
-1280	1
-1260	1
-1240	5
-1220	2
-1200	4
-1180	2
-1160	1
-1140	0
-1120	4
-1100	0
-1080	4
-1060	3
-1040	3
-1020	5
-1000	1
-980	4
-960	1
-940	4
-920	4
-900	2
-880	3
-860	3
-840	1
-820	2
-800	4
-780	1
-760	0
-740	4
-720	4
-700	2
-680	1
-660	4
-640	1
-620	3
-600	2
-580	3
-560	0
-540	1
-520	2
-500	1
-480	1
-460	1
-440	2
-420	1
-400	1
-380	0
-360	3
-340	3
-320	1
-300	3
-280	3
-260	2
-240	8
-220	8
-200	8
-180	20
-160	29
-140	68
-120	161
-100	364
-80	918
-60	2553
-40	6513
-20	13125
0	10701
20	1788
40	158
60	23
80	6
100	5
120	7
140	19
160	12
180	22
200	9
220	6
240	3
260	2
280	2
300	1
320	2
340	3
360	3
380	5
400	1
420	1
440	1
460	5
480	0
500	5
520	4
540	6
560	6
580	3
600	2
620	4
640	3
660	3
680	8
700	4
720	1
740	4
760	2
780	4
800	3
820	5
840	11
860	8
880	8
900	5
920	3
940	1
960	5
980	5
1000	3
1020	4
1040	5
1060	2
1080	2
1100	5
1120	2
1140	0
1160	6
1180	3
1200	4
1220	1
1240	2
1260	2
1280	4
1300	2
1320	4
1340	4
1360	2
1380	5
1400	5
1420	7
1440	6
1460	6
1480	4
1500	3
1520	5
1540	3
1560	5
1580	5
1600	2
1620	3
1640	0
1660	2
1680	5
1700	2
1720	1
1740	0
1760	2
1780	2
1800	3
1820	4
1840	3
1860	8
1880	4
1900	4
1920	2
1940	0
1960	4
1980	4
2000	3
2020	3
2040	3
2060	3
2080	3
2100	5
2120	2
2140	8
2160	8
2180	6
2200	4
2220	4
2240	7
2260	1
2280	1
2300	4
2320	8
2340	7
2360	3
2380	6
2400	5
2420	3
2440	2
2460	5
2480	6
2500	4
2520	4
2540	2
2560	5
2580	3
2600	2
2620	6
2640	5
2660	5
2680	3
2700	6
2720	4
2740	1
2760	6
2780	2
2800	2
2820	4
2840	2
2860	1
2880	3
2900	7
2920	4
2940	1
2960	3
2980	2
3000	1
3020	3
3040	4
3060	3
3080	2
3100	2
3120	3
3140	4
3160	2
3180	4
3200	5
3220	2
3240	2
3260	4
3280	5
3300	2
3320	3
3340	5
3360	4
3380	3
3400	8
3420	3
3440	6
3460	4
3480	4
3500	2
3520	2
3540	3
3560	2
3580	1
3600	5
3620	8
3640	4
3660	7
3680	1
3700	5
3720	0
3740	3
3760	1
3780	3
3800	1
3820	3
3840	3
3860	1
3880	3
3900	3
3920	1
3940	2
3960	2
3980	3
4000	7
4020	1
4040	8
4060	2
4080	3
4100	1
4120	4
4140	4
4160	5
4180	3
4200	3
4220	1
4240	5
4260	6
4280	3
4300	5
4320	2
4340	4
4360	4
4380	4
4400	3
4420	7
4440	7
4460	6
4480	4
4500	3
4520	2
4540	6
4560	6
4580	2
4600	1
4620	4
4640	6
4660	1
4680	1
4700	4
4720	5
4740	2
4760	3
4780	4
4800	8
4820	5
4840	7
4860	5
4880	5
4900	4
4920	2
4940	5
4960	2
4980	5
5000	5
5020	3
5040	5
5060	5
5080	7
5100	3
5120	8
5140	6
5160	2
5180	2
5200	0
5220	6
5240	2
5260	6
5280	5
5300	6
5320	4
5340	4
5360	5
5380	5
5400	1
5420	2
5440	6
5460	1
5480	4
5500	5
5520	5
5540	6
5560	3
5580	1
5600	2
5620	8
5640	3
5660	4
5680	0
5700	3
5720	3
5740	2
5760	3
5780	1
5800	3
5820	5
5840	6
5860	1
5880	4
5900	0
5920	5
5940	2
5960	8
5980	4
6000	2
6020	2
6040	2
6060	4
6080	2
6100	6
6120	2
6140	3
6160	4
6180	2
6200	8
6220	3
6240	2
6260	1
6280	7
6300	3
6320	1
6340	7
6360	5
6380	3
6400	3
6420	3
6440	1
6460	3
6480	6
6500	5
6520	2
6540	4
6560	4
6580	5
6600	3
6620	4
6640	2
6660	6
6680	7
6700	6
6720	5
6740	3
6760	5
6780	2
6800	3
6820	1
6840	2
6860	5
6880	6
6900	3
6920	4
6940	8
6960	6
6980	6
7000	3
7020	4
7040	4
7060	3
7080	5
7100	0
7120	4
7140	6
7160	5
7180	7
7200	6
7220	4
7240	6
7260	5
7280	5
7300	2
7320	4
7340	5
7360	4
7380	4
7400	4
7420	3
7440	3
7460	9
7480	2
7500	4
7520	2
7540	4
7560	2
7580	5
7600	4
7620	4
7640	8
7660	3
7680	1
7700	4
7720	1
7740	4
7760	4
7780	2
7800	6
7820	3
7840	4
7860	2
7880	2
7900	6
7920	7
7940	4
7960	4
7980	3
8000	5
8020	4
8040	2
8060	5
8080	7
8100	4
8120	5
8140	2
8160	4
8180	2
8200	5
8220	3
8240	1
8260	4
8280	6
8300	3
8320	1
8340	5
8360	3
8380	4
8400	2
8420	5
8440	6
8460	5
8480	6
8500	7
8520	0
8540	7
8560	2
8580	4
8600	1
8620	3
8640	2
8660	7
8680	5
8700	3
8720	4
8740	2
8760	7
8780	2
8800	3
8820	7
8840	7
8860	4
8880	7
8900	4
8920	3
8940	3
8960	6
8980	3
9000	4
9020	2
9040	5
9060	2
9080	7
9100	4
9120	8
9140	5
9160	7
9180	6
9200	9
9220	7
9240	13
9260	23
9280	26
9300	20
9320	19
9340	1
9360	5
9380	4
9400	7
9420	3
9440	4
9460	3
9480	4
9500	5
9520	4
9540	1
9560	5
9580	6
9600	4
9620	3
9640	6
9660	4
9680	8
9700	7
9720	2
9740	6
9760	7
9780	0
9800	1
9820	3
9840	3
9860	3
9880	5
9900	3
9920	3
9940	3
9960	5
9980	6
10000	6
10020	5
10040	2
10060	6
10080	4
10100	6
10120	3
10140	5
10160	4
10180	3
10200	2
10220	3
10240	4
10260	6
10280	0
10300	7
10320	2
10340	5
10360	8
10380	2
10400	1
10420	4
10440	5
10460	1
10480	4
10500	2
10520	4
10540	6
10560	3
10580	4
10600	5
10620	4
10640	5
10660	5
10680	6
10700	3
10720	5
10740	5
10760	3
10780	3
10800	8
10820	2
10840	4
10860	9
10880	1
10900	4
10920	1
10940	5
10960	6
10980	4
11000	4
11020	6
11040	5
11060	5
11080	7
11100	2
11120	5
11140	3
11160	4
11180	5
11200	5
11220	5
11240	2
11260	6
11280	3
11300	6
11320	12
11340	2
11360	6
11380	10
11400	5
11420	2
11440	4
11460	5
11480	7
11500	3
11520	2
11540	4
11560	2
11580	4
11600	5
11620	6
11640	4
11660	4
11680	4
11700	4
11720	3
11740	9
11760	3
11780	6
11800	4
11820	6
11840	4
11860	3
11880	2
11900	4
11920	3
11940	7
11960	2
11980	4
12000	5
12020	4
12040	4
12060	3
12080	5
12100	5
12120	5
12140	4
12160	6
12180	11
12200	4
