"Time differences (ps)"	"Counts per bin"
-20000	0
-19980	2
-19960	1
-19940	2
-19920	3
-19900	2
-19880	4
-19860	2
-19840	0
-19820	2
-19800	2
-19780	2
-19760	2
-19740	0
-19720	2
-19700	2
-19680	4
-19660	2
-19640	0
-19620	3
-19600	3
-19580	0
-19560	2
-19540	3
-19520	1
-19500	1
-19480	3
-19460	2
-19440	1
-19420	5
-19400	0
-19380	1
-19360	2
-19340	2
-19320	2
-19300	2
-19280	4
-19260	3
-19240	1
-19220	1
-19200	1
-19180	2
-19160	0
-19140	0
-19120	0
-19100	1
-19080	3
-19060	0
-19040	3
-19020	2
-19000	0
-18980	1
-18960	1
-18940	1
-18920	4
-18900	1
-18880	1
-18860	1
-18840	1
-18820	1
-18800	3
-18780	3
-18760	3
-18740	0
-18720	3
-18700	0
-18680	5
-18660	1
-18640	4
-18620	2
-18600	1
-18580	2
-18560	0
-18540	3
-18520	6
-18500	3
-18480	2
-18460	4
-18440	2
-18420	6
-18400	1
-18380	0
-18360	0
-18340	1
-18320	2
-18300	2
-18280	0
-18260	4
-18240	1
-18220	2
-18200	3
-18180	1
-18160	1
-18140	0
-18120	3
-18100	1
-18080	2
-18060	2
-18040	3
-18020	2
-18000	0
-17980	4
-17960	1
-17940	2
-17920	2
-17900	1
-17880	1
-17860	2
-17840	1
-17820	0
-17800	1
-17780	3
-17760	1
-17740	4
-17720	1
-17700	2
-17680	2
-17660	1
-17640	3
-17620	0
-17600	1
-17580	2
-17560	0
-17540	2
-17520	3
-17500	2
-17480	1
-17460	1
-17440	2
-17420	4
-17400	1
-17380	0
-17360	5
-17340	2
-17320	1
-17300	1
-17280	1
-17260	2
-17240	3
-17220	2
-17200	1
-17180	3
-17160	2
-17140	2
-17120	0
-17100	4
-17080	1
-17060	2
-17040	0
-17020	3
-17000	2
-16980	1
-16960	3
-16940	3
-16920	0
-16900	3
-16880	1
-16860	4
-16840	2
-16820	3
-16800	0
-16780	1
-16760	2
-16740	0
-16720	3
-16700	2
-16680	1
-16660	3
-16640	4
-16620	2
-16600	1
-16580	1
-16560	3
-16540	4
-16520	2
-16500	2
-16480	3
-16460	1
-16440	6
-16420	2
-16400	1
-16380	2
-16360	1
-16340	4
-16320	2
-16300	2
-16280	1
-16260	4
-16240	2
-16220	0
-16200	2
-16180	0
-16160	1
-16140	5
-16120	1
-16100	3
-16080	3
-16060	4
-16040	0
-16020	4
-16000	0
-15980	4
-15960	1
-15940	2
-15920	3
-15900	2
-15880	2
-15860	1
-15840	1
-15820	1
-15800	2
-15780	4
-15760	6
-15740	11
-15720	22
-15700	21
-15680	25
-15660	11
-15640	4
-15620	3
-15600	1
-15580	2
-15560	1
-15540	3
-15520	0
-15500	1
-15480	0
-15460	5
-15440	0
-15420	3
-15400	3
-15380	1
-15360	5
-15340	2
-15320	2
-15300	1
-15280	3
-15260	0
-15240	4
-15220	2
-15200	1
-15180	2
-15160	2
-15140	3
-15120	2
-15100	2
-15080	0
-15060	1
-15040	1
-15020	2
-15000	2
-14980	2
-14960	2
-14940	3
-14920	3
-14900	1
-14880	3
-14860	0
-14840	0
-14820	3
-14800	2
-14780	3
-14760	2
-14740	1
-14720	2
-14700	2
-14680	1
-14660	1
-14640	1
-14620	2
-14600	2
-14580	2
-14560	2
-14540	2
-14520	1
-14500	2
-14480	3
-14460	2
-14440	2
-14420	3
-14400	4
-14380	4
-14360	5
-14340	2
-14320	3
-14300	1
-14280	5
-14260	1
-14240	3
-14220	4
-14200	1
-14180	2
-14160	3
-14140	2
-14120	3
-14100	1
-14080	3
-14060	3
-14040	1
-14020	1
-14000	2
-13980	3
-13960	4
-13940	5
-13920	1
-13900	1
-13880	4
-13860	3
-13840	0
-13820	4
-13800	5
-13780	3
-13760	0
-13740	3
-13720	1
-13700	1
-13680	4
-13660	3
-13640	0
-13620	5
-13600	2
-13580	1
-13560	1
-13540	3
-13520	6
-13500	0
-13480	3
-13460	4
-13440	6
-13420	2
-13400	2
-13380	6
-13360	2
-13340	1
-13320	0
-13300	1
-13280	3
-13260	2
-13240	4
-13220	3
-13200	2
-13180	2
-13160	1
-13140	1
-13120	3
-13100	0
-13080	3
-13060	2
-13040	3
-13020	2
-13000	6
-12980	1
-12960	1
-12940	3
-12920	3
-12900	2
-12880	5
-12860	1
-12840	1
-12820	9
-12800	2
-12780	5
-12760	2
-12740	7
-12720	10
-12700	9
-12680	12
-12660	14
-12640	30
-12620	63
-12600	104
-12580	295
-12560	732
-12540	2147
-12520	5099
-12500	8327
-12480	6160
-12460	1836
-12440	421
-12420	71
-12400	20
-12380	16
-12360	13
-12340	19
-12320	16
-12300	14
-12280	4
-12260	1
-12240	1
-12220	2
-12200	3
-12180	0
-12160	3
-12140	3
-12120	0
-12100	0
-12080	3
-12060	3
-12040	2
-12020	0
-12000	1
-11980	2
-11960	4
-11940	0
-11920	2
-11900	2
-11880	1
-11860	5
-11840	0
-11820	0
-11800	1
-11780	1
-11760	0
-11740	4
-11720	5
-11700	10
-11680	15
-11660	10
-11640	24
-11620	16
-11600	4
-11580	3
-11560	2
-11540	0
-11520	1
-11500	1
-11480	0
-11460	0
-11440	1
-11420	0
-11400	1
-11380	1
-11360	3
-11340	1
-11320	2
-11300	1
-11280	2
