"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	0
-19960	0
-19940	1
-19920	2
-19900	2
-19880	8
-19860	6
-19840	3
-19820	5
-19800	2
-19780	1
-19760	0
-19740	0
-19720	2
-19700	1
-19680	1
-19660	0
-19640	3
-19620	2
-19600	2
-19580	2
-19560	3
-19540	4
-19520	4
-19500	1
-19480	2
-19460	0
-19440	3
-19420	1
-19400	0
-19380	2
-19360	0
-19340	3
-19320	0
-19300	1
-19280	1
-19260	1
-19240	2
-19220	1
-19200	2
-19180	1
-19160	3
-19140	0
-19120	2
-19100	0
-19080	0
-19060	3
-19040	1
-19020	0
-19000	2
-18980	3
-18960	2
-18940	0
-18920	1
-18900	0
-18880	3
-18860	1
-18840	1
-18820	1
-18800	2
-18780	1
-18760	5
-18740	2
-18720	2
-18700	2
-18680	1
-18660	1
-18640	1
-18620	1
-18600	1
-18580	1
-18560	0
-18540	1
-18520	1
-18500	2
-18480	0
-18460	3
-18440	2
-18420	1
-18400	2
-18380	1
-18360	2
-18340	3
-18320	2
-18300	1
-18280	3
-18260	1
-18240	1
-18220	2
-18200	4
-18180	1
-18160	3
-18140	1
-18120	3
-18100	0
-18080	1
-18060	1
-18040	2
-18020	2
-18000	3
-17980	1
-17960	2
-17940	1
-17920	1
-17900	3
-17880	2
-17860	3
-17840	2
-17820	2
-17800	1
-17780	1
-17760	2
-17740	0
-17720	4
-17700	0
-17680	2
-17660	5
-17640	2
-17620	2
-17600	0
-17580	1
-17560	1
-17540	5
-17520	2
-17500	3
-17480	2
-17460	1
-17440	0
-17420	2
-17400	2
-17380	2
-17360	0
-17340	3
-17320	1
-17300	2
-17280	1
-17260	1
-17240	0
-17220	0
-17200	4
-17180	2
-17160	4
-17140	5
-17120	3
-17100	3
-17080	1
-17060	4
-17040	2
-17020	1
-17000	3
-16980	2
-16960	0
-16940	2
-16920	2
-16900	3
-16880	1
-16860	2
-16840	3
-16820	3
-16800	0
-16780	0
-16760	2
-16740	1
-16720	3
-16700	0
-16680	0
-16660	3
-16640	3
-16620	4
-16600	1
-16580	5
-16560	1
-16540	5
-16520	7
-16500	4
-16480	2
-16460	1
-16440	4
-16420	2
-16400	0
-16380	1
-16360	3
-16340	4
-16320	3
-16300	1
-16280	2
-16260	0
-16240	1
-16220	4
-16200	0
-16180	1
-16160	0
-16140	2
-16120	1
-16100	0
-16080	2
-16060	4
-16040	0
-16020	1
-16000	1
-15980	3
-15960	3
-15940	1
-15920	3
-15900	0
-15880	2
-15860	3
-15840	1
-15820	4
-15800	3
-15780	1
-15760	6
-15740	11
-15720	19
-15700	26
-15680	29
-15660	13
-15640	1
-15620	3
-15600	2
-15580	1
-15560	2
-15540	2
-15520	2
-15500	3
-15480	1
-15460	3
-15440	4
-15420	2
-15400	1
-15380	1
-15360	0
-15340	1
-15320	4
-15300	2
-15280	1
-15260	3
-15240	2
-15220	1
-15200	1
-15180	3
-15160	2
-15140	1
-15120	1
-15100	1
-15080	1
-15060	1
-15040	2
-15020	2
-15000	0
-14980	6
-14960	3
-14940	2
-14920	0
-14900	4
-14880	2
-14860	4
-14840	6
-14820	2
-14800	2
-14780	2
-14760	3
-14740	3
-14720	2
-14700	2
-14680	3
-14660	0
-14640	1
-14620	3
-14600	2
-14580	2
-14560	0
-14540	6
-14520	1
-14500	0
-14480	1
-14460	4
-14440	2
-14420	2
-14400	1
-14380	3
-14360	1
-14340	2
-14320	0
-14300	2
-14280	2
-14260	0
-14240	2
-14220	1
-14200	2
-14180	3
-14160	3
-14140	3
-14120	2
-14100	4
-14080	2
-14060	6
-14040	0
-14020	0
-14000	4
-13980	3
-13960	4
-13940	0
-13920	3
-13900	0
-13880	1
-13860	2
-13840	5
-13820	2
-13800	0
-13780	3
-13760	3
-13740	2
-13720	1
-13700	3
-13680	2
-13660	5
-13640	1
-13620	1
-13600	0
-13580	1
-13560	4
-13540	6
-13520	1
-13500	4
-13480	2
-13460	5
-13440	1
-13420	2
-13400	2
-13380	4
-13360	3
-13340	1
-13320	1
