"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	0
-1960	0
-1940	0
-1920	1
-1900	0
-1880	0
-1860	0
-1840	0
-1820	0
-1800	2
-1780	0
-1760	0
-1740	0
-1720	0
-1700	0
-1680	0
-1660	0
-1640	0
-1620	0
-1600	1
-1580	0
-1560	2
-1540	0
-1520	0
-1500	0
-1480	0
-1460	0
-1440	2
-1420	3
-1400	25
-1380	70
-1360	192
-1340	139
-1320	46
-1300	17
-1280	1
-1260	0
-1240	0
-1220	0
-1200	1
-1180	0
-1160	2
-1140	0
-1120	0
-1100	0
-1080	2
-1060	9
-1040	14
-1020	8
-1000	4
-980	2
-960	0
-940	0
-920	1
-900	0
-880	0
-860	0
-840	0
-820	1
-800	0
-780	0
-760	1
-740	1
-720	0
-700	0
-680	0
-660	0
-640	0
-620	0
-600	0
-580	2
-560	3
-540	3
-520	0
-500	0
-480	2
-460	0
-440	1
-420	0
-400	0
-380	0
-360	1
-340	1
-320	7
-300	7
-280	20
-260	44
-240	52
-220	92
-200	105
-180	124
-160	119
-140	81
-120	119
-100	348
-80	944
-60	3036
-40	14209
-20	43483
0	42661
20	16241
40	4507
60	1168
80	288
100	65
120	38
140	74
160	109
180	73
200	26
220	3
240	3
260	1
280	0
300	0
320	0
340	0
360	0
380	0
400	0
420	1
440	0
460	0
480	0
500	0
520	1
540	0
560	1
580	0
600	0
620	0
640	0
660	0
680	0
700	1
720	0
740	1
760	0
780	0
800	0
820	0
840	0
860	0
880	0
900	0
920	0
940	0
960	0
980	0
1000	2
1020	14
1040	13
1060	4
1080	1
1100	2
1120	0
1140	0
1160	0
1180	0
1200	0
1220	0
1240	0
1260	0
1280	1
1300	0
1320	0
1340	0
1360	1
1380	0
1400	0
1420	0
1440	0
1460	0
1480	0
1500	1
1520	1
1540	0
1560	0
1580	0
1600	1
1620	1
1640	0
1660	0
1680	0
1700	1
1720	0
1740	0
1760	0
1780	0
1800	0
1820	0
1840	0
1860	0
1880	0
1900	0
1920	0
1940	0
1960	2
1980	3
