"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	4
-1960	9
-1940	3
-1920	2
-1900	1
-1880	2
-1860	0
-1840	0
-1820	0
-1800	2
-1780	2
-1760	0
-1740	1
-1720	1
-1700	1
-1680	2
-1660	0
-1640	1
-1620	2
-1600	0
-1580	1
-1560	0
-1540	4
-1520	2
-1500	0
-1480	0
-1460	0
-1440	3
-1420	9
-1400	66
-1380	201
-1360	377
-1340	298
-1320	117
-1300	36
-1280	7
-1260	5
-1240	0
-1220	1
-1200	0
-1180	3
-1160	1
-1140	0
-1120	2
-1100	3
-1080	8
-1060	16
-1040	25
-1020	14
-1000	3
-980	5
-960	1
-940	0
-920	0
-900	0
-880	0
-860	0
-840	0
-820	2
-800	1
-780	1
-760	3
-740	0
-720	0
-700	0
-680	1
-660	0
-640	0
-620	1
-600	1
-580	4
-560	10
-540	6
-520	4
-500	2
-480	0
-460	0
-440	0
-420	2
-400	0
-380	0
-360	1
-340	6
-320	12
-300	26
-280	50
-260	105
-240	131
-220	164
-200	246
-180	291
-160	266
-140	203
-120	335
-100	1045
-80	3330
-60	11553
-40	39055
-20	87378
0	83117
20	35199
40	10262
60	3059
80	977
100	320
120	269
140	398
160	472
180	316
200	130
220	51
240	12
260	1
280	2
300	2
320	0
340	3
360	1
380	0
400	0
420	0
440	0
460	0
480	1
500	1
520	0
540	2
560	2
580	0
600	0
620	0
640	2
660	1
680	0
700	1
720	0
740	1
760	0
780	0
800	0
820	1
840	1
860	0
880	0
900	0
920	0
940	2
960	1
980	3
1000	10
1020	25
1040	28
1060	10
1080	3
1100	1
1120	1
1140	0
1160	0
1180	0
1200	1
1220	1
1240	0
1260	1
1280	0
1300	0
1320	0
1340	0
1360	0
1380	0
1400	2
1420	0
1440	1
1460	1
1480	0
1500	0
1520	0
1540	2
1560	0
1580	1
1600	2
1620	0
1640	0
1660	0
1680	0
1700	0
1720	1
1740	1
1760	1
1780	0
1800	0
1820	0
1840	1
1860	0
1880	1
1900	1
1920	0
1940	4
1960	1
1980	1
