"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	0
-1960	0
-1940	0
-1920	1
-1900	0
-1880	0
-1860	0
-1840	0
-1820	2
-1800	1
-1780	0
-1760	1
-1740	0
-1720	0
-1700	3
-1680	0
-1660	0
-1640	0
-1620	1
-1600	1
-1580	0
-1560	1
-1540	0
-1520	0
-1500	0
-1480	0
-1460	1
-1440	0
-1420	4
-1400	13
-1380	59
-1360	186
-1340	160
-1320	49
-1300	15
-1280	5
-1260	0
-1240	3
-1220	0
-1200	0
-1180	0
-1160	1
-1140	0
-1120	0
-1100	1
-1080	2
-1060	8
-1040	11
-1020	13
-1000	3
-980	3
-960	0
-940	0
-920	0
-900	0
-880	0
-860	1
-840	0
-820	0
-800	0
-780	0
-760	0
-740	0
-720	0
-700	1
-680	0
-660	0
-640	2
-620	1
-600	1
-580	3
-560	8
-540	1
-520	0
-500	1
-480	0
-460	0
-440	0
-420	0
-400	0
-380	1
-360	1
-340	0
-320	5
-300	7
-280	21
-260	53
-240	71
-220	84
-200	107
-180	133
-160	120
-140	69
-120	120
-100	341
-80	922
-60	3189
-40	14295
-20	43524
0	43974
20	16771
40	4582
60	1256
80	299
100	63
120	42
140	89
160	112
180	82
200	26
220	10
240	2
260	1
280	0
300	0
320	0
340	1
360	1
380	0
400	1
420	1
440	0
460	0
480	1
500	0
520	1
540	1
560	0
580	0
600	0
620	1
640	0
660	0
680	1
700	0
720	1
740	0
760	0
780	0
800	0
820	0
840	0
860	0
880	0
900	0
920	0
940	0
960	2
980	0
1000	6
1020	7
1040	10
1060	9
1080	1
1100	0
1120	0
1140	0
1160	0
1180	0
1200	0
1220	0
1240	1
1260	0
1280	1
1300	1
1320	2
1340	0
1360	1
1380	0
1400	0
1420	0
1440	1
1460	0
1480	1
1500	1
1520	0
1540	0
1560	0
1580	0
1600	0
1620	0
1640	0
1660	0
1680	0
1700	0
1720	0
1740	0
1760	0
1780	1
1800	0
1820	0
1840	0
1860	0
1880	0
1900	0
1920	0
1940	1
1960	1
1980	1
