"Time differences (ps)"	"Counts per bin"
-2000	1
-1980	0
-1960	2
-1940	0
-1920	1
-1900	0
-1880	0
-1860	0
-1840	0
-1820	2
-1800	0
-1780	0
-1760	0
-1740	1
-1720	1
-1700	0
-1680	0
-1660	1
-1640	0
-1620	0
-1600	0
-1580	0
-1560	1
-1540	0
-1520	0
-1500	2
-1480	0
-1460	0
-1440	4
-1420	7
-1400	33
-1380	142
-1360	311
-1340	223
-1320	118
-1300	41
-1280	7
-1260	3
-1240	1
-1220	1
-1200	1
-1180	0
-1160	1
-1140	0
-1120	0
-1100	1
-1080	2
-1060	8
-1040	25
-1020	16
-1000	5
-980	1
-960	1
-940	0
-920	0
-900	1
-880	1
-860	1
-840	1
-820	0
-800	0
-780	0
-760	0
-740	0
-720	0
-700	0
-680	1
-660	0
-640	0
-620	1
-600	3
-580	1
-560	8
-540	3
-520	1
-500	0
-480	2
-460	0
-440	1
-420	1
-400	0
-380	2
-360	0
-340	3
-320	10
-300	20
-280	50
-260	102
-240	158
-220	216
-200	370
-180	463
-160	461
-140	415
-120	582
-100	1345
-80	2923
-60	7144
-40	28274
-20	70558
0	72580
20	36236
40	12680
60	3466
80	881
100	229
120	102
140	144
160	169
180	125
200	74
220	24
240	11
260	3
280	1
300	0
320	0
340	0
360	1
380	2
400	1
420	1
440	0
460	0
480	0
500	0
520	0
540	1
560	0
580	0
600	1
620	0
640	1
660	0
680	0
700	0
720	1
740	0
760	0
780	0
800	2
820	1
840	0
860	1
880	0
900	1
920	0
940	0
960	2
980	3
1000	6
1020	17
1040	16
1060	5
1080	5
1100	2
1120	0
1140	0
1160	1
1180	0
1200	2
1220	0
1240	0
1260	0
1280	0
1300	0
1320	1
1340	0
1360	1
1380	0
1400	0
1420	0
1440	0
1460	1
1480	0
1500	0
1520	0
1540	1
1560	1
1580	1
1600	3
1620	0
1640	0
1660	0
1680	0
1700	1
1720	0
1740	1
1760	0
1780	1
1800	1
1820	0
1840	0
1860	0
1880	1
1900	0
1920	1
1940	3
1960	1
1980	5
