"Time differences (ps)"	"Counts per bin"
-2000	4
-1980	3
-1960	4
-1940	3
-1920	0
-1900	0
-1880	1
-1860	1
-1840	0
-1820	0
-1800	0
-1780	0
-1760	0
-1740	0
-1720	1
-1700	1
-1680	2
-1660	0
-1640	0
-1620	0
-1600	3
-1580	2
-1560	0
-1540	3
-1520	0
-1500	1
-1480	0
-1460	2
-1440	4
-1420	28
-1400	124
-1380	356
-1360	673
-1340	513
-1320	278
-1300	87
-1280	30
-1260	5
-1240	4
-1220	1
-1200	4
-1180	3
-1160	2
-1140	1
-1120	1
-1100	1
-1080	11
-1060	20
-1040	45
-1020	45
-1000	15
-980	7
-960	3
-940	0
-920	1
-900	2
-880	0
-860	0
-840	1
-820	1
-800	1
-780	0
-760	0
-740	1
-720	1
-700	0
-680	2
-660	0
-640	2
-620	1
-600	2
-580	7
-560	11
-540	9
-520	4
-500	3
-480	2
-460	1
-440	2
-420	0
-400	0
-380	3
-360	5
-340	11
-320	22
-300	62
-280	137
-260	247
-240	367
-220	524
-200	704
-180	984
-160	944
-140	963
-120	1592
-100	3227
-80	7858
-60	22127
-40	67537
-20	138960
0	140181
20	75728
40	27849
60	8781
80	2548
100	915
120	489
140	617
160	713
180	563
200	294
220	131
240	36
260	10
280	2
300	1
320	1
340	3
360	2
380	0
400	0
420	0
440	0
460	1
480	0
500	0
520	1
540	1
560	1
580	0
600	1
620	0
640	0
660	0
680	0
700	0
720	1
740	1
760	1
780	0
800	1
820	1
840	0
860	0
880	1
900	2
920	1
940	5
960	0
980	8
1000	22
1020	32
1040	34
1060	20
1080	4
1100	1
1120	0
1140	1
1160	1
1180	0
1200	1
1220	2
1240	0
1260	1
1280	0
1300	0
1320	1
1340	0
1360	1
1380	1
1400	0
1420	1
1440	1
1460	0
1480	4
1500	0
1520	0
1540	1
1560	0
1580	1
1600	1
1620	1
1640	1
1660	1
1680	2
1700	0
1720	1
1740	1
1760	1
1780	1
1800	1
1820	2
1840	0
1860	2
1880	0
1900	1
1920	2
1940	6
1960	4
1980	2
