"Time differences (ps)"	"Counts per bin"
-2000	1
-1980	0
-1960	1
-1940	1
-1920	3
-1900	0
-1880	0
-1860	0
-1840	2
-1820	0
-1800	0
-1780	0
-1760	1
-1740	0
-1720	1
-1700	0
-1680	0
-1660	0
-1640	0
-1620	0
-1600	2
-1580	1
-1560	1
-1540	0
-1520	0
-1500	0
-1480	0
-1460	0
-1440	1
-1420	5
-1400	33
-1380	154
-1360	355
-1340	256
-1320	130
-1300	33
-1280	13
-1260	4
-1240	2
-1220	1
-1200	0
-1180	0
-1160	0
-1140	0
-1120	0
-1100	0
-1080	2
-1060	17
-1040	26
-1020	24
-1000	9
-980	0
-960	3
-940	0
-920	0
-900	1
-880	1
-860	0
-840	2
-820	1
-800	0
-780	0
-760	2
-740	0
-720	2
-700	0
-680	0
-660	1
-640	1
-620	1
-600	1
-580	4
-560	8
-540	8
-520	1
-500	0
-480	0
-460	1
-440	0
-420	1
-400	0
-380	0
-360	4
-340	6
-320	13
-300	26
-280	65
-260	114
-240	172
-220	243
-200	359
-180	479
-160	520
-140	453
-120	616
-100	1445
-80	3090
-60	8208
-40	31094
-20	76625
0	77561
20	39111
40	13385
60	3725
80	975
100	264
120	92
140	155
160	220
180	148
200	79
220	25
240	12
260	2
280	1
300	1
320	1
340	1
360	0
380	0
400	0
420	0
440	0
460	0
480	0
500	2
520	1
540	1
560	1
580	1
600	1
620	0
640	0
660	0
680	1
700	0
720	2
740	1
760	1
780	0
800	0
820	2
840	1
860	1
880	1
900	1
920	0
940	0
960	1
980	3
1000	8
1020	28
1040	27
1060	16
1080	6
1100	1
1120	0
1140	1
1160	0
1180	2
1200	0
1220	0
1240	2
1260	0
1280	0
1300	0
1320	0
1340	0
1360	0
1380	0
1400	0
1420	0
1440	1
1460	0
1480	0
1500	0
1520	0
1540	0
1560	1
1580	0
1600	0
1620	1
1640	0
1660	2
1680	1
1700	0
1720	1
1740	2
1760	0
1780	1
1800	1
1820	2
1840	0
1860	0
1880	0
1900	0
1920	0
1940	2
1960	3
1980	1
