"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	0
-1960	0
-1940	0
-1920	0
-1900	0
-1880	1
-1860	0
-1840	1
-1820	0
-1800	0
-1780	1
-1760	0
-1740	0
-1720	0
-1700	0
-1680	0
-1660	2
-1640	0
-1620	0
-1600	0
-1580	0
-1560	0
-1540	0
-1520	0
-1500	0
-1480	0
-1460	0
-1440	0
-1420	0
-1400	1
-1380	0
-1360	0
-1340	1
-1320	1
-1300	0
-1280	0
-1260	0
-1240	0
-1220	0
-1200	2
-1180	2
-1160	0
-1140	0
-1120	1
-1100	1
-1080	0
-1060	1
-1040	0
-1020	0
-1000	0
-980	0
-960	1
-940	0
-920	0
-900	1
-880	1
-860	1
-840	0
-820	0
-800	1
-780	0
-760	0
-740	0
-720	1
-700	1
-680	0
-660	1
-640	2
-620	0
-600	0
-580	0
-560	1
-540	1
-520	0
-500	0
-480	1
-460	0
-440	0
-420	0
-400	0
-380	1
-360	0
-340	1
-320	0
-300	0
-280	1
-260	0
-240	0
-220	1
-200	0
-180	2
-160	2
-140	2
-120	1
-100	1
-80	3
-60	16
-40	48
-20	150
0	113
20	59
40	19
60	4
80	1
100	1
120	0
140	0
160	1
180	2
200	0
220	0
240	0
260	1
280	1
300	1
320	0
340	0
360	0
380	0
400	2
420	0
440	0
460	1
480	0
500	0
520	1
540	0
560	0
580	1
600	1
620	0
640	1
660	0
680	0
700	0
720	0
740	0
760	0
780	1
800	0
820	1
840	1
860	1
880	1
900	1
920	0
940	1
960	2
980	0
1000	0
1020	0
1040	1
1060	0
1080	0
1100	0
1120	0
1140	0
1160	0
1180	0
1200	1
1220	1
1240	0
1260	0
1280	0
1300	0
1320	0
1340	0
1360	0
1380	0
1400	0
1420	0
1440	0
1460	0
1480	0
1500	0
1520	1
1540	1
1560	0
1580	0
1600	0
1620	0
1640	0
1660	0
1680	0
1700	0
1720	0
1740	0
1760	0
1780	0
1800	0
1820	0
1840	2
1860	1
1880	0
1900	0
1920	0
1940	0
1960	0
1980	0
