"Time differences (ps)"	"Counts per bin"
-2000	1
-1980	0
-1960	1
-1940	0
-1920	0
-1900	1
-1880	0
-1860	0
-1840	0
-1820	0
-1800	0
-1780	0
-1760	0
-1740	0
-1720	0
-1700	0
-1680	0
-1660	0
-1640	0
-1620	0
-1600	0
-1580	0
-1560	1
-1540	0
-1520	0
-1500	0
-1480	0
-1460	1
-1440	0
-1420	1
-1400	18
-1380	69
-1360	211
-1340	143
-1320	47
-1300	14
-1280	5
-1260	2
-1240	0
-1220	0
-1200	1
-1180	0
-1160	1
-1140	0
-1120	0
-1100	1
-1080	3
-1060	1
-1040	9
-1020	5
-1000	1
-980	1
-960	1
-940	1
-920	0
-900	0
-880	0
-860	0
-840	0
-820	0
-800	0
-780	0
-760	0
-740	1
-720	0
-700	0
-680	0
-660	1
-640	1
-620	0
-600	0
-580	5
-560	4
-540	1
-520	1
-500	0
-480	0
-460	0
-440	0
-420	1
-400	0
-380	1
-360	1
-340	1
-320	2
-300	9
-280	21
-260	47
-240	74
-220	76
-200	98
-180	130
-160	123
-140	88
-120	114
-100	385
-80	927
-60	3168
-40	14600
-20	43175
0	42084
20	15680
40	4300
60	1166
80	297
100	67
120	31
140	68
160	97
180	66
200	32
220	9
240	2
260	0
280	0
300	1
320	0
340	0
360	0
380	0
400	1
420	0
440	0
460	0
480	1
500	0
520	0
540	1
560	1
580	0
600	0
620	0
640	0
660	0
680	0
700	0
720	0
740	0
760	0
780	0
800	1
820	0
840	0
860	0
880	0
900	0
920	0
940	0
960	0
980	2
1000	3
1020	9
1040	16
1060	4
1080	1
1100	0
1120	0
1140	0
1160	0
1180	0
1200	0
1220	0
1240	0
1260	0
1280	0
1300	0
1320	0
1340	0
1360	1
1380	0
1400	1
1420	0
1440	0
1460	0
1480	1
1500	0
1520	1
1540	1
1560	0
1580	0
1600	0
1620	1
1640	0
1660	0
1680	0
1700	0
1720	0
1740	0
1760	0
1780	1
1800	0
1820	1
1840	0
1860	1
1880	0
1900	0
1920	0
1940	0
1960	0
1980	0
