"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	4
-1960	2
-1940	2
-1920	2
-1900	0
-1880	1
-1860	0
-1840	0
-1820	1
-1800	0
-1780	0
-1760	2
-1740	0
-1720	2
-1700	1
-1680	1
-1660	1
-1640	0
-1620	0
-1600	0
-1580	1
-1560	0
-1540	1
-1520	0
-1500	1
-1480	0
-1460	1
-1440	5
-1420	9
-1400	74
-1380	211
-1360	370
-1340	279
-1320	108
-1300	40
-1280	6
-1260	2
-1240	1
-1220	1
-1200	3
-1180	4
-1160	3
-1140	1
-1120	1
-1100	2
-1080	7
-1060	17
-1040	24
-1020	17
-1000	7
-980	3
-960	2
-940	0
-920	1
-900	0
-880	2
-860	1
-840	0
-820	2
-800	1
-780	1
-760	0
-740	0
-720	1
-700	0
-680	0
-660	2
-640	0
-620	1
-600	2
-580	7
-560	8
-540	4
-520	0
-500	1
-480	1
-460	0
-440	0
-420	2
-400	0
-380	1
-360	1
-340	7
-320	7
-300	31
-280	55
-260	109
-240	152
-220	174
-200	205
-180	296
-160	224
-140	185
-120	379
-100	1166
-80	3511
-60	12179
-40	39994
-20	88478
0	82478
20	33539
40	9922
60	3017
80	958
100	314
120	277
140	414
160	471
180	341
200	165
220	59
240	14
260	4
280	3
300	1
320	1
340	0
360	2
380	1
400	0
420	0
440	1
460	0
480	0
500	2
520	1
540	1
560	1
580	0
600	1
620	2
640	0
660	0
680	0
700	0
720	0
740	1
760	0
780	0
800	1
820	0
840	1
860	0
880	1
900	0
920	0
940	1
960	2
980	5
1000	12
1020	31
1040	25
1060	12
1080	5
1100	3
1120	0
1140	0
1160	2
1180	2
1200	0
1220	0
1240	0
1260	1
1280	0
1300	0
1320	0
1340	0
1360	1
1380	2
1400	1
1420	0
1440	0
1460	2
1480	1
1500	1
1520	0
1540	1
1560	1
1580	0
1600	0
1620	0
1640	2
1660	1
1680	0
1700	0
1720	0
1740	0
1760	0
1780	0
1800	0
1820	0
1840	0
1860	1
1880	1
1900	1
1920	0
1940	0
1960	0
1980	0
