"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	0
-1960	1
-1940	1
-1920	1
-1900	0
-1880	0
-1860	0
-1840	0
-1820	0
-1800	0
-1780	0
-1760	0
-1740	0
-1720	0
-1700	0
-1680	0
-1660	0
-1640	0
-1620	0
-1600	0
-1580	0
-1560	0
-1540	1
-1520	0
-1500	0
-1480	0
-1460	0
-1440	1
-1420	2
-1400	21
-1380	79
-1360	176
-1340	136
-1320	63
-1300	14
-1280	2
-1260	0
-1240	0
-1220	0
-1200	0
-1180	0
-1160	0
-1140	1
-1120	1
-1100	1
-1080	1
-1060	4
-1040	13
-1020	6
-1000	4
-980	0
-960	0
-940	1
-920	0
-900	0
-880	0
-860	0
-840	0
-820	0
-800	0
-780	0
-760	0
-740	0
-720	0
-700	0
-680	0
-660	1
-640	0
-620	0
-600	0
-580	1
-560	5
-540	2
-520	1
-500	0
-480	0
-460	0
-440	0
-420	1
-400	0
-380	1
-360	0
-340	1
-320	4
-300	13
-280	16
-260	65
-240	79
-220	109
-200	119
-180	157
-160	113
-140	80
-120	140
-100	400
-80	1154
-60	3716
-40	16687
-20	47969
0	46342
20	17886
40	4877
60	1375
80	338
100	75
120	43
140	96
160	127
180	71
200	39
220	9
240	3
260	2
280	1
300	1
320	0
340	0
360	0
380	0
400	0
420	0
440	0
460	0
480	0
500	1
520	0
540	0
560	0
580	0
600	1
620	0
640	0
660	1
680	0
700	0
720	0
740	0
760	0
780	0
800	0
820	0
840	0
860	0
880	0
900	0
920	0
940	0
960	1
980	2
1000	3
1020	13
1040	16
1060	8
1080	1
1100	0
1120	0
1140	0
1160	0
1180	0
1200	0
1220	0
1240	0
1260	0
1280	0
1300	0
1320	0
1340	0
1360	0
1380	0
1400	0
1420	0
1440	0
1460	0
1480	0
1500	1
1520	0
1540	0
1560	0
1580	0
1600	0
1620	0
1640	1
1660	0
1680	0
1700	0
1720	0
1740	0
1760	0
1780	0
1800	0
1820	0
1840	0
1860	0
1880	0
1900	0
1920	0
1940	1
1960	2
1980	3
