"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	2
-19960	1
-19940	0
-19920	1
-19900	4
-19880	3
-19860	5
-19840	2
-19820	2
-19800	3
-19780	1
-19760	1
-19740	4
-19720	1
-19700	1
-19680	1
-19660	0
-19640	0
-19620	1
-19600	2
-19580	3
-19560	1
-19540	3
-19520	0
-19500	2
-19480	1
-19460	5
-19440	2
-19420	1
-19400	0
-19380	4
-19360	2
-19340	1
-19320	0
-19300	2
-19280	3
-19260	1
-19240	0
-19220	2
-19200	0
-19180	2
-19160	3
-19140	1
-19120	2
-19100	0
-19080	0
-19060	2
-19040	1
-19020	2
-19000	3
-18980	2
-18960	1
-18940	1
-18920	2
-18900	1
-18880	1
-18860	0
-18840	3
-18820	0
-18800	4
-18780	2
-18760	1
-18740	4
-18720	2
-18700	3
-18680	3
-18660	4
-18640	2
-18620	3
-18600	0
-18580	1
-18560	1
-18540	3
-18520	0
-18500	0
-18480	5
-18460	1
-18440	2
-18420	3
-18400	3
-18380	1
-18360	0
-18340	5
-18320	1
-18300	5
-18280	2
-18260	1
-18240	1
-18220	1
-18200	1
-18180	2
-18160	2
-18140	3
-18120	3
-18100	2
-18080	3
-18060	3
-18040	3
-18020	3
-18000	1
-17980	1
-17960	4
-17940	3
-17920	0
-17900	5
-17880	1
-17860	3
-17840	1
-17820	2
-17800	3
-17780	2
-17760	1
-17740	2
-17720	1
-17700	0
-17680	2
-17660	2
-17640	3
-17620	1
-17600	1
-17580	2
-17560	1
-17540	4
-17520	1
-17500	1
-17480	4
-17460	1
-17440	3
-17420	3
-17400	1
-17380	3
-17360	3
-17340	3
-17320	2
-17300	3
-17280	0
-17260	1
-17240	3
-17220	0
-17200	3
-17180	2
-17160	1
-17140	1
-17120	3
-17100	1
-17080	0
-17060	1
-17040	0
-17020	2
-17000	2
-16980	3
-16960	2
-16940	2
-16920	1
-16900	1
-16880	2
-16860	3
-16840	3
-16820	1
-16800	1
-16780	3
-16760	0
-16740	2
-16720	0
-16700	3
-16680	2
-16660	3
-16640	2
-16620	1
-16600	2
-16580	5
-16560	1
-16540	4
-16520	6
-16500	8
-16480	1
-16460	3
-16440	2
-16420	0
-16400	1
-16380	2
-16360	1
-16340	2
-16320	1
-16300	1
-16280	0
-16260	2
-16240	3
-16220	1
-16200	4
-16180	3
-16160	8
-16140	2
-16120	2
-16100	2
-16080	0
-16060	0
-16040	2
-16020	3
-16000	2
-15980	2
-15960	1
-15940	0
-15920	0
-15900	0
-15880	2
-15860	5
-15840	0
-15820	3
-15800	3
-15780	3
-15760	7
-15740	8
-15720	26
-15700	27
-15680	24
-15660	19
-15640	5
-15620	7
-15600	1
-15580	1
-15560	1
-15540	0
-15520	2
-15500	2
-15480	3
-15460	0
-15440	3
-15420	2
-15400	2
-15380	1
-15360	2
-15340	0
-15320	3
-15300	2
-15280	1
-15260	1
-15240	1
-15220	3
-15200	2
-15180	1
-15160	5
-15140	6
-15120	0
-15100	2
-15080	3
-15060	4
-15040	1
-15020	3
-15000	4
-14980	3
-14960	2
-14940	1
-14920	1
-14900	2
-14880	3
-14860	1
-14840	1
