"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	3
-19960	3
-19940	2
-19920	3
-19900	5
-19880	3
-19860	4
-19840	4
-19820	0
-19800	1
-19780	2
-19760	0
-19740	1
-19720	0
-19700	0
-19680	3
-19660	0
-19640	0
-19620	3
-19600	3
-19580	1
-19560	1
-19540	1
-19520	1
-19500	0
-19480	0
-19460	0
-19440	1
-19420	2
-19400	1
-19380	1
-19360	1
-19340	3
-19320	1
-19300	2
-19280	4
-19260	1
-19240	0
-19220	1
-19200	2
-19180	1
-19160	1
-19140	0
-19120	1
-19100	2
-19080	2
-19060	0
-19040	0
-19020	3
-19000	2
-18980	4
-18960	1
-18940	1
-18920	1
-18900	2
-18880	3
-18860	2
-18840	0
-18820	0
-18800	1
-18780	2
-18760	1
-18740	1
-18720	1
-18700	3
-18680	2
-18660	4
-18640	3
-18620	4
-18600	2
-18580	1
-18560	1
-18540	1
-18520	1
-18500	4
-18480	1
-18460	2
-18440	0
-18420	1
-18400	0
-18380	0
-18360	0
-18340	4
-18320	1
-18300	2
-18280	1
-18260	1
-18240	2
-18220	3
-18200	1
-18180	0
-18160	0
-18140	3
-18120	0
-18100	2
-18080	2
-18060	1
-18040	3
-18020	0
-18000	0
-17980	0
-17960	2
-17940	0
-17920	2
-17900	6
-17880	5
-17860	0
-17840	4
-17820	2
-17800	3
-17780	3
-17760	1
-17740	5
-17720	2
-17700	2
-17680	1
-17660	2
-17640	1
-17620	5
-17600	0
-17580	4
-17560	1
-17540	0
-17520	2
-17500	4
-17480	2
-17460	1
-17440	2
-17420	2
-17400	3
-17380	2
-17360	1
-17340	1
-17320	2
-17300	2
-17280	1
-17260	0
-17240	1
-17220	5
-17200	1
-17180	3
-17160	2
-17140	0
-17120	4
-17100	2
-17080	5
-17060	0
-17040	0
-17020	4
-17000	3
-16980	0
-16960	0
-16940	2
-16920	4
-16900	1
-16880	1
-16860	0
-16840	2
-16820	4
-16800	1
-16780	2
-16760	1
-16740	3
-16720	1
-16700	1
-16680	3
-16660	4
-16640	1
-16620	2
-16600	0
-16580	3
-16560	4
-16540	1
-16520	5
-16500	10
-16480	4
-16460	1
-16440	2
-16420	2
-16400	2
-16380	5
-16360	4
-16340	1
-16320	1
-16300	3
-16280	1
-16260	1
-16240	2
-16220	4
-16200	1
-16180	3
-16160	1
-16140	3
-16120	1
-16100	1
-16080	2
-16060	2
-16040	3
-16020	5
-16000	0
-15980	0
-15960	3
-15940	2
-15920	3
-15900	6
-15880	2
-15860	1
-15840	3
-15820	4
-15800	3
-15780	1
-15760	10
-15740	7
-15720	17
-15700	30
-15680	21
-15660	13
-15640	3
-15620	4
-15600	5
-15580	0
-15560	1
-15540	4
-15520	2
-15500	1
-15480	0
-15460	1
-15440	2
-15420	3
-15400	2
-15380	4
-15360	4
-15340	3
-15320	2
-15300	4
-15280	2
-15260	4
-15240	1
-15220	3
-15200	1
