"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	0
-19960	3
-19940	1
-19920	0
-19900	5
-19880	5
-19860	3
-19840	3
-19820	1
-19800	1
-19780	1
-19760	1
-19740	2
-19720	1
-19700	0
-19680	0
-19660	2
-19640	0
-19620	1
-19600	1
-19580	1
-19560	1
-19540	5
-19520	2
-19500	0
-19480	1
-19460	1
-19440	2
-19420	3
-19400	1
-19380	0
-19360	2
-19340	2
-19320	1
-19300	2
-19280	2
-19260	1
-19240	3
-19220	4
-19200	1
-19180	1
-19160	1
-19140	2
-19120	2
-19100	3
-19080	1
-19060	1
-19040	4
-19020	1
-19000	1
-18980	0
-18960	0
-18940	2
-18920	3
-18900	0
-18880	0
-18860	3
-18840	2
-18820	1
-18800	5
-18780	3
-18760	0
-18740	3
-18720	1
-18700	3
-18680	3
-18660	0
-18640	0
-18620	2
-18600	1
-18580	1
-18560	1
-18540	1
-18520	4
-18500	2
-18480	3
-18460	2
-18440	1
-18420	2
-18400	2
-18380	2
-18360	4
-18340	1
-18320	3
-18300	2
-18280	2
-18260	2
-18240	3
-18220	1
-18200	1
-18180	2
-18160	4
-18140	2
-18120	0
-18100	1
-18080	1
-18060	0
-18040	0
-18020	1
-18000	3
-17980	2
-17960	3
-17940	3
-17920	0
-17900	1
-17880	1
-17860	3
-17840	2
-17820	0
-17800	1
-17780	3
-17760	1
-17740	1
-17720	1
-17700	0
-17680	2
-17660	2
-17640	1
-17620	1
-17600	1
-17580	5
-17560	2
-17540	0
-17520	1
-17500	0
-17480	2
-17460	2
-17440	2
-17420	3
-17400	4
-17380	3
-17360	1
-17340	1
-17320	0
-17300	1
-17280	3
-17260	2
-17240	3
-17220	4
-17200	2
-17180	1
-17160	2
-17140	2
-17120	2
-17100	3
-17080	1
-17060	5
-17040	1
-17020	3
-17000	2
-16980	4
-16960	0
-16940	1
-16920	2
-16900	3
-16880	0
-16860	1
-16840	3
-16820	1
-16800	3
-16780	2
-16760	2
-16740	2
-16720	1
-16700	1
-16680	0
-16660	0
-16640	0
-16620	0
-16600	1
-16580	5
-16560	3
-16540	1
-16520	8
-16500	4
-16480	1
-16460	1
-16440	6
-16420	2
-16400	3
-16380	2
-16360	0
-16340	2
-16320	1
-16300	2
-16280	2
-16260	1
-16240	0
-16220	0
-16200	1
-16180	0
-16160	0
-16140	1
-16120	4
-16100	3
-16080	3
-16060	0
-16040	0
-16020	3
-16000	0
-15980	1
-15960	0
-15940	3
-15920	2
-15900	6
-15880	7
-15860	5
-15840	4
-15820	5
-15800	4
-15780	2
-15760	3
-15740	6
-15720	14
-15700	27
-15680	24
-15660	16
-15640	5
-15620	3
-15600	1
-15580	1
-15560	2
-15540	2
-15520	4
-15500	2
-15480	4
-15460	0
-15440	3
-15420	1
-15400	0
-15380	3
-15360	4
-15340	4
-15320	2
-15300	6
-15280	5
-15260	3
-15240	0
-15220	2
-15200	3
-15180	1
-15160	2
-15140	2
-15120	2
-15100	2
-15080	2
-15060	2
-15040	2
-15020	0
-15000	5
-14980	0
-14960	0
-14940	0
-14920	3
-14900	2
-14880	2
-14860	6
-14840	4
-14820	2
-14800	2
-14780	2
-14760	3
-14740	4
-14720	3
-14700	3
-14680	1
-14660	1
-14640	2
-14620	2
-14600	2
-14580	4
-14560	2
-14540	4
-14520	2
-14500	4
-14480	2
-14460	2
-14440	0
-14420	6
-14400	4
-14380	3
-14360	1
-14340	1
-14320	2
-14300	2
-14280	1
-14260	1
-14240	3
-14220	2
-14200	4
-14180	2
-14160	2
-14140	3
-14120	9
-14100	2
-14080	1
-14060	3
-14040	3
-14020	4
-14000	2
-13980	2
-13960	2
-13940	0
-13920	2
-13900	4
-13880	3
-13860	4
-13840	4
-13820	6
-13800	3
-13780	2
-13760	3
-13740	3
-13720	2
-13700	1
-13680	2
-13660	4
-13640	2
-13620	2
-13600	2
-13580	7
-13560	1
-13540	1
-13520	3
-13500	1
-13480	0
-13460	2
-13440	6
-13420	1
-13400	3
-13380	3
-13360	8
-13340	2
-13320	4
