"Time differences (ps)"	"Counts per bin"
-20000	3
-19980	1
-19960	2
-19940	4
-19920	3
-19900	1
-19880	3
-19860	5
-19840	4
-19820	1
-19800	2
-19780	1
-19760	2
-19740	0
-19720	4
-19700	1
-19680	0
-19660	1
-19640	3
-19620	2
-19600	2
-19580	1
-19560	1
-19540	1
-19520	1
-19500	3
-19480	1
-19460	1
-19440	0
-19420	1
-19400	1
-19380	0
-19360	1
-19340	1
-19320	1
-19300	2
-19280	2
-19260	2
-19240	1
-19220	0
-19200	0
-19180	0
-19160	1
-19140	0
-19120	1
-19100	2
-19080	2
-19060	2
-19040	1
-19020	0
-19000	1
-18980	0
-18960	1
-18940	1
-18920	1
-18900	2
-18880	2
-18860	2
-18840	1
-18820	0
-18800	0
-18780	3
-18760	2
-18740	2
-18720	1
-18700	1
-18680	1
-18660	1
-18640	0
-18620	1
-18600	0
-18580	2
-18560	1
-18540	1
-18520	1
-18500	1
-18480	3
-18460	1
-18440	2
-18420	1
-18400	1
-18380	4
-18360	2
-18340	1
-18320	3
-18300	6
-18280	2
-18260	0
-18240	0
-18220	1
-18200	3
-18180	1
-18160	3
-18140	4
-18120	2
-18100	4
-18080	2
-18060	5
-18040	2
-18020	0
-18000	1
-17980	0
-17960	0
-17940	3
-17920	1
-17900	0
-17880	4
-17860	2
-17840	1
-17820	2
-17800	2
-17780	1
-17760	0
-17740	1
-17720	1
-17700	3
-17680	1
-17660	2
-17640	3
-17620	1
-17600	2
-17580	0
-17560	1
-17540	0
-17520	0
-17500	2
-17480	2
-17460	2
-17440	4
-17420	3
-17400	0
-17380	3
-17360	0
-17340	2
-17320	1
-17300	1
-17280	3
-17260	4
-17240	2
-17220	2
-17200	5
-17180	1
-17160	0
-17140	2
-17120	1
-17100	3
-17080	3
-17060	2
-17040	2
-17020	4
-17000	1
-16980	2
-16960	2
-16940	1
-16920	2
-16900	2
-16880	2
-16860	2
-16840	2
-16820	1
-16800	0
-16780	2
-16760	0
-16740	1
-16720	0
-16700	2
-16680	0
-16660	4
-16640	3
-16620	2
-16600	3
-16580	3
-16560	3
-16540	2
-16520	9
-16500	6
-16480	3
-16460	2
-16440	0
-16420	2
-16400	3
-16380	2
-16360	3
-16340	1
-16320	2
-16300	3
-16280	1
-16260	1
-16240	1
-16220	2
-16200	2
-16180	1
-16160	4
-16140	0
-16120	0
-16100	2
-16080	3
-16060	0
-16040	0
-16020	4
-16000	0
-15980	1
-15960	3
-15940	0
-15920	5
-15900	2
-15880	1
-15860	2
-15840	3
-15820	6
-15800	1
-15780	4
-15760	4
-15740	10
-15720	21
-15700	35
-15680	18
-15660	10
-15640	4
-15620	2
-15600	1
-15580	4
-15560	5
-15540	1
-15520	4
-15500	2
-15480	1
-15460	2
-15440	3
-15420	3
-15400	0
