"Time differences (ps)"	"Counts per bin"
-20000	0
-19980	0
-19960	0
-19940	1
-19920	0
-19900	1
-19880	0
-19860	0
-19840	2
-19820	0
-19800	0
-19780	1
-19760	0
-19740	0
-19720	3
-19700	1
-19680	0
-19660	0
-19640	1
-19620	0
-19600	0
-19580	0
-19560	0
-19540	0
-19520	0
-19500	1
-19480	0
-19460	1
-19440	0
-19420	1
-19400	0
-19380	0
-19360	1
-19340	0
-19320	1
-19300	0
-19280	0
-19260	0
-19240	0
-19220	0
-19200	0
-19180	0
-19160	0
-19140	0
-19120	0
-19100	0
-19080	0
-19060	0
-19040	0
-19020	0
-19000	1
-18980	1
-18960	0
-18940	0
-18920	0
-18900	0
-18880	1
-18860	0
-18840	0
-18820	0
-18800	1
-18780	1
-18760	2
-18740	0
-18720	0
-18700	0
-18680	0
-18660	0
-18640	0
-18620	0
-18600	1
-18580	1
-18560	0
-18540	1
-18520	0
-18500	1
-18480	1
-18460	0
-18440	0
-18420	0
-18400	0
-18380	1
-18360	1
-18340	0
-18320	0
-18300	0
-18280	0
-18260	0
-18240	0
-18220	0
-18200	0
-18180	0
-18160	1
-18140	0
-18120	0
-18100	0
-18080	0
-18060	0
-18040	1
-18020	0
-18000	0
-17980	0
-17960	0
-17940	0
-17920	1
-17900	0
-17880	0
-17860	0
-17840	2
-17820	0
-17800	0
-17780	1
-17760	0
-17740	0
-17720	0
-17700	1
-17680	1
-17660	0
-17640	0
-17620	0
-17600	0
-17580	0
-17560	0
-17540	1
-17520	0
-17500	0
-17480	1
-17460	0
-17440	0
-17420	0
-17400	0
-17380	0
-17360	1
-17340	0
-17320	0
-17300	0
-17280	0
-17260	0
-17240	0
-17220	0
-17200	0
-17180	1
-17160	0
-17140	2
-17120	1
-17100	0
-17080	1
-17060	0
-17040	0
-17020	0
-17000	0
-16980	1
-16960	0
-16940	0
-16920	0
-16900	0
-16880	1
-16860	0
-16840	0
-16820	0
-16800	0
-16780	0
-16760	0
-16740	0
-16720	1
-16700	0
-16680	0
-16660	0
-16640	1
-16620	0
-16600	0
-16580	1
-16560	0
-16540	0
-16520	0
-16500	1
-16480	0
-16460	0
-16440	1
-16420	0
-16400	1
-16380	1
-16360	0
-16340	0
-16320	0
-16300	0
-16280	0
-16260	1
-16240	0
-16220	0
-16200	0
-16180	0
-16160	1
-16140	0
