"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	4
-19960	2
-19940	1
-19920	2
-19900	2
-19880	2
-19860	0
-19840	4
-19820	1
-19800	1
-19780	2
-19760	5
-19740	1
-19720	2
-19700	4
-19680	2
-19660	2
-19640	4
-19620	1
-19600	1
-19580	2
-19560	0
-19540	2
-19520	0
-19500	4
-19480	5
-19460	0
-19440	1
-19420	0
-19400	2
-19380	0
-19360	3
-19340	0
-19320	2
-19300	0
-19280	2
-19260	1
-19240	0
-19220	3
-19200	1
-19180	2
-19160	2
-19140	2
-19120	2
-19100	0
-19080	1
-19060	1
-19040	2
-19020	0
-19000	2
-18980	2
-18960	0
-18940	1
-18920	4
-18900	3
-18880	0
-18860	3
-18840	3
-18820	1
-18800	2
-18780	2
-18760	0
-18740	0
-18720	0
-18700	1
-18680	1
-18660	3
-18640	2
-18620	2
-18600	0
-18580	2
-18560	2
-18540	1
-18520	1
-18500	2
-18480	1
-18460	3
-18440	4
-18420	1
-18400	1
-18380	1
-18360	3
-18340	1
-18320	1
-18300	2
-18280	1
-18260	3
-18240	2
-18220	2
-18200	1
-18180	3
-18160	3
-18140	1
-18120	2
-18100	3
-18080	2
-18060	0
-18040	1
-18020	0
-18000	2
-17980	1
-17960	3
-17940	0
-17920	6
-17900	1
-17880	2
-17860	2
-17840	0
-17820	0
-17800	1
-17780	0
-17760	0
-17740	0
-17720	2
-17700	1
-17680	1
-17660	1
-17640	2
-17620	1
-17600	1
-17580	0
-17560	0
-17540	2
-17520	1
-17500	2
-17480	3
-17460	1
-17440	5
-17420	0
-17400	2
-17380	1
-17360	3
-17340	3
-17320	0
-17300	1
-17280	3
-17260	1
-17240	3
-17220	5
-17200	1
-17180	0
-17160	1
-17140	1
-17120	4
-17100	4
-17080	1
-17060	1
-17040	2
-17020	1
-17000	0
-16980	1
-16960	2
-16940	3
-16920	2
-16900	2
-16880	1
-16860	1
-16840	1
-16820	4
-16800	2
-16780	1
-16760	3
-16740	0
-16720	1
-16700	1
-16680	1
-16660	1
-16640	2
-16620	5
-16600	2
-16580	3
-16560	1
-16540	4
-16520	2
-16500	2
-16480	3
-16460	4
-16440	0
-16420	1
-16400	2
-16380	1
-16360	2
-16340	2
-16320	3
-16300	2
-16280	2
-16260	0
-16240	1
-16220	1
-16200	2
-16180	2
-16160	3
-16140	2
-16120	1
-16100	0
-16080	3
-16060	5
-16040	3
-16020	3
-16000	1
-15980	1
-15960	2
-15940	4
-15920	1
-15900	2
-15880	1
-15860	2
-15840	4
-15820	6
-15800	3
-15780	5
-15760	5
-15740	12
-15720	17
-15700	27
-15680	19
-15660	9
-15640	6
-15620	1
-15600	4
-15580	5
-15560	4
-15540	1
-15520	0
-15500	5
-15480	7
-15460	0
-15440	3
-15420	3
-15400	1
-15380	0
-15360	3
-15340	0
-15320	3
-15300	1
-15280	4
-15260	2
-15240	5
-15220	3
-15200	2
-15180	4
-15160	2
-15140	2
-15120	2
-15100	1
-15080	1
-15060	2
-15040	2
-15020	0
-15000	5
-14980	3
-14960	6
-14940	1
-14920	2
-14900	4
-14880	3
-14860	2
-14840	0
-14820	4
-14800	3
-14780	4
-14760	4
-14740	3
-14720	2
-14700	3
-14680	0
-14660	2
-14640	2
-14620	5
-14600	3
-14580	0
-14560	1
-14540	2
-14520	2
-14500	2
-14480	0
-14460	1
-14440	0
-14420	1
-14400	3
-14380	2
-14360	2
-14340	3
-14320	0
-14300	3
-14280	0
-14260	2
-14240	3
-14220	3
-14200	2
-14180	3
-14160	3
-14140	2
-14120	0
-14100	1
-14080	4
-14060	1
-14040	2
-14020	2
-14000	0
-13980	3
-13960	2
-13940	6
-13920	2
-13900	7
-13880	1
-13860	4
-13840	1
-13820	2
-13800	4
-13780	2
-13760	3
-13740	2
-13720	4
-13700	0
-13680	3
-13660	2
-13640	5
-13620	0
-13600	5
-13580	4
-13560	4
-13540	2
-13520	2
-13500	1
-13480	3
-13460	2
-13440	6
-13420	2
-13400	2
-13380	3
-13360	5
-13340	4
-13320	2
-13300	2
-13280	3
-13260	4
-13240	3
-13220	3
-13200	1
-13180	1
-13160	0
-13140	1
-13120	2
-13100	2
-13080	3
-13060	2
-13040	2
-13020	2
-13000	4
-12980	7
-12960	4
