"Time differences (ps)"	"Counts per bin"
-20000	4
-19980	0
-19960	0
-19940	2
-19920	3
-19900	5
-19880	4
-19860	3
-19840	3
-19820	1
-19800	3
-19780	0
-19760	2
-19740	1
-19720	0
-19700	0
-19680	1
-19660	3
-19640	4
-19620	2
-19600	3
-19580	1
-19560	3
-19540	2
-19520	1
-19500	2
-19480	0
-19460	3
-19440	2
-19420	2
-19400	2
-19380	1
-19360	3
-19340	1
-19320	1
-19300	4
-19280	0
-19260	3
-19240	0
-19220	0
-19200	1
-19180	0
-19160	4
-19140	0
-19120	1
-19100	3
-19080	2
-19060	0
-19040	2
-19020	2
-19000	1
-18980	1
-18960	1
-18940	0
-18920	1
-18900	0
-18880	1
-18860	4
-18840	0
-18820	0
-18800	0
-18780	2
-18760	1
-18740	3
-18720	1
-18700	2
-18680	1
-18660	3
-18640	3
-18620	2
-18600	2
-18580	2
-18560	4
-18540	1
-18520	2
-18500	1
-18480	0
-18460	2
-18440	2
-18420	0
-18400	3
-18380	1
-18360	0
-18340	0
-18320	0
-18300	0
-18280	1
-18260	3
-18240	2
-18220	3
-18200	2
-18180	2
-18160	4
-18140	1
-18120	1
-18100	1
-18080	1
-18060	0
-18040	2
-18020	0
-18000	0
-17980	1
-17960	0
-17940	2
-17920	2
-17900	1
-17880	2
-17860	4
-17840	3
-17820	2
-17800	4
-17780	0
-17760	1
-17740	3
-17720	2
-17700	3
-17680	0
-17660	0
-17640	3
-17620	0
-17600	1
-17580	2
-17560	0
-17540	2
-17520	2
-17500	0
-17480	2
-17460	1
-17440	1
-17420	3
-17400	3
-17380	2
-17360	1
-17340	3
-17320	1
-17300	2
-17280	0
-17260	2
-17240	3
-17220	2
-17200	1
-17180	1
-17160	0
-17140	5
-17120	0
-17100	1
-17080	0
-17060	0
-17040	1
-17020	2
-17000	4
-16980	2
-16960	0
-16940	1
-16920	2
-16900	0
-16880	4
-16860	2
-16840	3
-16820	3
-16800	2
-16780	2
-16760	2
-16740	2
-16720	2
-16700	2
-16680	1
-16660	2
-16640	0
-16620	0
-16600	2
-16580	1
-16560	2
-16540	2
-16520	4
-16500	6
-16480	0
-16460	0
-16440	0
-16420	3
-16400	2
-16380	3
-16360	2
-16340	3
-16320	1
-16300	1
-16280	1
-16260	1
-16240	1
-16220	0
-16200	3
-16180	1
-16160	3
-16140	1
-16120	3
-16100	2
-16080	5
-16060	2
-16040	0
-16020	3
-16000	1
-15980	4
-15960	2
-15940	1
-15920	2
-15900	1
-15880	4
-15860	2
-15840	1
-15820	3
-15800	5
-15780	5
-15760	7
-15740	10
-15720	13
-15700	33
-15680	21
-15660	14
-15640	7
-15620	7
-15600	4
-15580	2
-15560	3
-15540	1
-15520	4
-15500	2
-15480	2
-15460	1
-15440	1
-15420	0
-15400	1
-15380	3
-15360	1
-15340	0
-15320	2
-15300	1
-15280	1
-15260	2
-15240	0
-15220	2
-15200	2
-15180	1
-15160	1
-15140	1
-15120	0
-15100	2
-15080	1
-15060	6
-15040	3
-15020	3
-15000	2
-14980	3
-14960	3
-14940	2
-14920	1
-14900	2
-14880	2
-14860	1
-14840	2
-14820	5
-14800	3
-14780	1
-14760	0
-14740	3
-14720	3
-14700	4
-14680	1
-14660	2
-14640	1
-14620	0
-14600	3
-14580	1
-14560	3
-14540	3
-14520	3
-14500	3
-14480	2
-14460	2
-14440	3
-14420	0
-14400	4
-14380	4
-14360	1
-14340	0
-14320	3
-14300	1
-14280	0
-14260	1
-14240	2
-14220	3
-14200	2
-14180	5
-14160	1
-14140	0
-14120	2
-14100	3
-14080	2
-14060	1
-14040	2
-14020	3
-14000	0
-13980	2
-13960	0
-13940	2
-13920	3
-13900	2
-13880	1
-13860	2
-13840	5
-13820	1
-13800	2
-13780	2
-13760	2
-13740	1
-13720	2
-13700	3
-13680	0
-13660	4
-13640	0
-13620	4
-13600	2
-13580	3
-13560	4
-13540	5
-13520	3
-13500	5
-13480	5
-13460	1
-13440	4
-13420	3
-13400	3
-13380	4
-13360	4
-13340	6
-13320	2
-13300	5
-13280	1
-13260	0
-13240	2
-13220	0
-13200	2
-13180	1
-13160	0
-13140	2
-13120	4
-13100	1
-13080	1
-13060	2
-13040	1
-13020	0
-13000	1
-12980	4
-12960	5
-12940	1
-12920	3
-12900	2
-12880	1
-12860	1
