"Time differences (ps)"	"Counts per bin"
-20000	1
-19980	1
-19960	0
-19940	1
-19920	0
-19900	1
-19880	0
-19860	4
-19840	1
-19820	2
-19800	1
-19780	1
-19760	1
-19740	0
-19720	1
-19700	2
-19680	2
-19660	3
-19640	1
-19620	2
-19600	0
-19580	2
-19560	2
-19540	0
-19520	1
-19500	1
-19480	2
-19460	1
-19440	4
-19420	0
-19400	1
-19380	0
-19360	0
-19340	1
-19320	2
-19300	1
-19280	1
-19260	2
-19240	2
-19220	0
-19200	4
-19180	1
-19160	3
-19140	3
-19120	2
-19100	1
-19080	1
-19060	1
-19040	1
-19020	0
-19000	1
-18980	1
-18960	1
-18940	5
-18920	1
-18900	2
-18880	1
-18860	2
-18840	2
-18820	2
-18800	1
-18780	1
-18760	0
-18740	0
-18720	2
-18700	1
-18680	2
-18660	1
-18640	2
-18620	0
-18600	0
-18580	3
-18560	0
-18540	1
-18520	1
-18500	1
-18480	2
-18460	2
-18440	2
-18420	1
-18400	3
-18380	4
-18360	0
-18340	0
-18320	1
-18300	3
-18280	1
-18260	2
-18240	2
-18220	4
-18200	0
-18180	1
-18160	2
-18140	1
-18120	2
-18100	0
-18080	4
-18060	1
-18040	1
-18020	3
-18000	0
-17980	2
-17960	2
-17940	0
-17920	2
-17900	1
-17880	0
-17860	0
-17840	4
-17820	0
-17800	1
-17780	4
-17760	2
-17740	2
-17720	2
-17700	1
-17680	1
-17660	3
-17640	1
-17620	0
-17600	2
-17580	0
-17560	3
-17540	3
-17520	3
-17500	3
-17480	3
-17460	1
-17440	2
-17420	0
-17400	4
-17380	0
-17360	1
-17340	0
-17320	0
-17300	2
-17280	2
-17260	2
-17240	0
-17220	3
-17200	1
-17180	0
-17160	2
-17140	0
-17120	4
-17100	1
-17080	3
-17060	3
-17040	3
-17020	1
-17000	3
-16980	2
-16960	0
-16940	2
-16920	1
-16900	2
-16880	3
-16860	2
-16840	2
-16820	1
-16800	1
-16780	2
-16760	1
-16740	5
-16720	2
-16700	2
-16680	2
-16660	4
-16640	1
-16620	1
-16600	1
-16580	2
-16560	7
-16540	5
-16520	5
-16500	4
-16480	2
-16460	3
-16440	1
