"Time differences (ps)"	"Counts per bin"
-20000	2
-19980	0
-19960	0
-19940	2
-19920	2
-19900	5
-19880	2
-19860	1
-19840	0
-19820	1
-19800	1
-19780	2
-19760	3
-19740	2
-19720	1
-19700	1
-19680	0
-19660	3
-19640	0
-19620	1
-19600	0
-19580	3
-19560	2
-19540	0
-19520	1
-19500	2
-19480	0
-19460	1
-19440	1
-19420	1
-19400	0
-19380	0
-19360	3
-19340	0
-19320	2
-19300	1
-19280	4
-19260	2
-19240	3
-19220	1
-19200	2
-19180	1
-19160	1
-19140	0
-19120	1
-19100	2
-19080	3
-19060	1
-19040	0
-19020	1
-19000	1
-18980	1
-18960	0
-18940	1
-18920	1
-18900	2
-18880	0
-18860	1
-18840	2
-18820	4
-18800	1
-18780	1
-18760	1
-18740	1
-18720	2
-18700	0
-18680	1
-18660	0
-18640	1
-18620	1
-18600	1
-18580	0
-18560	3
-18540	0
-18520	2
-18500	1
-18480	1
-18460	4
-18440	1
-18420	1
-18400	2
-18380	2
-18360	2
-18340	1
-18320	4
-18300	4
-18280	4
-18260	1
-18240	1
-18220	3
-18200	2
-18180	0
-18160	2
-18140	1
-18120	4
-18100	4
-18080	1
-18060	0
-18040	2
-18020	2
-18000	1
-17980	2
-17960	1
-17940	5
-17920	2
-17900	0
-17880	3
-17860	2
-17840	1
-17820	2
-17800	0
-17780	3
-17760	1
-17740	2
-17720	4
-17700	2
-17680	1
-17660	0
-17640	0
-17620	3
-17600	1
-17580	1
-17560	2
-17540	2
-17520	2
-17500	0
-17480	0
-17460	2
-17440	1
-17420	4
-17400	4
-17380	0
-17360	1
-17340	1
-17320	3
-17300	0
-17280	2
-17260	0
-17240	1
-17220	2
-17200	3
-17180	1
-17160	1
-17140	1
-17120	0
-17100	2
-17080	0
-17060	3
-17040	2
-17020	2
-17000	2
-16980	4
-16960	3
-16940	2
-16920	2
-16900	1
-16880	3
-16860	2
-16840	1
-16820	2
-16800	2
-16780	3
-16760	1
-16740	0
-16720	1
-16700	0
-16680	3
-16660	1
-16640	2
-16620	0
-16600	5
-16580	2
-16560	3
-16540	6
-16520	5
-16500	4
-16480	0
-16460	3
-16440	1
-16420	1
-16400	3
-16380	2
-16360	3
-16340	4
-16320	1
-16300	1
-16280	3
-16260	1
-16240	1
-16220	4
-16200	1
-16180	1
-16160	1
-16140	1
-16120	1
-16100	2
-16080	1
-16060	1
-16040	3
-16020	3
-16000	2
-15980	2
-15960	0
-15940	1
-15920	3
-15900	1
-15880	7
-15860	2
-15840	1
-15820	5
-15800	1
-15780	3
-15760	8
-15740	8
-15720	18
-15700	26
-15680	21
-15660	9
-15640	2
-15620	5
-15600	1
-15580	2
-15560	4
-15540	3
-15520	2
-15500	2
-15480	2
-15460	4
-15440	0
-15420	2
-15400	0
-15380	5
-15360	1
-15340	4
-15320	0
-15300	2
-15280	4
-15260	2
-15240	2
-15220	2
-15200	3
-15180	3
-15160	3
-15140	3
-15120	2
-15100	3
-15080	2
-15060	1
-15040	3
-15020	5
-15000	0
-14980	2
-14960	2
-14940	1
-14920	1
-14900	0
-14880	4
-14860	2
-14840	0
-14820	2
-14800	1
-14780	3
-14760	0
-14740	6
-14720	4
-14700	2
-14680	1
-14660	3
-14640	2
-14620	0
-14600	2
-14580	1
-14560	2
-14540	1
-14520	3
-14500	1
-14480	2
-14460	3
-14440	3
-14420	0
-14400	6
-14380	2
-14360	0
-14340	0
-14320	3
-14300	2
-14280	0
-14260	2
-14240	2
-14220	0
-14200	1
-14180	2
-14160	3
-14140	0
-14120	3
-14100	3
-14080	1
-14060	3
-14040	0
-14020	1
-14000	2
-13980	0
-13960	1
-13940	2
-13920	3
-13900	2
-13880	6
-13860	3
-13840	0
-13820	2
-13800	3
-13780	3
-13760	2
-13740	3
-13720	2
-13700	2
-13680	1
-13660	2
-13640	2
-13620	6
-13600	2
-13580	4
-13560	4
-13540	2
-13520	4
-13500	1
-13480	2
-13460	0
-13440	3
-13420	7
-13400	2
-13380	1
-13360	7
-13340	2
-13320	1
